name,rank
Faf du Plessis,83.38102321325769
Ben Wheeler,60.35273714900257
David Warner,85.73533213980026
Hasan Ali,61.32772077734923
Shai Hope,81.64777655063432
Hamid Hassan,52.47610769197117
Abu Jayed,0.0
Sharafuddin Ashraf,52.925927527906566
Bjorn Fortuin,0.0
Mirwais Ashraf,57.00355980708403
Alex Carey,68.45117078510785
Shardul Thakur,62.68413583732966
Mohammed Siraj,0.0
Hayden Walsh,60.39508927078924
Sarfaraz Ahmed,68.90134578624243
Mohammad Amir,59.25779766143978
Billy Stanlake,47.14515192058394
M S Dhoni,86.6524279366314
George Dockrell,57.30247199512663
Glenn Maxwell,77.19264483771119
JJ Smuts,75.81711524548372
Shuvagata Hom,61.7690053165609
Rohit Sharma,88.79391654848968
Matt Parkinson,0.0
Asif Ali,72.91330669999101
Sam Billings,66.5027000699636
Tim Seifert,61.19962033803991
Niall O'Brien,70.05345631560681
Ishant Sharma,50.11792858751692
Johnson Charles,69.67666696861768
Seth Rance,0.0
Stuart Poynter,54.45219506662869
Anamul Haque,69.95159138835876
Mohammad Rizwan,67.79879384732341
Andre Fletcher,59.84678956407
Dhawal Kulkarni,57.612581808898604
Paul Stirling,80.89891490537339
Shapoor Zadran,51.00553507393888
Fabian Allen,61.80947639856527
Kane Williamson,84.77295116261391
Ashton Turner,73.29626891525206
Yasir Shah,55.277672728169186
Shimron Hetmeyer,76.0148983307273
George Bailey,77.46149970000577
Ben Stokes,77.62650716182726
Mohammad Irfan,50.171665443237515
Imad Wasim,68.71610741980575
Mehidy Hasan,59.31652082247126
Imrul Kayes,74.21713751092447
David Miller,73.84648779229279
Ben Cutting,62.254396158923065
Dinesh Karthik,66.27393707228892
Taijul Islam,56.91411783438478
Saqib Mahmood,0.0
Taskin Ahmed,50.04098924338077
Liam Plunkett,60.84771025372023
Rumman Raees,57.42956893081617
Shafiul Islam,52.92368754474987
Adam Milne,57.20361984180544
Mohammad Nabi,70.3811319243543
Liam Dawson,54.37431023544711
Aftab Alam,53.490642780372525
Washington Sundar,0.0
Soumya Sarkar,76.63082824209557
Rassie van der Dussen,81.21010406236425
Sean Terry,51.46668263210806
Abu Hider,46.53577036621967
Daniel Christian,58.49949721011295
Asad Shafiq,65.54517549007267
Tim Paine,67.55218583266027
Marlon Samuels,77.02575308973121
Noor Ali Zadran,66.56202433799233
Imam-ul-Haq,80.86296222252561
Ajinkya Rahane,77.58808330426058
Shikhar Dhawan,87.05667169917092
Colin de Grandhomme,67.8998280689486
Ambati Rayudu,74.4832761197706
Kagiso Rabada,55.60232970315007
