,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,5.3,0,3,2.91
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,46,7.0,0,2,8.57
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.00
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.80
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,4.0,1,2,3.25
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,9.0,0,1,7.56
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,4.60
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,77,10.0,0,3,4.20
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,6.20
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,73,10.0,0,3,7.00
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,10.0,1,3,4.60
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,10.0,0,0,4.40
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.70
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,110,9.4,1,4,4.45
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,4.90
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,9.0,0,1,7.56
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.30
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,75,10.0,0,3,5.00
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,4.40
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,4.80
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,9.0,0,1,7.00
21,Matches/MatchScorecard_ODI.asp?MatchCode=4358,75,10.0,0,3,5.20
22,Matches/MatchScorecard_ODI.asp?MatchCode=4358,21,5.0,0,1,8.80
23,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,8.0,0,0,6.75
24,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,4.50
25,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,8.0,0,2,6.25
26,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,9.0,0,0,6.33
27,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,6.0,0,0,5.33
28,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,4.80
29,Matches/MatchScorecard_ODI.asp?MatchCode=4358,81,10.0,1,3,3.70
30,Matches/MatchScorecard_ODI.asp?MatchCode=4358,73,8.0,0,3,7.50
31,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,7.0,0,0,6.00
32,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,4.60
33,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,4.50
34,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,5.70
35,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,8.0,0,1,3.75
36,Matches/MatchScorecard_ODI.asp?MatchCode=4358,48,6.0,0,2,7.17
37,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,6.3,0,1,4.92
38,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,5.0,0,0,6.60
39,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,7.2,1,1,7.50
40,Matches/MatchScorecard_ODI.asp?MatchCode=4358,48,8.0,0,2,7.38
41,Matches/MatchScorecard_ODI.asp?MatchCode=4358,77,10.0,0,3,3.80
42,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,10.0,0,0,3.40
43,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.70
44,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,8.2,0,0,6.24
45,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,10.0,0,0,7.20
46,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,6.11
47,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,6.60
48,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-4,6.0,0,0,8.33
49,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,7.0,0,0,5.86
50,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,4.90
51,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,7.0,0,0,4.86
52,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,6.60
53,Matches/MatchScorecard_ODI.asp?MatchCode=4358,75,10.0,0,3,5.50
54,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,6.78
