,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=3111,25,10.0,0,1,4.70
1,Matches/MatchScorecard_ODI.asp?MatchCode=3624,54,10.0,0,2,2.80
2,Matches/MatchScorecard_ODI.asp?MatchCode=3643,50,10.0,0,2,5.50
3,Matches/MatchScorecard_ODI.asp?MatchCode=3072,0,10.0,0,0,5.40
4,Matches/MatchScorecard_ODI.asp?MatchCode=3028,25,9.0,0,1,5.00
5,Matches/MatchScorecard_ODI.asp?MatchCode=3071,81,9.1,1,3,4.36
6,Matches/MatchScorecard_ODI.asp?MatchCode=3294,6,10.0,1,0,3.80
7,Matches/MatchScorecard_ODI.asp?MatchCode=3295,116,10.0,2,4,3.10
8,Matches/MatchScorecard_ODI.asp?MatchCode=3296,87,10.0,2,3,2.80
9,Matches/MatchScorecard_ODI.asp?MatchCode=3298,54,10.0,1,2,4.60
10,Matches/MatchScorecard_ODI.asp?MatchCode=3537,81,10.0,1,3,4.30
11,Matches/MatchScorecard_ODI.asp?MatchCode=3539,54,10.0,1,2,4.60
12,Matches/MatchScorecard_ODI.asp?MatchCode=3541,104,10.0,0,4,4.70
13,Matches/MatchScorecard_ODI.asp?MatchCode=3545,150,8.5,0,6,5.43
14,Matches/MatchScorecard_ODI.asp?MatchCode=3568,-2,10.0,0,0,7.80
15,Matches/MatchScorecard_ODI.asp?MatchCode=3678,23,10.0,0,1,7.20
16,Matches/MatchScorecard_ODI.asp?MatchCode=3841,50,10.0,0,2,4.70
17,Matches/MatchScorecard_ODI.asp?MatchCode=3845,27,10.0,0,1,3.80
18,Matches/MatchScorecard_ODI.asp?MatchCode=3851,-2,10.0,0,0,7.80
19,Matches/MatchScorecard_ODI.asp?MatchCode=3031,27,6.0,0,1,4.50
20,Matches/MatchScorecard_ODI.asp?MatchCode=3848,29,10.0,1,1,5.50
21,Matches/MatchScorecard_ODI.asp?MatchCode=3951,75,8.5,0,3,5.55
22,Matches/MatchScorecard_ODI.asp?MatchCode=3952,75,10.0,0,3,6.00
23,Matches/MatchScorecard_ODI.asp?MatchCode=3953,50,10.0,0,2,4.60
24,Matches/MatchScorecard_ODI.asp?MatchCode=3954,52,10.0,0,2,4.20
25,Matches/MatchScorecard_ODI.asp?MatchCode=3955,145,6.0,2,5,3.00
26,Matches/MatchScorecard_ODI.asp?MatchCode=3297,62,10.0,3,2,5.60
27,Matches/MatchScorecard_ODI.asp?MatchCode=3113,2,10.0,0,0,4.00
28,Matches/MatchScorecard_ODI.asp?MatchCode=3116,0,9.0,0,0,6.22
29,Matches/MatchScorecard_ODI.asp?MatchCode=3680,60,10.0,2,2,4.00
30,Matches/MatchScorecard_ODI.asp?MatchCode=3628,35,10.0,1,1,2.10
31,Matches/MatchScorecard_ODI.asp?MatchCode=3544,79,8.4,0,3,2.88
32,Matches/MatchScorecard_ODI.asp?MatchCode=2090,25,5.0,0,1,5.80
33,Matches/MatchScorecard_ODI.asp?MatchCode=2092,31,9.0,1,1,4.22
