,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,10.0,1,3,4.60
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.50
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,8.0,0,1,7.25
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,10.0,0,3,2.70
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,5.70
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,10.0,0,3,3.40
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,8.0,0,1,7.13
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,104,10.0,0,4,6.20
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,4.20
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,4.90
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,58,10.0,1,2,3.40
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,9.3,0,2,3.47
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,4.0,1,0,5.50
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,9.0,0,1,4.22
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,10.0,0,0,3.40
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,10.0,0,1,2.90
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,8.50
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,8.5,0,0,5.43
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,8.0,0,1,7.38
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,13.00
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,5.50
21,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,10.0,0,0,4.50
22,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,2.0,0,0,13.00
23,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,9.0,0,0,6.78
24,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,6.0,0,1,5.17
25,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,7.0,0,0,4.14
26,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,9.0,0,1,4.33
27,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,7.00
28,Matches/MatchScorecard_ODI.asp?MatchCode=4358,52,9.2,0,2,3.75
29,Matches/MatchScorecard_ODI.asp?MatchCode=4358,12,10.0,2,0,3.10
30,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,10.0,0,0,3.90
31,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,10.0,0,1,3.40
32,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,10.0,1,2,5.30
33,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-4,7.0,0,0,9.00
34,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,4.60
35,Matches/MatchScorecard_ODI.asp?MatchCode=4358,52,10.0,0,2,4.30
36,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,8.0,0,1,7.13
37,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,6.90
38,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,6.0,0,0,4.67
39,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,6.80
40,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,6.00
41,Matches/MatchScorecard_ODI.asp?MatchCode=4358,104,7.4,0,4,6.65
42,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,7.0,0,0,6.57
43,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,9.25
44,Matches/MatchScorecard_ODI.asp?MatchCode=4358,75,10.0,0,3,5.30
45,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,11.67
46,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,5.0,0,0,6.20
47,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,9.0,0,0,6.11
48,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,8.0,0,0,7.00
