,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,6608,10.0,1,2,2.60
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50323,10.0,0,1,5.90
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54436,7.0,0,1,6.86
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54725,9.0,1,1,4.89
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,111007,6.0,0,2,4.00
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,111196,10.0,1,2,3.90
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,111435,10.0,1,3,4.00
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,111697,7.1,0,2,7.12
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,112015,10.0,0,1,4.50
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,112322,7.3,0,0,4.27
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,114530,10.0,0,3,3.90
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,115396,9.0,1,0,4.56
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,115685,10.0,0,1,4.90
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,116220,10.0,0,0,4.90
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,116499,10.0,0,1,3.80
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,116996,4.1,0,2,2.16
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,117831,10.0,0,0,6.60
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,186720,10.0,0,2,4.50
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,187104,10.0,1,1,3.90
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,187216,10.0,1,2,4.10
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,187398,10.0,1,1,4.00
21,Matches/MatchScorecard_ODI.asp?MatchCode=4358,187458,6.4,0,2,5.85
22,Matches/MatchScorecard_ODI.asp?MatchCode=4358,187539,9.0,0,1,5.67
23,Matches/MatchScorecard_ODI.asp?MatchCode=4358,187868,10.0,0,1,4.00
24,Matches/MatchScorecard_ODI.asp?MatchCode=4358,187912,8.0,0,0,8.13
25,Matches/MatchScorecard_ODI.asp?MatchCode=4358,188448,10.0,1,1,2.60
26,Matches/MatchScorecard_ODI.asp?MatchCode=4358,188653,7.3,0,1,2.93
27,Matches/MatchScorecard_ODI.asp?MatchCode=4358,188924,10.0,2,1,1.60
28,Matches/MatchScorecard_ODI.asp?MatchCode=4358,189211,10.0,0,3,3.40
29,Matches/MatchScorecard_ODI.asp?MatchCode=4358,189437,10.0,0,1,3.00
30,Matches/MatchScorecard_ODI.asp?MatchCode=4358,189646,10.0,1,1,3.50
31,Matches/MatchScorecard_ODI.asp?MatchCode=4358,189879,10.0,0,1,5.50
32,Matches/MatchScorecard_ODI.asp?MatchCode=4358,190093,10.0,0,3,3.80
33,Matches/MatchScorecard_ODI.asp?MatchCode=4358,190365,10.0,1,1,5.40
34,Matches/MatchScorecard_ODI.asp?MatchCode=4358,190767,7.0,0,0,5.71
