,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,1408,10.0,0,0,4.90
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,1632,10.0,0,1,4.40
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,1871,10.0,0,2,3.90
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,20745,10.0,0,1,5.50
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,26855,7.5,0,3,8.30
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,39253,8.0,0,2,5.25
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,45322,10.0,1,3,4.30
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,45697,9.0,1,0,3.78
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,69426,7.0,0,2,6.86
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,76234,10.0,1,4,4.40
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,97245,9.0,1,4,5.11
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,98973,10.0,0,2,4.50
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,100558,5.0,0,0,7.60
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,118743,10.0,1,1,3.50
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,122651,7.0,1,1,4.29
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,151511,10.0,0,1,8.60
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,156103,10.0,0,1,4.10
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,156422,10.0,3,2,4.10
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,156785,6.0,2,4,2.50
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,157019,10.0,1,1,3.50
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,157320,9.4,0,4,6.52
21,Matches/MatchScorecard_ODI.asp?MatchCode=4358,157596,10.0,0,1,4.10
22,Matches/MatchScorecard_ODI.asp?MatchCode=4358,157878,10.0,0,3,4.40
23,Matches/MatchScorecard_ODI.asp?MatchCode=4358,158278,10.0,2,0,2.20
24,Matches/MatchScorecard_ODI.asp?MatchCode=4358,158914,9.0,2,2,5.33
25,Matches/MatchScorecard_ODI.asp?MatchCode=4358,159090,9.0,1,1,4.22
26,Matches/MatchScorecard_ODI.asp?MatchCode=4358,159368,10.0,0,2,5.60
27,Matches/MatchScorecard_ODI.asp?MatchCode=4358,159680,10.0,0,2,5.00
28,Matches/MatchScorecard_ODI.asp?MatchCode=4358,159997,5.0,0,0,3.20
29,Matches/MatchScorecard_ODI.asp?MatchCode=4358,160630,6.0,0,1,6.33
30,Matches/MatchScorecard_ODI.asp?MatchCode=4358,161140,7.0,1,3,5.71
31,Matches/MatchScorecard_ODI.asp?MatchCode=4358,161269,10.0,1,1,5.40
32,Matches/MatchScorecard_ODI.asp?MatchCode=4358,203873,10.0,0,1,5.90
33,Matches/MatchScorecard_ODI.asp?MatchCode=4358,219817,4.0,0,0,6.25
34,Matches/MatchScorecard_ODI.asp?MatchCode=4358,219977,7.0,1,1,6.14
35,Matches/MatchScorecard_ODI.asp?MatchCode=4358,220087,9.0,1,3,3.56
36,Matches/MatchScorecard_ODI.asp?MatchCode=4358,220197,7.0,1,2,4.00
37,Matches/MatchScorecard_ODI.asp?MatchCode=4358,220276,8.0,0,1,6.88
38,Matches/MatchScorecard_ODI.asp?MatchCode=4358,220355,4.0,0,1,9.00
39,Matches/MatchScorecard_ODI.asp?MatchCode=4358,220531,10.0,1,2,2.70
40,Matches/MatchScorecard_ODI.asp?MatchCode=4358,220608,10.0,0,2,3.60
41,Matches/MatchScorecard_ODI.asp?MatchCode=4358,220645,10.0,2,1,3.30
42,Matches/MatchScorecard_ODI.asp?MatchCode=4358,220722,9.0,0,3,4.44
43,Matches/MatchScorecard_ODI.asp?MatchCode=4358,220793,8.0,0,2,8.13
44,Matches/MatchScorecard_ODI.asp?MatchCode=4358,220909,10.0,1,2,4.50
45,Matches/MatchScorecard_ODI.asp?MatchCode=4358,222435,9.0,0,0,6.89
46,Matches/MatchScorecard_ODI.asp?MatchCode=4358,222698,10.0,1,0,3.40
47,Matches/MatchScorecard_ODI.asp?MatchCode=4358,222771,9.0,0,1,8.22
48,Matches/MatchScorecard_ODI.asp?MatchCode=4358,222968,5.0,0,0,3.40
49,Matches/MatchScorecard_ODI.asp?MatchCode=4358,223082,9.0,1,1,3.22
50,Matches/MatchScorecard_ODI.asp?MatchCode=4358,223134,6.0,0,1,3.67
51,Matches/MatchScorecard_ODI.asp?MatchCode=4358,223275,8.0,0,1,6.25
52,Matches/MatchScorecard_ODI.asp?MatchCode=4358,223362,8.0,0,1,4.13
53,Matches/MatchScorecard_ODI.asp?MatchCode=4358,223424,8.0,1,0,2.63
54,Matches/MatchScorecard_ODI.asp?MatchCode=4358,224143,10.0,3,2,2.60
55,Matches/MatchScorecard_ODI.asp?MatchCode=4358,224752,10.0,0,3,4.90
56,Matches/MatchScorecard_ODI.asp?MatchCode=4358,224893,10.0,1,1,3.90
57,Matches/MatchScorecard_ODI.asp?MatchCode=4358,238043,10.0,0,2,4.90
58,Matches/MatchScorecard_ODI.asp?MatchCode=4358,238182,10.0,1,2,3.10
59,Matches/MatchScorecard_ODI.asp?MatchCode=4358,238304,9.1,1,1,2.84
60,Matches/MatchScorecard_ODI.asp?MatchCode=4358,238683,8.0,0,0,6.63
61,Matches/MatchScorecard_ODI.asp?MatchCode=4358,238933,7.0,0,1,5.14
62,Matches/MatchScorecard_ODI.asp?MatchCode=4358,244515,7.0,1,1,3.71
63,Matches/MatchScorecard_ODI.asp?MatchCode=4358,244758,10.0,0,1,3.60
64,Matches/MatchScorecard_ODI.asp?MatchCode=4358,272691,7.0,1,2,3.71
65,Matches/MatchScorecard_ODI.asp?MatchCode=4358,272691,4.2,0,0,5.54
66,Matches/MatchScorecard_ODI.asp?MatchCode=4358,272749,8.0,1,2,3.25
67,Matches/MatchScorecard_ODI.asp?MatchCode=4358,272770,6.0,0,1,8.83
68,Matches/MatchScorecard_ODI.asp?MatchCode=4358,272795,5.0,0,1,6.00
69,Matches/MatchScorecard_ODI.asp?MatchCode=4358,272861,10.0,3,2,3.40
70,Matches/MatchScorecard_ODI.asp?MatchCode=4358,272859,7.0,0,0,7.29
71,Matches/MatchScorecard_ODI.asp?MatchCode=4358,272982,9.0,0,2,8.22
72,Matches/MatchScorecard_ODI.asp?MatchCode=4358,273069,7.0,1,1,2.14
