,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,18361,6.0,0,1,6.50
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,18682,4.0,0,1,8.50
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,57830,7.0,1,0,6.57
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,58123,8.0,1,0,4.50
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,80217,7.0,0,4,6.14
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,93808,6.0,3,1,2.17
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,94650,8.0,0,1,5.13
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,95168,7.0,0,0,5.71
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,95552,7.0,0,2,8.00
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,117331,6.0,0,2,7.83
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,118254,5.0,0,0,5.00
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,118525,10.0,0,2,4.80
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,132390,4.5,0,0,8.90
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,134800,9.0,1,1,6.11
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,138389,6.0,1,1,4.33
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,154625,6.0,0,1,5.67
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,155151,3.0,0,0,7.67
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,160204,6.0,1,0,4.33
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,169461,9.0,1,0,4.11
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,169700,5.0,0,0,3.20
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,170537,10.0,0,1,8.60
21,Matches/MatchScorecard_ODI.asp?MatchCode=4358,171218,4.0,1,1,4.25
22,Matches/MatchScorecard_ODI.asp?MatchCode=4358,171555,10.0,1,3,6.90
23,Matches/MatchScorecard_ODI.asp?MatchCode=4358,171699,10.0,0,2,8.90
24,Matches/MatchScorecard_ODI.asp?MatchCode=4358,171985,10.0,0,2,5.00
25,Matches/MatchScorecard_ODI.asp?MatchCode=4358,172335,8.0,0,3,6.38
26,Matches/MatchScorecard_ODI.asp?MatchCode=4358,172730,7.0,0,0,6.14
27,Matches/MatchScorecard_ODI.asp?MatchCode=4358,172959,8.0,0,3,3.13
28,Matches/MatchScorecard_ODI.asp?MatchCode=4358,173146,10.0,0,1,4.50
29,Matches/MatchScorecard_ODI.asp?MatchCode=4358,173437,6.0,0,2,5.67
30,Matches/MatchScorecard_ODI.asp?MatchCode=4358,173750,5.0,0,1,6.00
31,Matches/MatchScorecard_ODI.asp?MatchCode=4358,173823,7.0,2,0,4.71
32,Matches/MatchScorecard_ODI.asp?MatchCode=4358,174083,5.0,0,0,8.00
33,Matches/MatchScorecard_ODI.asp?MatchCode=4358,174256,10.0,0,2,5.60
34,Matches/MatchScorecard_ODI.asp?MatchCode=4358,174358,10.0,0,1,6.50
35,Matches/MatchScorecard_ODI.asp?MatchCode=4358,174489,10.0,0,1,5.50
36,Matches/MatchScorecard_ODI.asp?MatchCode=4358,174720,8.0,0,2,7.25
37,Matches/MatchScorecard_ODI.asp?MatchCode=4358,174870,8.4,0,4,3.92
38,Matches/MatchScorecard_ODI.asp?MatchCode=4358,175059,9.0,1,0,4.67
39,Matches/MatchScorecard_ODI.asp?MatchCode=4358,175612,8.0,2,0,4.00
40,Matches/MatchScorecard_ODI.asp?MatchCode=4358,175822,5.0,0,0,6.40
41,Matches/MatchScorecard_ODI.asp?MatchCode=4358,176260,2.0,0,1,4.00
42,Matches/MatchScorecard_ODI.asp?MatchCode=4358,176431,10.0,0,0,7.20
43,Matches/MatchScorecard_ODI.asp?MatchCode=4358,176639,9.0,0,3,4.44
44,Matches/MatchScorecard_ODI.asp?MatchCode=4358,176873,10.0,0,2,5.70
