,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54372,7.0,0,1,6.00
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54640,8.0,0,2,4.25
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,111350,9.2,0,1,6.21
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,111649,10.0,1,4,3.40
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,116395,7.0,0,1,8.43
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,186668,8.0,0,3,7.13
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,187160,9.0,0,1,6.67
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,187367,9.0,1,1,4.33
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,188247,10.0,1,2,4.20
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,188597,9.0,1,2,3.44
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,188771,6.2,1,1,2.68
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,208408,7.0,0,0,5.00
