,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,19185,8.0,0,4,6.88
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,19717,5.0,0,0,3.80
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,104551,10.0,2,1,5.80
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,115504,8.0,2,1,5.50
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,135604,10.0,0,3,3.10
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,135830,10.0,1,1,5.40
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,136025,6.0,2,1,5.17
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,136956,6.0,0,1,2.50
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,141472,10.0,0,0,5.90
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,142059,6.0,0,0,8.17
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,204636,10.0,1,1,6.10
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,229681,6.2,0,0,7.11
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,237184,8.0,1,1,6.88
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,268283,9.0,1,3,4.11
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,268914,7.0,0,1,3.29
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,286932,8.0,1,1,4.13
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,287214,10.0,2,3,5.50
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,287218,10.0,1,0,4.80
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,287251,8.0,1,1,3.25
