,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,5.56
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,9.5,0,0,4.58
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,6.44
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,8,6.0,1,0,2.50
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,4.0,0,1,2.50
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,5.0,0,1,6.20
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,6.40
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,6,7.0,1,0,3.71
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,5.67
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,21,9.0,0,1,8.33
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,6.90
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,7.0,0,0,4.57
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,9.0,0,2,5.44
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,145,8.1,2,5,2.69
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,60,7.0,1,2,2.29
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,6.0,0,0,5.50
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,5.0,0,1,6.00
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,6.0,1,1,4.83
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,6.2,0,2,5.84
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,6,5.0,0,0,2.00
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,3.00
21,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,5.0,0,2,2.80
