,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=3918,4,3.0,1,0,3.67
1,Matches/MatchScorecard_ODI.asp?MatchCode=4093,27,10.0,0,1,3.60
2,Matches/MatchScorecard_ODI.asp?MatchCode=4097,4,3.0,1,0,4.00
3,Matches/MatchScorecard_ODI.asp?MatchCode=4163,4,5.0,0,0,3.00
4,Matches/MatchScorecard_ODI.asp?MatchCode=4257,54,7.2,0,2,2.73
5,Matches/MatchScorecard_ODI.asp?MatchCode=4301,150,9.2,0,6,4.61
6,Matches/MatchScorecard_ODI.asp?MatchCode=4203,0,4.0,0,0,10.25
7,Matches/MatchScorecard_ODI.asp?MatchCode=4340,-2,9.4,0,0,7.55
8,Matches/MatchScorecard_ODI.asp?MatchCode=4198,50,6.0,0,2,5.00
9,Matches/MatchScorecard_ODI.asp?MatchCode=4202,0,9.0,0,0,6.44
10,Matches/MatchScorecard_ODI.asp?MatchCode=4335,54,10.0,1,2,5.60
11,Matches/MatchScorecard_ODI.asp?MatchCode=3421,25,6.0,0,1,6.17
12,Matches/MatchScorecard_ODI.asp?MatchCode=3482,108,9.0,0,4,3.44
13,Matches/MatchScorecard_ODI.asp?MatchCode=3483,0,2.0,0,0,6.00
14,Matches/MatchScorecard_ODI.asp?MatchCode=3873,0,3.0,0,0,7.67
15,Matches/MatchScorecard_ODI.asp?MatchCode=3991,39,6.0,2,1,2.00
16,Matches/MatchScorecard_ODI.asp?MatchCode=3993,50,8.0,0,2,4.75
17,Matches/MatchScorecard_ODI.asp?MatchCode=3994,106,6.0,0,4,4.50
18,Matches/MatchScorecard_ODI.asp?MatchCode=3998,25,2.0,0,1,4.00
19,Matches/MatchScorecard_ODI.asp?MatchCode=4006,0,9.0,0,0,6.00
20,Matches/MatchScorecard_ODI.asp?MatchCode=4007,25,8.0,0,1,6.50
21,Matches/MatchScorecard_ODI.asp?MatchCode=4008,0,4.0,0,0,5.75
22,Matches/MatchScorecard_ODI.asp?MatchCode=4009,31,8.0,1,1,3.50
23,Matches/MatchScorecard_ODI.asp?MatchCode=4040,27,8.0,0,1,3.88
24,Matches/MatchScorecard_ODI.asp?MatchCode=4043,58,5.0,1,2,3.00
25,Matches/MatchScorecard_ODI.asp?MatchCode=4332,50,9.0,0,2,5.67
26,Matches/MatchScorecard_ODI.asp?MatchCode=4192,54,5.0,1,2,6.80
27,Matches/MatchScorecard_ODI.asp?MatchCode=4323,25,6.0,0,1,4.83
28,Matches/MatchScorecard_ODI.asp?MatchCode=4092,0,3.0,0,0,3.67
29,Matches/MatchScorecard_ODI.asp?MatchCode=4129,25,7.0,0,1,5.71
30,Matches/MatchScorecard_ODI.asp?MatchCode=4131,19,8.0,0,1,10.63
31,Matches/MatchScorecard_ODI.asp?MatchCode=4132,27,6.0,0,1,3.83
32,Matches/MatchScorecard_ODI.asp?MatchCode=4140,0,4.0,0,0,5.25
33,Matches/MatchScorecard_ODI.asp?MatchCode=4154,0,3.0,0,0,3.67
34,Matches/MatchScorecard_ODI.asp?MatchCode=4160,0,4.0,0,0,2.50
35,Matches/MatchScorecard_ODI.asp?MatchCode=4164,50,5.0,0,2,5.60
36,Matches/MatchScorecard_ODI.asp?MatchCode=4189,31,10.0,1,1,4.20
37,Matches/MatchScorecard_ODI.asp?MatchCode=4190,2,7.0,0,0,4.00
38,Matches/MatchScorecard_ODI.asp?MatchCode=4195,52,8.0,0,2,3.63
39,Matches/MatchScorecard_ODI.asp?MatchCode=4200,25,10.0,0,1,6.10
40,Matches/MatchScorecard_ODI.asp?MatchCode=4265,27,6.0,0,1,3.50
41,Matches/MatchScorecard_ODI.asp?MatchCode=4299,27,10.0,0,1,4.50
42,Matches/MatchScorecard_ODI.asp?MatchCode=4306,25,5.0,0,1,6.40
43,Matches/MatchScorecard_ODI.asp?MatchCode=4309,0,4.0,0,0,9.50
44,Matches/MatchScorecard_ODI.asp?MatchCode=4326,75,10.0,0,3,6.80
45,Matches/MatchScorecard_ODI.asp?MatchCode=4348,0,3.0,0,0,6.00
46,Matches/MatchScorecard_ODI.asp?MatchCode=4377,0,5.0,0,0,5.60
47,Matches/MatchScorecard_ODI.asp?MatchCode=3407,0,1.0,0,0,16.00
48,Matches/MatchScorecard_ODI.asp?MatchCode=3437,0,2.0,0,0,9.00
49,Matches/MatchScorecard_ODI.asp?MatchCode=3705,25,8.0,0,1,6.63
50,Matches/MatchScorecard_ODI.asp?MatchCode=3764,25,9.0,0,1,5.89
51,Matches/MatchScorecard_ODI.asp?MatchCode=3996,0,3.0,0,0,7.67
52,Matches/MatchScorecard_ODI.asp?MatchCode=4315,4,9.0,1,0,6.11
53,Matches/MatchScorecard_ODI.asp?MatchCode=4010,27,9.0,0,1,4.33
54,Matches/MatchScorecard_ODI.asp?MatchCode=3650,0,2.0,0,0,11.50
55,Matches/MatchScorecard_ODI.asp?MatchCode=3406,4,1.2,1,0,6.00
56,Matches/MatchScorecard_ODI.asp?MatchCode=3707,0,4.0,0,0,5.25
57,Matches/MatchScorecard_ODI.asp?MatchCode=4290,73,10.0,0,3,7.20
58,Matches/MatchScorecard_ODI.asp?MatchCode=3721,25,5.0,0,1,5.40
59,Matches/MatchScorecard_ODI.asp?MatchCode=3725,25,4.0,0,1,5.25
