,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,83,10.0,1,3,3.10
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.2,0,1,5.04
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,75,8.0,0,3,5.50
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,6,8.0,1,0,3.63
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,10.0,0,0,7.70
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,48,7.0,0,2,7.71
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,9.0,0,2,6.44
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,108,10.0,1,4,6.40
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,8.0,0,3,3.25
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,4.80
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,8.0,0,0,7.00
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,104,8.1,0,4,5.63
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,108,5.0,0,4,3.20
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,46,7.0,0,2,9.00
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,8.0,0,0,4.63
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.1,0,0,3.84
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,60,10.0,2,2,4.10
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,9.0,0,1,7.44
