,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,18963,10.0,0,0,6.80
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,57963,9.5,0,5,5.19
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,58223,8.0,0,2,5.50
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,58518,8.0,0,0,5.50
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,61540,10.0,1,1,8.20
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,80363,5.0,0,0,5.80
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,107374,10.0,1,1,9.40
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,117406,10.0,0,3,6.70
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,132442,10.0,0,2,4.30
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,154681,5.0,0,1,3.20
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,155176,7.0,0,1,5.43
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,169696,10.0,0,0,5.80
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,175820,10.0,0,0,8.00
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,176310,10.0,0,2,5.60
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,185963,10.0,0,0,8.10
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,212869,9.0,1,0,6.78
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,213432,8.0,0,1,4.63
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,226552,8.0,2,2,3.88
