,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4050,-2,9.0,0,0,7.56
1,Matches/MatchScorecard_ODI.asp?MatchCode=4324,0,8.0,0,0,6.50
2,Matches/MatchScorecard_ODI.asp?MatchCode=4258,50,10.0,0,2,6.00
3,Matches/MatchScorecard_ODI.asp?MatchCode=4268,73,8.5,0,3,7.13
4,Matches/MatchScorecard_ODI.asp?MatchCode=4219,110,10.0,1,4,3.50
5,Matches/MatchScorecard_ODI.asp?MatchCode=3878,52,10.0,0,2,4.00
6,Matches/MatchScorecard_ODI.asp?MatchCode=4047,56,10.0,1,2,3.90
7,Matches/MatchScorecard_ODI.asp?MatchCode=4199,81,9.1,1,3,4.04
8,Matches/MatchScorecard_ODI.asp?MatchCode=4345,108,10.0,1,4,5.50
9,Matches/MatchScorecard_ODI.asp?MatchCode=4076,58,10.0,2,2,5.10
10,Matches/MatchScorecard_ODI.asp?MatchCode=4400,2,10.0,0,0,3.80
11,Matches/MatchScorecard_ODI.asp?MatchCode=4034,0,5.0,0,0,4.60
12,Matches/MatchScorecard_ODI.asp?MatchCode=4197,62,7.1,2,2,3.21
13,Matches/MatchScorecard_ODI.asp?MatchCode=4201,58,10.0,1,2,2.90
14,Matches/MatchScorecard_ODI.asp?MatchCode=4064,50,7.0,0,2,4.57
15,Matches/MatchScorecard_ODI.asp?MatchCode=4065,52,10.0,0,2,4.50
16,Matches/MatchScorecard_ODI.asp?MatchCode=4067,25,4.0,0,1,5.00
17,Matches/MatchScorecard_ODI.asp?MatchCode=4069,4,7.0,1,0,5.57
18,Matches/MatchScorecard_ODI.asp?MatchCode=4071,50,10.0,0,2,5.20
19,Matches/MatchScorecard_ODI.asp?MatchCode=4085,25,9.0,0,1,6.22
20,Matches/MatchScorecard_ODI.asp?MatchCode=4099,29,8.0,1,1,4.88
21,Matches/MatchScorecard_ODI.asp?MatchCode=4126,25,10.0,0,1,5.60
22,Matches/MatchScorecard_ODI.asp?MatchCode=4127,35,5.0,1,1,2.40
23,Matches/MatchScorecard_ODI.asp?MatchCode=4128,50,7.0,0,2,4.57
24,Matches/MatchScorecard_ODI.asp?MatchCode=4130,27,5.0,0,1,4.20
25,Matches/MatchScorecard_ODI.asp?MatchCode=4133,29,7.0,0,1,3.14
26,Matches/MatchScorecard_ODI.asp?MatchCode=4135,58,8.0,1,2,3.00
27,Matches/MatchScorecard_ODI.asp?MatchCode=4205,25,8.3,0,1,4.59
28,Matches/MatchScorecard_ODI.asp?MatchCode=4220,8,8.0,1,0,3.13
29,Matches/MatchScorecard_ODI.asp?MatchCode=4221,60,6.0,1,2,1.83
30,Matches/MatchScorecard_ODI.asp?MatchCode=4263,54,10.0,0,2,2.90
31,Matches/MatchScorecard_ODI.asp?MatchCode=4266,0,10.0,0,0,5.30
32,Matches/MatchScorecard_ODI.asp?MatchCode=4270,2,10.0,0,0,3.90
33,Matches/MatchScorecard_ODI.asp?MatchCode=4310,56,10.0,1,2,3.50
34,Matches/MatchScorecard_ODI.asp?MatchCode=4316,79,10.0,1,3,6.10
35,Matches/MatchScorecard_ODI.asp?MatchCode=4332,56,10.0,1,2,3.90
36,Matches/MatchScorecard_ODI.asp?MatchCode=4338,60,6.0,1,2,1.50
37,Matches/MatchScorecard_ODI.asp?MatchCode=4342,31,10.0,1,1,4.40
38,Matches/MatchScorecard_ODI.asp?MatchCode=4350,85,10.0,2,3,3.70
39,Matches/MatchScorecard_ODI.asp?MatchCode=4398,-2,7.0,0,0,7.14
40,Matches/MatchScorecard_ODI.asp?MatchCode=4399,37,9.1,2,1,3.49
41,Matches/MatchScorecard_ODI.asp?MatchCode=4402,4,10.0,1,0,5.30
42,Matches/MatchScorecard_ODI.asp?MatchCode=4042,52,8.0,0,2,3.50
43,Matches/MatchScorecard_ODI.asp?MatchCode=3895,116,9.5,2,4,2.85
44,Matches/MatchScorecard_ODI.asp?MatchCode=3897,27,6.0,0,1,4.50
45,Matches/MatchScorecard_ODI.asp?MatchCode=3899,114,10.0,1,4,2.20
46,Matches/MatchScorecard_ODI.asp?MatchCode=3951,6,8.0,1,0,3.63
47,Matches/MatchScorecard_ODI.asp?MatchCode=3952,77,10.0,0,3,3.50
48,Matches/MatchScorecard_ODI.asp?MatchCode=3953,50,9.4,0,2,5.38
49,Matches/MatchScorecard_ODI.asp?MatchCode=3955,29,5.0,0,1,3.20
50,Matches/MatchScorecard_ODI.asp?MatchCode=4061,54,6.2,0,2,3.47
51,Matches/MatchScorecard_ODI.asp?MatchCode=4062,114,10.0,2,4,4.30
52,Matches/MatchScorecard_ODI.asp?MatchCode=4063,145,10.0,2,5,2.70
53,Matches/MatchScorecard_ODI.asp?MatchCode=4088,60,10.0,2,2,3.80
54,Matches/MatchScorecard_ODI.asp?MatchCode=4089,75,10.0,0,3,4.70
55,Matches/MatchScorecard_ODI.asp?MatchCode=4098,52,10.0,0,2,4.30
56,Matches/MatchScorecard_ODI.asp?MatchCode=4353,31,10.0,1,1,3.90
57,Matches/MatchScorecard_ODI.asp?MatchCode=3974,48,10.0,0,2,7.90
58,Matches/MatchScorecard_ODI.asp?MatchCode=4038,0,10.0,0,0,5.20
59,Matches/MatchScorecard_ODI.asp?MatchCode=4406,0,10.0,0,0,6.40
60,Matches/MatchScorecard_ODI.asp?MatchCode=4410,0,10.0,0,0,5.00
61,Matches/MatchScorecard_ODI.asp?MatchCode=3976,46,9.0,0,2,9.00
62,Matches/MatchScorecard_ODI.asp?MatchCode=3978,29,10.0,1,1,6.80
63,Matches/MatchScorecard_ODI.asp?MatchCode=4096,29,7.0,1,1,4.57
