,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=3915,0,4.0,0,0,3.75
1,Matches/MatchScorecard_ODI.asp?MatchCode=4203,25,4.0,0,1,4.75
2,Matches/MatchScorecard_ODI.asp?MatchCode=3754,0,4.5,0,0,6.62
3,Matches/MatchScorecard_ODI.asp?MatchCode=3421,0,1.0,0,0,5.00
4,Matches/MatchScorecard_ODI.asp?MatchCode=4092,0,1.0,0,0,7.00
5,Matches/MatchScorecard_ODI.asp?MatchCode=4377,0,3.3,0,0,4.29
6,Matches/MatchScorecard_ODI.asp?MatchCode=4378,25,2.0,0,1,5.00
7,Matches/MatchScorecard_ODI.asp?MatchCode=3187,0,3.0,0,0,5.33
8,Matches/MatchScorecard_ODI.asp?MatchCode=3407,25,8.0,0,1,5.88
9,Matches/MatchScorecard_ODI.asp?MatchCode=3437,0,4.0,0,0,4.00
10,Matches/MatchScorecard_ODI.asp?MatchCode=3705,0,2.0,0,0,6.00
11,Matches/MatchScorecard_ODI.asp?MatchCode=3709,25,4.0,0,1,6.75
12,Matches/MatchScorecard_ODI.asp?MatchCode=3722,106,10.0,0,4,3.70
13,Matches/MatchScorecard_ODI.asp?MatchCode=3730,27,8.0,0,1,3.50
14,Matches/MatchScorecard_ODI.asp?MatchCode=3764,0,1.0,0,0,8.00
15,Matches/MatchScorecard_ODI.asp?MatchCode=3773,0,4.0,0,0,4.50
16,Matches/MatchScorecard_ODI.asp?MatchCode=3913,0,2.0,0,0,3.50
