,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,3.75
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,66,10.0,3,2,2.90
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,4.00
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,5.50
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,5.70
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,5.0,0,1,7.80
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,3.4,0,1,2.18
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,5.0,0,2,5.20
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,7.2,0,0,7.36
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,7.0,1,2,4.57
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,5.22
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,6.67
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,8.0,0,2,6.00
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,56,10.0,0,2,2.30
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,9.3,1,2,4.84
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,2.0,0,1,7.00
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,75,8.0,0,3,5.25
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,5.40
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.80
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,75,3.1,0,3,3.47
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,52,9.0,0,2,3.56
21,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,9.0,0,0,4.56
22,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,6.40
23,Matches/MatchScorecard_ODI.asp?MatchCode=4358,58,10.0,1,2,3.40
24,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,6.70
25,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.30
26,Matches/MatchScorecard_ODI.asp?MatchCode=4358,48,10.0,0,2,7.00
27,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,8.0,0,0,5.25
28,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,9.2,0,3,2.68
29,Matches/MatchScorecard_ODI.asp?MatchCode=4358,6,10.0,1,0,3.60
30,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,4.80
31,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,6.20
32,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,3.90
33,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,8.0,0,0,7.25
34,Matches/MatchScorecard_ODI.asp?MatchCode=4358,56,6.4,0,2,2.10
35,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,8.0,0,1,4.13
36,Matches/MatchScorecard_ODI.asp?MatchCode=4358,35,5.4,2,1,4.24
37,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,5.22
38,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,8.0,0,0,4.75
39,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,8.33
40,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,5.0,0,0,7.40
41,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,6.2,0,0,6.95
