,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,10.0,1,3,5.40
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,35,9.0,2,1,4.33
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,10.0,1,3,4.80
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,6.0,0,1,6.83
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,6.00
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,6.78
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,46,7.3,0,2,8.93
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,114,9.0,1,4,2.11
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,6.44
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,10.0,1,0,4.70
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,71,9.0,0,3,8.11
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,5.30
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,7.4,0,0,4.70
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,5.25
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,4.90
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,7.0,0,1,4.43
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,9.0,0,2,6.33
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,9.0,0,2,5.89
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,33,6.0,1,1,3.33
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,9.0,1,0,6.22
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,9.0,1,2,6.00
21,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,9.0,0,2,6.56
22,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,8.0,0,1,7.13
23,Matches/MatchScorecard_ODI.asp?MatchCode=4358,21,10.0,0,1,8.50
24,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,3.0,1,0,5.33
