,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,4.50
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,8.0,0,2,6.75
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,6.0,0,0,6.83
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,52,8.3,0,2,4.35
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,6.60
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,5.11
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,1.0,0,0,12.00
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,6.0,0,0,6.50
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,4.0,0,2,7.75
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,2.0,0,0,7.00
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,6.0,0,0,6.67
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,5.25
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,3.0,0,2,6.67
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,6.67
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,7.0,0,1,4.14
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,2.0,0,0,6.00
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,6.33
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,2.0,0,0,6.50
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,9.0,0,0,5.11
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,8.0,0,0,7.63
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,6.00
21,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-6,8.0,0,0,10.63
22,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.5,0,0,7.03
23,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,4.2,1,3,3.69
24,Matches/MatchScorecard_ODI.asp?MatchCode=4358,77,10.0,0,3,3.50
25,Matches/MatchScorecard_ODI.asp?MatchCode=4358,44,7.0,0,2,10.00
26,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,7.0,1,2,5.29
27,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,8.00
28,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,4.25
29,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,5.00
30,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.2,0,0,7.85
31,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.2,0,1,6.43
32,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,6.0,0,1,5.50
33,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,8.0,0,1,5.38
34,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,5.40
35,Matches/MatchScorecard_ODI.asp?MatchCode=4358,46,7.0,0,2,8.86
36,Matches/MatchScorecard_ODI.asp?MatchCode=4358,75,10.0,0,3,4.90
37,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,5.50
38,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,9.2,0,0,5.57
