,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,7.0,0,0,7.00
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,3.80
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,104,10.0,0,4,6.00
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,44,6.0,0,2,9.17
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,6.4,0,3,2.70
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,10.0,1,0,5.80
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,8.0,0,2,6.50
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,9.0,1,2,5.44
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,6.56
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,5.00
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,5.0,1,1,5.00
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,31,8.0,1,1,4.00
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,9.0,1,1,6.33
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,7.0,0,0,5.43
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-6,6.0,0,0,9.17
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,5.0,0,1,6.20
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,21,6.0,0,1,8.17
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,6.0,0,0,6.00
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,21,8.0,0,1,8.13
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,8.0,0,1,3.25
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,6.0,0,1,4.00
21,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,8.1,0,2,4.65
22,Matches/MatchScorecard_ODI.asp?MatchCode=4358,56,10.0,1,2,4.00
23,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,6.44
24,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,8.0,0,0,6.88
25,Matches/MatchScorecard_ODI.asp?MatchCode=4358,48,10.0,0,2,7.10
26,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,5.0,0,1,5.00
27,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,4.80
28,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,4.90
29,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,6.00
30,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,9.0,0,0,7.22
31,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,5.60
32,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,10.0,0,1,7.10
33,Matches/MatchScorecard_ODI.asp?MatchCode=4358,37,10.0,2,1,3.00
34,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,4.70
35,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,9.0,0,0,6.11
36,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,10.0,0,1,7.20
37,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.70
38,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,10.0,1,3,4.60
39,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,10.0,0,1,7.50
40,Matches/MatchScorecard_ODI.asp?MatchCode=4358,112,10.0,1,4,3.30
41,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,8.0,1,0,4.63
42,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,4.90
43,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,10.0,1,2,4.60
44,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,5.30
45,Matches/MatchScorecard_ODI.asp?MatchCode=4358,75,8.0,0,3,5.00
46,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,10.0,0,0,7.30
47,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,9.0,0,1,3.56
48,Matches/MatchScorecard_ODI.asp?MatchCode=4358,77,9.0,0,3,3.78
49,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,10.0,1,1,4.90
