,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,7.0,0,1,6.86
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,8.00
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,7.0,0,1,4.57
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,3.0,1,0,1.33
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,8.67
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,5.0,0,0,5.00
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,7.0,0,0,4.14
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,5.40
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,9.33
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,6.33
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,4.0,0,1,6.25
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,6.56
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,2.0,0,0,7.00
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.1,0,0,3.16
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,45,10.0,4,1,2.50
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,7.0,0,0,6.29
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,6.0,0,0,4.67
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,5.0,0,0,3.80
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,6.67
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,5.0,0,1,7.20
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,3.4,1,3,3.27
21,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,1.0,0,0,14.00
22,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,8.0,0,2,3.38
23,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,4.67
24,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,7.0,0,0,7.14
25,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,1.0,0,0,7.00
26,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,6.25
27,Matches/MatchScorecard_ODI.asp?MatchCode=4358,52,9.0,0,2,4.33
28,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,1.0,0,0,7.00
29,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,6.0,0,0,5.00
30,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.40
31,Matches/MatchScorecard_ODI.asp?MatchCode=4358,52,10.0,0,2,4.10
32,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,5.0,0,0,7.60
33,Matches/MatchScorecard_ODI.asp?MatchCode=4358,31,10.0,1,1,3.90
34,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,8.2,0,2,3.36
35,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,8.0,0,1,4.75
36,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,2.0,0,0,4.50
37,Matches/MatchScorecard_ODI.asp?MatchCode=4358,83,7.3,1,3,3.33
38,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,4.60
39,Matches/MatchScorecard_ODI.asp?MatchCode=4358,73,10.0,0,3,7.10
40,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,6.0,0,2,3.00
41,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,7.33
42,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,9.0,0,0,6.78
43,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,5.25
44,Matches/MatchScorecard_ODI.asp?MatchCode=4358,31,10.0,1,1,3.70
45,Matches/MatchScorecard_ODI.asp?MatchCode=4358,58,5.0,1,2,2.80
46,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,5.0,0,2,2.80
47,Matches/MatchScorecard_ODI.asp?MatchCode=4358,75,5.0,0,3,5.60
48,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,5.0,0,0,7.20
49,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,8.67
50,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,6.0,0,1,6.33
51,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,7.75
52,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,1.0,0,0,7.00
53,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,3.1,1,0,5.05
54,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,8.0,0,1,5.88
55,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,9.0,0,0,4.11
56,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,2.0,0,0,6.00
57,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,6.0,0,0,4.33
58,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,6.0,0,0,6.33
59,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,4.80
60,Matches/MatchScorecard_ODI.asp?MatchCode=4358,56,10.0,1,2,3.90
61,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,7.0,0,1,5.57
62,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,10.0,0,1,3.10
63,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.00
64,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,5.0,0,1,5.80
65,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,6.0,0,0,3.67
66,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,2.0,0,0,5.00
67,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,7.67
68,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,4.50
69,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,9.0,0,0,8.00
70,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,2.0,0,0,6.50
71,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,10.0,0,0,4.50
72,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,10.0,1,2,4.80
73,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,3.75
74,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,5.0,0,1,6.20
75,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,6.0,0,1,2.83
76,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,6.0,0,0,5.67
77,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,10.0,0,2,3.00
78,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,4.10
79,Matches/MatchScorecard_ODI.asp?MatchCode=4358,6,10.0,1,0,3.70
80,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,7.0,0,0,6.00
81,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,4.25
82,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,1.2,0,0,12.00
83,Matches/MatchScorecard_ODI.asp?MatchCode=4358,6,10.0,1,0,3.60
84,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,9.0,0,1,3.89
85,Matches/MatchScorecard_ODI.asp?MatchCode=4358,52,10.0,0,2,4.50
86,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,9.0,0,2,4.89
87,Matches/MatchScorecard_ODI.asp?MatchCode=4358,6,5.0,0,0,1.80
88,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,1.0,0,1,10.00
89,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,1.0,0,0,9.00
90,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,8.5,0,1,6.00
91,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,5.67
92,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,5.30
93,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,4.10
94,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,5.67
95,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,10.0,1,0,4.80
96,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,5.0,0,0,4.60
97,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,6.44
98,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,5.0,0,0,3.60
99,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,4.0,0,1,5.50
100,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,10.0,0,0,3.60
101,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,2.0,0,0,4.00
102,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,4.20
103,Matches/MatchScorecard_ODI.asp?MatchCode=4358,31,10.0,1,1,3.80
104,Matches/MatchScorecard_ODI.asp?MatchCode=4358,52,10.0,0,2,4.20
105,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,5.0,0,1,4.80
106,Matches/MatchScorecard_ODI.asp?MatchCode=4358,35,8.0,1,1,1.88
