,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2974,7.0,2,2,2.43
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,3021,10.0,0,1,3.80
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,3381,10.0,0,2,3.40
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,3547,10.0,1,2,6.00
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,3731,10.0,1,2,3.40
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,8214,10.0,0,1,4.40
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,78240,10.0,2,1,3.50
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,78572,9.2,0,1,4.50
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,105304,9.0,0,3,3.56
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,109129,4.0,0,0,6.00
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,112322,10.0,0,0,5.80
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,125930,10.0,1,1,3.50
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,126225,10.0,0,3,5.30
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,126283,10.0,0,1,5.20
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,149896,10.0,0,1,5.70
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,172695,10.0,2,3,3.50
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,172780,10.0,0,1,4.60
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,173312,7.0,0,1,4.14
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,173364,10.0,0,2,6.40
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,175265,5.0,1,2,5.20
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,177223,10.0,0,0,6.50
21,Matches/MatchScorecard_ODI.asp?MatchCode=4358,177683,10.0,0,0,5.00
22,Matches/MatchScorecard_ODI.asp?MatchCode=4358,177925,6.0,0,2,4.33
23,Matches/MatchScorecard_ODI.asp?MatchCode=4358,178102,10.0,1,2,5.30
24,Matches/MatchScorecard_ODI.asp?MatchCode=4358,178266,10.0,0,2,6.20
25,Matches/MatchScorecard_ODI.asp?MatchCode=4358,178569,10.0,0,2,5.20
26,Matches/MatchScorecard_ODI.asp?MatchCode=4358,178744,10.0,0,1,6.10
27,Matches/MatchScorecard_ODI.asp?MatchCode=4358,198703,7.0,0,4,4.71
28,Matches/MatchScorecard_ODI.asp?MatchCode=4358,199249,8.0,0,3,6.50
29,Matches/MatchScorecard_ODI.asp?MatchCode=4358,205063,7.0,1,2,4.86
30,Matches/MatchScorecard_ODI.asp?MatchCode=4358,205217,9.0,0,3,5.11
31,Matches/MatchScorecard_ODI.asp?MatchCode=4358,205453,10.0,1,2,3.80
32,Matches/MatchScorecard_ODI.asp?MatchCode=4358,205584,10.0,0,3,4.60
33,Matches/MatchScorecard_ODI.asp?MatchCode=4358,205742,8.0,0,1,6.38
34,Matches/MatchScorecard_ODI.asp?MatchCode=4358,241437,7.0,1,1,4.00
35,Matches/MatchScorecard_ODI.asp?MatchCode=4358,241559,9.2,1,0,4.82
36,Matches/MatchScorecard_ODI.asp?MatchCode=4358,248399,5.3,0,0,6.73
37,Matches/MatchScorecard_ODI.asp?MatchCode=4358,248601,7.0,0,0,5.71
38,Matches/MatchScorecard_ODI.asp?MatchCode=4358,251384,9.0,2,1,6.44
39,Matches/MatchScorecard_ODI.asp?MatchCode=4358,251859,10.0,0,0,4.60
40,Matches/MatchScorecard_ODI.asp?MatchCode=4358,252079,7.0,1,2,4.00
41,Matches/MatchScorecard_ODI.asp?MatchCode=4358,253036,10.0,1,3,5.70
42,Matches/MatchScorecard_ODI.asp?MatchCode=4358,259116,10.0,2,1,6.00
43,Matches/MatchScorecard_ODI.asp?MatchCode=4358,260343,10.0,0,2,4.30
44,Matches/MatchScorecard_ODI.asp?MatchCode=4358,260859,8.0,0,1,7.50
45,Matches/MatchScorecard_ODI.asp?MatchCode=4358,260967,7.0,1,1,3.86
46,Matches/MatchScorecard_ODI.asp?MatchCode=4358,261371,8.0,1,1,5.63
47,Matches/MatchScorecard_ODI.asp?MatchCode=4358,261493,6.0,0,0,3.33
48,Matches/MatchScorecard_ODI.asp?MatchCode=4358,261599,9.0,0,2,5.33
49,Matches/MatchScorecard_ODI.asp?MatchCode=4358,261726,7.0,0,1,5.29
50,Matches/MatchScorecard_ODI.asp?MatchCode=4358,261869,10.0,2,4,3.00
51,Matches/MatchScorecard_ODI.asp?MatchCode=4358,261983,3.0,1,0,0.67
52,Matches/MatchScorecard_ODI.asp?MatchCode=4358,262097,10.0,0,0,4.10
53,Matches/MatchScorecard_ODI.asp?MatchCode=4358,262257,10.0,0,1,6.10
54,Matches/MatchScorecard_ODI.asp?MatchCode=4358,262311,7.0,1,0,4.57
55,Matches/MatchScorecard_ODI.asp?MatchCode=4358,262550,10.0,0,3,5.00
56,Matches/MatchScorecard_ODI.asp?MatchCode=4358,262604,10.0,1,0,7.30
57,Matches/MatchScorecard_ODI.asp?MatchCode=4358,262606,4.0,2,0,1.75
58,Matches/MatchScorecard_ODI.asp?MatchCode=4358,262824,10.0,1,1,4.70
59,Matches/MatchScorecard_ODI.asp?MatchCode=4358,262980,8.0,0,1,5.38
