,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,10.0,0,0,3.40
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,10.0,0,1,3.30
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,56,10.0,1,2,4.30
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,6,9.0,1,0,4.11
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.60
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,10.0,0,0,4.40
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,35,10.0,2,1,3.70
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,5.0,0,3,3.00
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,6.0,0,0,2.83
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,9.0,0,1,4.22
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,10.0,1,1,4.70
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,6.44
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,52,10.0,0,2,4.00
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,68,10.0,3,2,1.60
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,56,10.0,1,2,4.10
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,35,10.0,1,1,2.40
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,10.0,0,0,4.40
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,4.40
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,6.0,0,0,5.50
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,4.80
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,33,10.0,1,1,2.80
21,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,5.00
22,Matches/MatchScorecard_ODI.asp?MatchCode=4358,52,10.0,0,2,4.10
23,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,4.60
24,Matches/MatchScorecard_ODI.asp?MatchCode=4358,52,10.0,0,2,3.90
25,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,8.0,0,1,2.50
26,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,3.80
27,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-4,10.0,0,0,8.40
28,Matches/MatchScorecard_ODI.asp?MatchCode=4358,75,5.0,0,3,5.20
29,Matches/MatchScorecard_ODI.asp?MatchCode=4358,75,9.0,0,3,5.00
30,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,5.0,0,1,2.80
31,Matches/MatchScorecard_ODI.asp?MatchCode=4358,52,10.0,0,2,4.00
32,Matches/MatchScorecard_ODI.asp?MatchCode=4358,52,10.0,0,2,4.50
33,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,3.00
34,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,6.0,0,0,3.83
35,Matches/MatchScorecard_ODI.asp?MatchCode=4358,10,8.0,2,0,4.00
36,Matches/MatchScorecard_ODI.asp?MatchCode=4358,116,9.5,2,4,3.15
37,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,5.2,0,0,5.25
38,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,8.1,0,2,3.18
39,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,8.0,1,1,5.25
40,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,9.0,0,0,4.22
41,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,9.0,1,0,7.78
42,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,9.0,0,1,7.11
43,Matches/MatchScorecard_ODI.asp?MatchCode=4358,108,9.0,0,4,3.33
44,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,10.0,0,0,4.50
45,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,6.10
46,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,9.0,0,2,3.11
47,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,5.33
48,Matches/MatchScorecard_ODI.asp?MatchCode=4358,52,10.0,0,2,4.20
49,Matches/MatchScorecard_ODI.asp?MatchCode=4358,60,8.5,2,2,4.30
50,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.20
51,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,4.50
52,Matches/MatchScorecard_ODI.asp?MatchCode=4358,35,7.3,1,1,2.40
53,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.2,0,1,5.04
54,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,5.25
55,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,7.0,0,1,5.57
56,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,9.0,0,0,3.33
57,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,9.0,0,1,3.78
58,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,8.0,0,0,4.13
59,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,5.22
60,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,5.0,0,0,5.20
61,Matches/MatchScorecard_ODI.asp?MatchCode=4358,60,10.0,1,2,2.30
62,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,7.0,0,1,3.71
63,Matches/MatchScorecard_ODI.asp?MatchCode=4358,77,9.0,0,3,4.22
64,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,7.0,0,1,3.71
65,Matches/MatchScorecard_ODI.asp?MatchCode=4358,60,5.2,1,2,2.06
66,Matches/MatchScorecard_ODI.asp?MatchCode=4358,75,3.5,0,3,3.65
67,Matches/MatchScorecard_ODI.asp?MatchCode=4358,35,7.0,2,1,3.57
68,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,10.0,0,0,3.30
69,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,7.00
70,Matches/MatchScorecard_ODI.asp?MatchCode=4358,58,7.0,1,2,2.57
71,Matches/MatchScorecard_ODI.asp?MatchCode=4358,56,7.0,1,2,3.71
72,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,8.2,0,0,4.20
73,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,6.0,0,1,5.17
74,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,9.0,1,3,5.33
