,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=3452,0,3.0,0,0,3.00
1,Matches/MatchScorecard_ODI.asp?MatchCode=3454,50,2.0,0,2,7.00
2,Matches/MatchScorecard_ODI.asp?MatchCode=3661,0,1.0,0,0,19.00
3,Matches/MatchScorecard_ODI.asp?MatchCode=3627,56,9.0,1,2,4.11
4,Matches/MatchScorecard_ODI.asp?MatchCode=3494,0,1.0,0,0,7.00
5,Matches/MatchScorecard_ODI.asp?MatchCode=3615,0,1.0,0,0,7.00
6,Matches/MatchScorecard_ODI.asp?MatchCode=3699,0,1.0,0,0,11.00
7,Matches/MatchScorecard_ODI.asp?MatchCode=3702,0,2.0,0,0,3.50
8,Matches/MatchScorecard_ODI.asp?MatchCode=4198,0,3.0,0,0,5.00
9,Matches/MatchScorecard_ODI.asp?MatchCode=3623,27,10.0,0,1,3.80
10,Matches/MatchScorecard_ODI.asp?MatchCode=3570,50,4.0,0,2,3.25
11,Matches/MatchScorecard_ODI.asp?MatchCode=3619,0,2.0,0,0,6.50
