,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4093,50,10.0,0,2,5.00
1,Matches/MatchScorecard_ODI.asp?MatchCode=4097,31,10.0,1,1,4.20
2,Matches/MatchScorecard_ODI.asp?MatchCode=4163,4,10.0,0,0,3.10
3,Matches/MatchScorecard_ODI.asp?MatchCode=4257,93,10.0,3,3,1.40
4,Matches/MatchScorecard_ODI.asp?MatchCode=4301,4,5.0,1,0,5.40
5,Matches/MatchScorecard_ODI.asp?MatchCode=4203,6,10.0,1,0,4.30
6,Matches/MatchScorecard_ODI.asp?MatchCode=4340,58,10.0,1,2,3.40
7,Matches/MatchScorecard_ODI.asp?MatchCode=4379,54,10.0,1,2,4.90
8,Matches/MatchScorecard_ODI.asp?MatchCode=4198,58,8.1,1,2,2.69
9,Matches/MatchScorecard_ODI.asp?MatchCode=4202,27,10.0,0,1,3.50
10,Matches/MatchScorecard_ODI.asp?MatchCode=4335,77,10.0,0,3,3.90
11,Matches/MatchScorecard_ODI.asp?MatchCode=4332,29,10.0,0,1,2.60
12,Matches/MatchScorecard_ODI.asp?MatchCode=4192,8,7.0,1,0,2.71
13,Matches/MatchScorecard_ODI.asp?MatchCode=4092,118,10.0,2,4,2.40
14,Matches/MatchScorecard_ODI.asp?MatchCode=4129,58,8.0,2,2,5.13
15,Matches/MatchScorecard_ODI.asp?MatchCode=4131,25,10.0,0,1,4.70
16,Matches/MatchScorecard_ODI.asp?MatchCode=4132,81,10.0,1,3,4.50
17,Matches/MatchScorecard_ODI.asp?MatchCode=4134,133,10.0,0,5,5.00
18,Matches/MatchScorecard_ODI.asp?MatchCode=4136,31,8.0,1,1,3.50
19,Matches/MatchScorecard_ODI.asp?MatchCode=4140,54,10.0,1,2,4.70
20,Matches/MatchScorecard_ODI.asp?MatchCode=4145,79,9.0,1,3,5.44
21,Matches/MatchScorecard_ODI.asp?MatchCode=4147,83,10.0,1,3,2.60
22,Matches/MatchScorecard_ODI.asp?MatchCode=4154,83,10.0,1,3,3.30
23,Matches/MatchScorecard_ODI.asp?MatchCode=4160,37,9.0,2,1,2.89
24,Matches/MatchScorecard_ODI.asp?MatchCode=4164,106,9.5,0,4,4.37
25,Matches/MatchScorecard_ODI.asp?MatchCode=4189,29,10.0,0,1,3.20
26,Matches/MatchScorecard_ODI.asp?MatchCode=4190,27,10.0,0,1,4.10
27,Matches/MatchScorecard_ODI.asp?MatchCode=4195,56,9.0,1,2,3.56
28,Matches/MatchScorecard_ODI.asp?MatchCode=4200,62,10.0,2,2,3.30
29,Matches/MatchScorecard_ODI.asp?MatchCode=4262,25,10.0,0,1,5.50
30,Matches/MatchScorecard_ODI.asp?MatchCode=4265,54,8.0,0,2,3.13
31,Matches/MatchScorecard_ODI.asp?MatchCode=4267,37,10.0,2,1,2.60
32,Matches/MatchScorecard_ODI.asp?MatchCode=4299,2,10.0,0,0,3.50
33,Matches/MatchScorecard_ODI.asp?MatchCode=4306,25,4.5,0,1,9.31
34,Matches/MatchScorecard_ODI.asp?MatchCode=4309,0,3.0,0,0,6.33
35,Matches/MatchScorecard_ODI.asp?MatchCode=4326,2,10.0,0,0,4.40
36,Matches/MatchScorecard_ODI.asp?MatchCode=4348,0,10.0,0,0,5.20
37,Matches/MatchScorecard_ODI.asp?MatchCode=4377,58,10.0,1,2,3.30
38,Matches/MatchScorecard_ODI.asp?MatchCode=4378,29,10.0,1,1,5.20
