,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23252,9.0,0,1,9.22
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,24691,4.0,0,1,8.25
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,24923,9.0,0,1,8.00
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25312,5.0,0,1,6.40
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25475,10.0,0,2,8.40
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,26001,5.1,0,5,4.06
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27594,5.4,0,4,4.76
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27725,10.0,0,2,6.30
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,28435,6.0,0,0,7.17
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,28725,6.0,0,1,8.67
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,28843,6.0,0,0,5.00
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29272,7.0,0,0,9.00
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29662,10.0,1,1,5.80
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29962,7.0,0,1,6.14
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,30112,4.0,0,0,8.00
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,67377,5.0,0,1,6.80
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,67529,10.0,0,3,5.40
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,239982,0.3,0,0,2.00
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,244976,9.1,0,3,4.47
