,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,31632,8.0,0,1,6.88
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,31855,10.0,0,1,6.60
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,95958,5.0,0,0,8.60
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,142236,9.0,0,1,8.89
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,143863,8.5,0,4,5.89
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,176729,10.0,0,1,5.10
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,189698,7.0,0,1,3.71
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,228745,6.0,0,0,8.00
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,229059,10.0,1,2,6.00
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,229573,9.1,0,1,9.49
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,263822,4.0,0,0,10.25
