,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27123,2.0,0,0,7.50
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,52261,3.0,0,0,4.33
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,59001,4.0,0,0,6.25
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,61696,2.0,0,0,6.50
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,66257,5.0,0,1,3.80
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,67065,2.0,0,0,8.00
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,68405,1.0,0,0,8.00
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,68723,1.0,0,0,10.00
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,70680,8.0,0,3,7.25
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,71497,6.0,0,1,5.50
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,92395,4.0,0,0,4.75
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,92876,5.0,0,1,3.40
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,93096,9.0,0,3,6.22
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,228612,2.0,0,0,8.00
