,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,9.0,0,2,4.56
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,31,8.0,1,1,4.50
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,9.0,0,0,6.89
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.40
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,6.00
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,7.0,1,1,5.57
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,4.80
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,106,8.3,0,4,3.88
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,10.0,0,0,4.30
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,6.20
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,4.0,0,1,7.25
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,10.0,0,1,3.40
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,77,10.0,0,3,3.80
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.80
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,52,10.0,0,2,4.50
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,81,10.0,1,3,3.60
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,75,10.0,0,3,5.60
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,10.0,0,0,7.20
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,21,9.0,0,1,8.33
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,9.0,0,0,6.00
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,3.0,1,0,6.00
