,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,6,5.0,1,0,4.20
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,6.40
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,48,8.0,1,2,10.25
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,8,10.0,2,0,4.90
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,9.0,0,0,4.56
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,9.0,0,1,3.67
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,4.00
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,7.0,0,0,5.29
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,87,10.0,2,3,3.40
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,10,10.0,2,0,4.50
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,58,9.5,2,2,6.41
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,56,9.0,1,2,3.67
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,35,10.0,2,1,4.50
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,9.0,1,3,5.00
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,154,9.2,1,6,6.96
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,7.0,0,0,4.86
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,85,10.0,2,3,3.70
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,6.67
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,10.0,1,0,5.10
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,7.0,1,0,5.29
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,10.0,1,3,5.50
21,Matches/MatchScorecard_ODI.asp?MatchCode=4358,35,6.0,1,1,2.33
22,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,9.5,1,3,5.39
23,Matches/MatchScorecard_ODI.asp?MatchCode=4358,81,10.0,1,3,3.70
24,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,9.0,0,0,6.33
25,Matches/MatchScorecard_ODI.asp?MatchCode=4358,75,9.3,0,3,5.47
26,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.50
27,Matches/MatchScorecard_ODI.asp?MatchCode=4358,77,9.0,0,3,4.44
28,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,5.60
29,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,6.00
30,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,6.60
31,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,10.0,0,1,7.00
32,Matches/MatchScorecard_ODI.asp?MatchCode=4358,77,6.1,0,3,3.57
33,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,6.5,0,2,6.88
34,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,10.0,1,0,4.70
35,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,4.80
36,Matches/MatchScorecard_ODI.asp?MatchCode=4358,21,10.0,0,1,8.70
37,Matches/MatchScorecard_ODI.asp?MatchCode=4358,6,5.0,1,0,4.00
38,Matches/MatchScorecard_ODI.asp?MatchCode=4358,33,9.0,1,1,3.44
39,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,9.3,0,0,5.05
40,Matches/MatchScorecard_ODI.asp?MatchCode=4358,21,8.0,0,1,8.50
41,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,7.0,0,1,6.57
42,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,1,2,8.50
43,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,7.0,0,0,7.86
44,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,8.2,1,3,5.28
45,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,10.0,0,1,7.00
46,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,7.00
47,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,5.70
48,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,8.0,0,2,6.50
49,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,5.5,1,1,6.51
50,Matches/MatchScorecard_ODI.asp?MatchCode=4358,60,10.0,2,2,3.60
51,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,0.3,0,0,20.00
52,Matches/MatchScorecard_ODI.asp?MatchCode=4358,6,10.0,1,0,4.00
53,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,9.0,1,1,6.67
54,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,6.60
55,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,10.0,1,2,5.00
56,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,9.0,1,0,6.11
57,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,5.00
58,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,4.89
59,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,6.40
60,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,8.0,0,0,7.63
61,Matches/MatchScorecard_ODI.asp?MatchCode=4358,73,10.0,0,3,7.30
62,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,6.30
63,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,8.0,0,0,4.88
64,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,9.0,0,0,7.56
65,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,9.3,0,2,4.63
