,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,6502,9.0,0,2,4.89
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,8985,10.0,1,2,4.20
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,17118,6.0,0,0,6.00
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,17307,7.0,0,1,4.57
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,17639,10.0,1,3,3.60
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,18193,10.0,1,3,5.30
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23083,10.0,0,0,6.40
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23461,10.0,0,1,7.80
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50298,9.0,0,3,5.33
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50741,5.0,0,0,6.40
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,53106,9.0,1,4,3.44
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,53717,8.0,0,2,7.25
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54640,4.0,0,0,8.25
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,78705,10.0,1,3,6.70
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79132,8.0,0,1,10.25
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,101716,8.0,1,2,4.13
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,102040,10.0,0,3,3.80
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,102229,9.0,1,1,8.33
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,105437,9.0,0,1,6.00
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,106167,9.4,2,3,4.45
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,106549,8.0,1,3,4.00
21,Matches/MatchScorecard_ODI.asp?MatchCode=4358,107079,9.0,0,1,4.67
22,Matches/MatchScorecard_ODI.asp?MatchCode=4358,107509,8.0,0,0,6.00
23,Matches/MatchScorecard_ODI.asp?MatchCode=4358,107588,10.0,1,1,6.10
24,Matches/MatchScorecard_ODI.asp?MatchCode=4358,107644,4.0,0,0,5.00
25,Matches/MatchScorecard_ODI.asp?MatchCode=4358,107769,5.0,0,2,6.40
26,Matches/MatchScorecard_ODI.asp?MatchCode=4358,107973,8.2,0,2,6.00
27,Matches/MatchScorecard_ODI.asp?MatchCode=4358,108046,10.0,0,0,7.10
28,Matches/MatchScorecard_ODI.asp?MatchCode=4358,108179,10.0,1,2,4.90
29,Matches/MatchScorecard_ODI.asp?MatchCode=4358,108181,9.0,0,0,5.67
30,Matches/MatchScorecard_ODI.asp?MatchCode=4358,108241,7.0,0,0,6.57
31,Matches/MatchScorecard_ODI.asp?MatchCode=4358,108343,8.0,0,1,7.25
32,Matches/MatchScorecard_ODI.asp?MatchCode=4358,108472,6.0,0,2,6.50
33,Matches/MatchScorecard_ODI.asp?MatchCode=4358,108520,8.0,0,0,7.00
34,Matches/MatchScorecard_ODI.asp?MatchCode=4358,108593,10.0,0,2,7.60
35,Matches/MatchScorecard_ODI.asp?MatchCode=4358,108647,4.0,0,0,9.50
36,Matches/MatchScorecard_ODI.asp?MatchCode=4358,108801,10.0,0,2,7.50
37,Matches/MatchScorecard_ODI.asp?MatchCode=4358,108971,6.4,0,0,4.35
38,Matches/MatchScorecard_ODI.asp?MatchCode=4358,109203,8.0,2,0,3.75
39,Matches/MatchScorecard_ODI.asp?MatchCode=4358,109471,2.0,0,1,5.00
40,Matches/MatchScorecard_ODI.asp?MatchCode=4358,109623,8.0,0,0,8.00
41,Matches/MatchScorecard_ODI.asp?MatchCode=4358,109785,4.4,0,1,6.00
42,Matches/MatchScorecard_ODI.asp?MatchCode=4358,109914,6.0,0,0,7.50
43,Matches/MatchScorecard_ODI.asp?MatchCode=4358,110294,9.0,0,1,6.33
44,Matches/MatchScorecard_ODI.asp?MatchCode=4358,110415,6.0,0,1,7.67
45,Matches/MatchScorecard_ODI.asp?MatchCode=4358,110820,6.2,2,2,3.79
46,Matches/MatchScorecard_ODI.asp?MatchCode=4358,111086,10.0,1,2,5.40
47,Matches/MatchScorecard_ODI.asp?MatchCode=4358,111325,9.0,0,4,5.89
48,Matches/MatchScorecard_ODI.asp?MatchCode=4358,111537,8.0,0,2,4.75
49,Matches/MatchScorecard_ODI.asp?MatchCode=4358,111963,10.0,1,2,5.50
50,Matches/MatchScorecard_ODI.asp?MatchCode=4358,112320,6.0,0,0,7.00
51,Matches/MatchScorecard_ODI.asp?MatchCode=4358,112528,10.0,0,2,5.00
52,Matches/MatchScorecard_ODI.asp?MatchCode=4358,112777,6.0,0,0,5.67
53,Matches/MatchScorecard_ODI.asp?MatchCode=4358,113028,6.3,2,2,2.31
54,Matches/MatchScorecard_ODI.asp?MatchCode=4358,113215,4.0,0,1,8.50
55,Matches/MatchScorecard_ODI.asp?MatchCode=4358,113604,9.5,1,3,4.37
