,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=3506,56,10.0,1,2,4.20
1,Matches/MatchScorecard_ODI.asp?MatchCode=3531,10,5.0,1,0,1.60
2,Matches/MatchScorecard_ODI.asp?MatchCode=3532,0,7.0,0,0,5.29
3,Matches/MatchScorecard_ODI.asp?MatchCode=3533,29,10.0,1,1,6.30
4,Matches/MatchScorecard_ODI.asp?MatchCode=3535,23,6.0,0,1,7.00
5,Matches/MatchScorecard_ODI.asp?MatchCode=3939,27,6.0,0,1,4.50
6,Matches/MatchScorecard_ODI.asp?MatchCode=3943,50,10.0,0,2,4.80
7,Matches/MatchScorecard_ODI.asp?MatchCode=3944,52,8.0,0,2,3.50
8,Matches/MatchScorecard_ODI.asp?MatchCode=3399,0,4.0,0,0,12.50
9,Matches/MatchScorecard_ODI.asp?MatchCode=2815,54,6.5,0,2,3.37
10,Matches/MatchScorecard_ODI.asp?MatchCode=2816,87,7.0,2,3,3.14
11,Matches/MatchScorecard_ODI.asp?MatchCode=2817,44,9.2,0,2,9.21
12,Matches/MatchScorecard_ODI.asp?MatchCode=3225,50,8.0,0,2,5.38
13,Matches/MatchScorecard_ODI.asp?MatchCode=3228,79,10.0,1,3,5.10
14,Matches/MatchScorecard_ODI.asp?MatchCode=3230,75,8.5,0,3,5.77
15,Matches/MatchScorecard_ODI.asp?MatchCode=3251,27,5.5,0,1,3.94
16,Matches/MatchScorecard_ODI.asp?MatchCode=3267,27,6.0,0,1,3.50
17,Matches/MatchScorecard_ODI.asp?MatchCode=3274,25,6.0,0,1,6.50
18,Matches/MatchScorecard_ODI.asp?MatchCode=3277,0,6.0,0,0,4.83
19,Matches/MatchScorecard_ODI.asp?MatchCode=3282,133,10.0,0,5,4.60
20,Matches/MatchScorecard_ODI.asp?MatchCode=3372,56,9.3,1,2,3.89
21,Matches/MatchScorecard_ODI.asp?MatchCode=3374,0,7.0,0,0,6.71
22,Matches/MatchScorecard_ODI.asp?MatchCode=3713,50,10.0,0,2,5.10
23,Matches/MatchScorecard_ODI.asp?MatchCode=3799,0,6.0,0,0,5.00
24,Matches/MatchScorecard_ODI.asp?MatchCode=3925,0,6.0,0,0,5.00
25,Matches/MatchScorecard_ODI.asp?MatchCode=3197,52,10.0,0,2,4.30
26,Matches/MatchScorecard_ODI.asp?MatchCode=3198,29,10.0,1,1,4.60
27,Matches/MatchScorecard_ODI.asp?MatchCode=3201,50,9.0,0,2,6.78
28,Matches/MatchScorecard_ODI.asp?MatchCode=3203,-2,8.0,0,0,8.00
29,Matches/MatchScorecard_ODI.asp?MatchCode=3287,50,10.0,0,2,6.20
30,Matches/MatchScorecard_ODI.asp?MatchCode=3288,50,8.0,0,2,4.88
31,Matches/MatchScorecard_ODI.asp?MatchCode=3289,79,8.0,1,3,4.75
32,Matches/MatchScorecard_ODI.asp?MatchCode=3291,-2,5.0,0,0,7.60
33,Matches/MatchScorecard_ODI.asp?MatchCode=3488,44,10.0,0,2,9.30
34,Matches/MatchScorecard_ODI.asp?MatchCode=3489,0,4.0,0,0,4.00
35,Matches/MatchScorecard_ODI.asp?MatchCode=3491,0,7.0,0,0,6.29
36,Matches/MatchScorecard_ODI.asp?MatchCode=3500,25,7.0,0,1,6.43
37,Matches/MatchScorecard_ODI.asp?MatchCode=3509,0,9.0,0,0,5.56
38,Matches/MatchScorecard_ODI.asp?MatchCode=3514,25,4.0,0,1,5.00
39,Matches/MatchScorecard_ODI.asp?MatchCode=3569,2,6.0,0,0,4.00
40,Matches/MatchScorecard_ODI.asp?MatchCode=3571,0,2.0,0,0,4.00
41,Matches/MatchScorecard_ODI.asp?MatchCode=3574,0,6.0,0,0,6.67
42,Matches/MatchScorecard_ODI.asp?MatchCode=3658,75,9.0,0,3,5.56
43,Matches/MatchScorecard_ODI.asp?MatchCode=3662,104,10.0,0,4,6.50
44,Matches/MatchScorecard_ODI.asp?MatchCode=3801,75,10.0,0,3,4.70
45,Matches/MatchScorecard_ODI.asp?MatchCode=3802,50,10.0,0,2,5.50
46,Matches/MatchScorecard_ODI.asp?MatchCode=3803,0,2.0,0,0,6.50
47,Matches/MatchScorecard_ODI.asp?MatchCode=3972,-2,6.0,0,0,7.00
48,Matches/MatchScorecard_ODI.asp?MatchCode=3981,25,10.0,0,1,6.20
49,Matches/MatchScorecard_ODI.asp?MatchCode=4017,23,9.0,0,1,7.67
50,Matches/MatchScorecard_ODI.asp?MatchCode=4308,71,10.0,0,3,8.20
51,Matches/MatchScorecard_ODI.asp?MatchCode=4319,25,8.0,0,1,5.50
52,Matches/MatchScorecard_ODI.asp?MatchCode=4324,23,10.0,0,1,7.10
53,Matches/MatchScorecard_ODI.asp?MatchCode=4334,75,10.0,0,3,4.60
54,Matches/MatchScorecard_ODI.asp?MatchCode=4337,0,10.0,0,0,5.50
55,Matches/MatchScorecard_ODI.asp?MatchCode=4340,52,8.0,0,2,3.63
56,Matches/MatchScorecard_ODI.asp?MatchCode=4349,25,7.0,0,1,4.71
57,Matches/MatchScorecard_ODI.asp?MatchCode=3751,25,10.0,0,1,4.90
58,Matches/MatchScorecard_ODI.asp?MatchCode=3757,25,10.0,0,1,6.70
59,Matches/MatchScorecard_ODI.asp?MatchCode=3770,108,9.4,1,4,4.66
60,Matches/MatchScorecard_ODI.asp?MatchCode=3772,54,10.0,1,2,5.40
61,Matches/MatchScorecard_ODI.asp?MatchCode=3776,83,7.3,2,3,6.00
62,Matches/MatchScorecard_ODI.asp?MatchCode=3789,75,10.0,0,3,5.40
63,Matches/MatchScorecard_ODI.asp?MatchCode=3792,50,9.0,0,2,6.00
64,Matches/MatchScorecard_ODI.asp?MatchCode=3715,0,9.0,0,0,6.44
65,Matches/MatchScorecard_ODI.asp?MatchCode=3717,23,8.0,0,1,7.75
66,Matches/MatchScorecard_ODI.asp?MatchCode=3797,104,10.0,0,4,5.90
67,Matches/MatchScorecard_ODI.asp?MatchCode=3798,2,8.0,0,0,4.50
68,Matches/MatchScorecard_ODI.asp?MatchCode=3879,0,10.0,0,0,6.70
69,Matches/MatchScorecard_ODI.asp?MatchCode=3883,25,8.4,0,1,5.88
70,Matches/MatchScorecard_ODI.asp?MatchCode=3926,25,10.0,0,1,4.60
71,Matches/MatchScorecard_ODI.asp?MatchCode=3928,-6,10.0,0,0,11.00
72,Matches/MatchScorecard_ODI.asp?MatchCode=4034,-6,8.4,0,0,10.04
73,Matches/MatchScorecard_ODI.asp?MatchCode=4304,4,3.4,1,0,10.91
74,Matches/MatchScorecard_ODI.asp?MatchCode=4375,29,9.0,0,1,3.00
75,Matches/MatchScorecard_ODI.asp?MatchCode=4376,21,10.0,0,1,8.10
76,Matches/MatchScorecard_ODI.asp?MatchCode=3677,50,10.0,0,2,6.10
77,Matches/MatchScorecard_ODI.asp?MatchCode=3679,0,2.2,0,0,3.00
78,Matches/MatchScorecard_ODI.asp?MatchCode=3859,77,10.0,0,3,4.30
79,Matches/MatchScorecard_ODI.asp?MatchCode=3861,2,6.0,0,0,3.83
80,Matches/MatchScorecard_ODI.asp?MatchCode=3666,27,6.0,1,1,7.00
81,Matches/MatchScorecard_ODI.asp?MatchCode=3836,0,4.0,0,0,4.50
82,Matches/MatchScorecard_ODI.asp?MatchCode=3837,108,10.0,1,4,6.30
83,Matches/MatchScorecard_ODI.asp?MatchCode=3838,2,6.0,0,0,4.00
84,Matches/MatchScorecard_ODI.asp?MatchCode=3858,8,9.4,1,0,3.00
85,Matches/MatchScorecard_ODI.asp?MatchCode=3863,-2,9.0,0,0,7.78
86,Matches/MatchScorecard_ODI.asp?MatchCode=2781,68,8.0,3,2,2.38
87,Matches/MatchScorecard_ODI.asp?MatchCode=2835,25,9.0,0,1,5.78
