MATCH_ID,SCORE,player_name
Matches/MatchScorecard_ODI.asp?MatchCode=3289,16,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3021,32,Chadwick Walton  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3024,28,Chadwick Walton  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=2839,8,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=2841,20,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=2981,12,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=2983,16,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=2984,8,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3001,24,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3124,20,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3165,12,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3167,16,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3292,8,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3293,8,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3307,8,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3381,20,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3500,8,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3526,8,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3528,8,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3554,12,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3556,16,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3617,28,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3635,16,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3722,16,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3730,32,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3763,16,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3771,8,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3777,8,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3839,28,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3902,16,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3935,8,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=4009,16,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=4284,16,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=4295,16,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=4299,24,Gary Wilson  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=3422,8,B J Watling  (New Zealand)
Matches/MatchScorecard_ODI.asp?MatchCode=3424,8,B J Watling  (New Zealand)
Matches/MatchScorecard_ODI.asp?MatchCode=3446,8,B J Watling  (New Zealand)
Matches/MatchScorecard_ODI.asp?MatchCode=3448,8,B J Watling  (New Zealand)
Matches/MatchScorecard_ODI.asp?MatchCode=3449,24,B J Watling  (New Zealand)
Matches/MatchScorecard_ODI.asp?MatchCode=3479,24,B J Watling  (New Zealand)
Matches/MatchScorecard_ODI.asp?MatchCode=3954,16,B J Watling  (New Zealand)
Matches/MatchScorecard_ODI.asp?MatchCode=3966,16,B J Watling  (New Zealand)
Matches/MatchScorecard_ODI.asp?MatchCode=3972,32,Mohammad Rizwan  (Pakistan)
Matches/MatchScorecard_ODI.asp?MatchCode=3973,24,Mohammad Rizwan  (Pakistan)
Matches/MatchScorecard_ODI.asp?MatchCode=3975,24,Mohammad Rizwan  (Pakistan)
Matches/MatchScorecard_ODI.asp?MatchCode=3977,16,Mohammad Rizwan  (Pakistan)
Matches/MatchScorecard_ODI.asp?MatchCode=4244,24,Mohammad Rizwan  (Pakistan)
Matches/MatchScorecard_ODI.asp?MatchCode=4247,8,Mohammad Rizwan  (Pakistan)
Matches/MatchScorecard_ODI.asp?MatchCode=4273,8,Mohammad Rizwan  (Pakistan)
Matches/MatchScorecard_ODI.asp?MatchCode=4276,12,Mohammad Rizwan  (Pakistan)
Matches/MatchScorecard_ODI.asp?MatchCode=2498,20,Niall O'Brien  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=2503,16,Niall O'Brien  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=2606,16,Niall O'Brien  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=2616,12,Niall O'Brien  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=2642,8,Niall O'Brien  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=2646,16,Niall O'Brien  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=2665,16,Niall O'Brien  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=2673,16,Niall O'Brien  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=2679,16,Niall O'Brien  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=2699,8,Niall O'Brien  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=2715,20,Niall O'Brien  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=2807,16,Niall O'Brien  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=2849,16,Niall O'Brien  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=2851,32,Niall O'Brien  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=2884,8,Niall O'Brien  (Ireland)
Matches/MatchScorecard_ODI.asp?MatchCode=2958,12,Niall O'Brien  (Ireland)
