matchid,date,player_name
Matches/MatchScorecard_T20.asp?MatchCode=0631,2017-07-09,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0510,2016-02-12,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0509,2016-02-09,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0576,2016-08-28,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0575,2016-08-27,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0534,2016-03-06,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0569,2016-03-31,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0566,2016-03-27,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0560,2016-03-23,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0554,2016-03-19,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0548,2016-03-15,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0525,2016-02-27,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0522,2016-02-24,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0511,2016-02-14,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0501,2016-01-31,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0499,2016-01-29,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0498,2016-01-26,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0528,2016-03-01,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0469,2015-10-05,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0468,2015-10-02,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0411,2014-09-07,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0406,2014-04-06,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0405,2014-04-04,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0399,2014-03-30,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0395,2014-03-28,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0388,2014-03-23,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0384,2014-03-21,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0335,2013-10-10,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0301,2012-12-28,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0297,2012-12-22,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0295,2012-12-20,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0264,2012-09-11,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0285,2012-09-30,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0281,2012-09-28,Ravichandran Ashwin  (India)
