,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=3892,81,10.0,1,3,4.00
1,Matches/MatchScorecard_ODI.asp?MatchCode=3509,25,10.0,0,1,5.00
2,Matches/MatchScorecard_ODI.asp?MatchCode=3469,0,8.0,0,0,5.38
3,Matches/MatchScorecard_ODI.asp?MatchCode=3827,31,10.0,1,1,3.70
4,Matches/MatchScorecard_ODI.asp?MatchCode=3947,50,4.4,0,2,3.64
5,Matches/MatchScorecard_ODI.asp?MatchCode=3894,50,5.2,0,2,4.88
6,Matches/MatchScorecard_ODI.asp?MatchCode=3896,25,9.0,0,1,5.78
7,Matches/MatchScorecard_ODI.asp?MatchCode=3935,50,7.0,0,2,4.71
8,Matches/MatchScorecard_ODI.asp?MatchCode=3848,0,9.0,0,0,5.67
9,Matches/MatchScorecard_ODI.asp?MatchCode=3669,52,10.0,0,2,3.90
10,Matches/MatchScorecard_ODI.asp?MatchCode=3534,25,9.0,0,1,5.56
11,Matches/MatchScorecard_ODI.asp?MatchCode=3536,25,10.0,0,1,5.20
12,Matches/MatchScorecard_ODI.asp?MatchCode=3543,25,9.0,0,1,5.33
13,Matches/MatchScorecard_ODI.asp?MatchCode=3653,77,9.5,0,3,4.37
14,Matches/MatchScorecard_ODI.asp?MatchCode=3654,35,8.0,2,1,4.25
15,Matches/MatchScorecard_ODI.asp?MatchCode=3656,35,6.0,1,1,2.17
16,Matches/MatchScorecard_ODI.asp?MatchCode=3665,52,8.0,0,2,4.13
17,Matches/MatchScorecard_ODI.asp?MatchCode=3671,27,10.0,0,1,3.80
18,Matches/MatchScorecard_ODI.asp?MatchCode=3673,2,10.0,0,0,3.60
19,Matches/MatchScorecard_ODI.asp?MatchCode=3740,6,10.0,1,0,4.10
20,Matches/MatchScorecard_ODI.asp?MatchCode=3742,25,8.0,0,1,6.63
