,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4021,25,7.0,0,1,5.43
1,Matches/MatchScorecard_ODI.asp?MatchCode=4045,25,8.0,0,1,4.63
2,Matches/MatchScorecard_ODI.asp?MatchCode=3946,133,9.5,0,5,5.19
3,Matches/MatchScorecard_ODI.asp?MatchCode=3948,50,8.0,0,2,5.50
4,Matches/MatchScorecard_ODI.asp?MatchCode=3949,0,8.0,0,0,5.50
5,Matches/MatchScorecard_ODI.asp?MatchCode=4031,25,10.0,1,1,8.20
6,Matches/MatchScorecard_ODI.asp?MatchCode=4029,-4,10.0,0,0,8.10
7,Matches/MatchScorecard_ODI.asp?MatchCode=4030,52,10.0,0,2,4.30
8,Matches/MatchScorecard_ODI.asp?MatchCode=4170,0,5.0,0,0,5.80
9,Matches/MatchScorecard_ODI.asp?MatchCode=4041,4,9.0,1,0,6.78
10,Matches/MatchScorecard_ODI.asp?MatchCode=4036,60,8.0,2,2,3.88
11,Matches/MatchScorecard_ODI.asp?MatchCode=4020,29,5.0,0,1,3.20
12,Matches/MatchScorecard_ODI.asp?MatchCode=3974,75,10.0,0,3,6.70
13,Matches/MatchScorecard_ODI.asp?MatchCode=3976,-2,10.0,0,0,8.00
14,Matches/MatchScorecard_ODI.asp?MatchCode=3978,50,10.0,0,2,5.60
15,Matches/MatchScorecard_ODI.asp?MatchCode=4075,23,10.0,1,1,9.40
16,Matches/MatchScorecard_ODI.asp?MatchCode=4125,0,10.0,0,0,5.80
17,Matches/MatchScorecard_ODI.asp?MatchCode=4073,0,10.0,0,0,6.80
