,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=3471,25,4.2,0,1,4.15
1,Matches/MatchScorecard_ODI.asp?MatchCode=3472,29,10.0,1,1,5.60
2,Matches/MatchScorecard_ODI.asp?MatchCode=3531,126,10.0,4,4,1.30
3,Matches/MatchScorecard_ODI.asp?MatchCode=3532,10,7.0,2,0,4.29
4,Matches/MatchScorecard_ODI.asp?MatchCode=3533,52,10.0,0,2,4.00
5,Matches/MatchScorecard_ODI.asp?MatchCode=3535,21,5.0,0,1,8.20
6,Matches/MatchScorecard_ODI.asp?MatchCode=3538,25,9.5,0,1,4.78
7,Matches/MatchScorecard_ODI.asp?MatchCode=3580,50,8.0,0,2,6.00
8,Matches/MatchScorecard_ODI.asp?MatchCode=3581,25,10.0,0,1,6.30
9,Matches/MatchScorecard_ODI.asp?MatchCode=3583,-2,6.0,0,0,7.83
10,Matches/MatchScorecard_ODI.asp?MatchCode=3593,58,7.1,1,2,2.93
11,Matches/MatchScorecard_ODI.asp?MatchCode=3596,50,4.0,0,2,12.00
12,Matches/MatchScorecard_ODI.asp?MatchCode=3597,33,10.0,2,1,5.80
13,Matches/MatchScorecard_ODI.asp?MatchCode=3598,48,5.0,0,2,7.00
14,Matches/MatchScorecard_ODI.asp?MatchCode=3622,0,4.0,0,0,6.75
15,Matches/MatchScorecard_ODI.asp?MatchCode=3655,27,9.0,0,1,4.33
16,Matches/MatchScorecard_ODI.asp?MatchCode=3657,29,6.0,0,1,2.83
17,Matches/MatchScorecard_ODI.asp?MatchCode=3661,25,8.0,0,1,5.88
18,Matches/MatchScorecard_ODI.asp?MatchCode=3852,4,5.0,1,0,5.80
19,Matches/MatchScorecard_ODI.asp?MatchCode=3855,50,7.0,0,2,6.29
20,Matches/MatchScorecard_ODI.asp?MatchCode=3892,31,10.0,1,1,3.70
21,Matches/MatchScorecard_ODI.asp?MatchCode=3893,25,3.0,0,1,7.00
22,Matches/MatchScorecard_ODI.asp?MatchCode=3898,52,10.0,0,2,4.40
23,Matches/MatchScorecard_ODI.asp?MatchCode=3900,-4,6.0,0,0,8.50
24,Matches/MatchScorecard_ODI.asp?MatchCode=3905,0,2.0,0,0,10.00
25,Matches/MatchScorecard_ODI.asp?MatchCode=3907,33,10.0,1,1,3.30
26,Matches/MatchScorecard_ODI.asp?MatchCode=3909,54,10.0,1,2,5.10
27,Matches/MatchScorecard_ODI.asp?MatchCode=3939,25,7.0,0,1,5.00
28,Matches/MatchScorecard_ODI.asp?MatchCode=3943,54,8.0,1,2,6.38
29,Matches/MatchScorecard_ODI.asp?MatchCode=3944,25,10.0,0,1,6.30
30,Matches/MatchScorecard_ODI.asp?MatchCode=4285,2,6.0,0,0,4.33
31,Matches/MatchScorecard_ODI.asp?MatchCode=4053,29,10.0,1,1,5.30
