,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=3460,0,4.0,0,0,4.00
1,Matches/MatchScorecard_ODI.asp?MatchCode=4341,25,2.0,0,1,3.00
2,Matches/MatchScorecard_ODI.asp?MatchCode=4351,0,1.0,0,0,5.00
3,Matches/MatchScorecard_ODI.asp?MatchCode=4354,0,1.0,0,0,21.00
4,Matches/MatchScorecard_ODI.asp?MatchCode=3878,0,2.0,0,0,10.00
5,Matches/MatchScorecard_ODI.asp?MatchCode=3284,25,7.0,0,1,5.86
6,Matches/MatchScorecard_ODI.asp?MatchCode=3285,50,7.0,0,2,4.86
7,Matches/MatchScorecard_ODI.asp?MatchCode=3286,0,8.0,0,0,5.63
8,Matches/MatchScorecard_ODI.asp?MatchCode=3193,0,3.0,0,0,7.67
9,Matches/MatchScorecard_ODI.asp?MatchCode=3659,75,4.3,0,3,3.56
10,Matches/MatchScorecard_ODI.asp?MatchCode=3663,0,2.0,0,0,10.00
11,Matches/MatchScorecard_ODI.asp?MatchCode=3681,0,2.0,0,0,3.50
12,Matches/MatchScorecard_ODI.asp?MatchCode=3877,0,2.0,0,0,8.00
13,Matches/MatchScorecard_ODI.asp?MatchCode=4423,0,1.0,0,0,8.00
14,Matches/MatchScorecard_ODI.asp?MatchCode=3131,25,8.0,0,1,5.00
15,Matches/MatchScorecard_ODI.asp?MatchCode=3133,52,9.0,0,2,3.78
16,Matches/MatchScorecard_ODI.asp?MatchCode=3134,50,9.0,0,2,6.56
17,Matches/MatchScorecard_ODI.asp?MatchCode=3141,50,10.0,0,2,4.90
18,Matches/MatchScorecard_ODI.asp?MatchCode=3224,75,7.0,0,3,4.71
19,Matches/MatchScorecard_ODI.asp?MatchCode=3226,27,8.0,0,1,3.63
20,Matches/MatchScorecard_ODI.asp?MatchCode=3229,25,7.0,0,1,5.71
21,Matches/MatchScorecard_ODI.asp?MatchCode=3426,0,2.0,0,0,4.50
22,Matches/MatchScorecard_ODI.asp?MatchCode=3749,0,2.0,0,0,9.50
23,Matches/MatchScorecard_ODI.asp?MatchCode=3673,25,2.0,0,1,4.50
24,Matches/MatchScorecard_ODI.asp?MatchCode=3698,0,3.0,0,0,9.00
25,Matches/MatchScorecard_ODI.asp?MatchCode=3700,33,5.0,1,1,3.40
26,Matches/MatchScorecard_ODI.asp?MatchCode=3221,0,3.0,0,0,6.33
27,Matches/MatchScorecard_ODI.asp?MatchCode=3242,25,9.0,0,1,4.89
28,Matches/MatchScorecard_ODI.asp?MatchCode=3090,48,9.5,0,2,7.93
29,Matches/MatchScorecard_ODI.asp?MatchCode=3199,0,3.0,0,0,2.67
30,Matches/MatchScorecard_ODI.asp?MatchCode=3200,0,2.0,0,0,5.00
31,Matches/MatchScorecard_ODI.asp?MatchCode=3216,50,3.0,0,2,4.00
32,Matches/MatchScorecard_ODI.asp?MatchCode=3218,25,2.0,0,1,2.50
33,Matches/MatchScorecard_ODI.asp?MatchCode=3238,0,5.0,0,0,4.80
34,Matches/MatchScorecard_ODI.asp?MatchCode=3254,0,4.0,0,0,4.25
35,Matches/MatchScorecard_ODI.asp?MatchCode=3265,0,6.0,0,0,6.00
36,Matches/MatchScorecard_ODI.asp?MatchCode=3269,0,3.0,0,0,6.00
37,Matches/MatchScorecard_ODI.asp?MatchCode=3311,0,3.0,0,0,6.00
38,Matches/MatchScorecard_ODI.asp?MatchCode=3316,0,2.0,0,0,7.50
39,Matches/MatchScorecard_ODI.asp?MatchCode=3344,27,6.0,0,1,4.00
