,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=3357,2,6.0,0,0,4.50
1,Matches/MatchScorecard_ODI.asp?MatchCode=3359,54,6.2,0,2,2.68
2,Matches/MatchScorecard_ODI.asp?MatchCode=3360,27,6.1,0,1,3.89
3,Matches/MatchScorecard_ODI.asp?MatchCode=3521,29,2.0,1,1,2.00
4,Matches/MatchScorecard_ODI.asp?MatchCode=3580,83,10.0,1,3,3.40
5,Matches/MatchScorecard_ODI.asp?MatchCode=3581,0,7.0,0,0,6.00
6,Matches/MatchScorecard_ODI.asp?MatchCode=3583,0,5.0,0,0,5.80
7,Matches/MatchScorecard_ODI.asp?MatchCode=2857,0,2.0,0,0,5.50
8,Matches/MatchScorecard_ODI.asp?MatchCode=2928,0,4.0,0,0,4.00
9,Matches/MatchScorecard_ODI.asp?MatchCode=2940,2,6.0,0,0,4.00
10,Matches/MatchScorecard_ODI.asp?MatchCode=3214,25,4.0,0,1,5.25
11,Matches/MatchScorecard_ODI.asp?MatchCode=3215,2,6.0,0,0,4.50
12,Matches/MatchScorecard_ODI.asp?MatchCode=3217,0,1.0,0,0,8.00
13,Matches/MatchScorecard_ODI.asp?MatchCode=3219,0,3.0,0,0,4.33
14,Matches/MatchScorecard_ODI.asp?MatchCode=3222,0,2.0,0,0,6.50
15,Matches/MatchScorecard_ODI.asp?MatchCode=3353,27,5.0,0,1,4.00
16,Matches/MatchScorecard_ODI.asp?MatchCode=3367,0,1.0,0,0,4.00
17,Matches/MatchScorecard_ODI.asp?MatchCode=3380,2,10.0,0,0,4.40
18,Matches/MatchScorecard_ODI.asp?MatchCode=3395,0,5.0,0,0,6.80
19,Matches/MatchScorecard_ODI.asp?MatchCode=3397,6,7.0,1,0,4.29
20,Matches/MatchScorecard_ODI.asp?MatchCode=3399,0,2.2,0,0,6.43
21,Matches/MatchScorecard_ODI.asp?MatchCode=3435,0,2.0,0,0,6.00
22,Matches/MatchScorecard_ODI.asp?MatchCode=3781,27,10.0,0,1,4.00
23,Matches/MatchScorecard_ODI.asp?MatchCode=2819,0,1.0,0,0,11.00
24,Matches/MatchScorecard_ODI.asp?MatchCode=3455,0,2.1,0,0,10.62
25,Matches/MatchScorecard_ODI.asp?MatchCode=3456,25,2.0,0,1,6.50
26,Matches/MatchScorecard_ODI.asp?MatchCode=3751,0,1.0,0,0,6.00
27,Matches/MatchScorecard_ODI.asp?MatchCode=3643,25,5.0,0,1,4.80
28,Matches/MatchScorecard_ODI.asp?MatchCode=3603,25,4.0,0,1,4.50
29,Matches/MatchScorecard_ODI.asp?MatchCode=3607,0,4.0,0,0,6.50
30,Matches/MatchScorecard_ODI.asp?MatchCode=3791,4,3.0,1,0,5.00
31,Matches/MatchScorecard_ODI.asp?MatchCode=3808,2,10.0,0,0,4.00
32,Matches/MatchScorecard_ODI.asp?MatchCode=3810,0,2.0,0,0,7.00
33,Matches/MatchScorecard_ODI.asp?MatchCode=3811,75,8.0,0,3,5.63
34,Matches/MatchScorecard_ODI.asp?MatchCode=2360,0,0.2,0,0,12.00
35,Matches/MatchScorecard_ODI.asp?MatchCode=2361,25,4.0,0,1,5.75
36,Matches/MatchScorecard_ODI.asp?MatchCode=2483,0,1.0,0,0,10.00
37,Matches/MatchScorecard_ODI.asp?MatchCode=2932,0,4.0,0,0,4.75
38,Matches/MatchScorecard_ODI.asp?MatchCode=3013,0,1.0,0,0,4.00
39,Matches/MatchScorecard_ODI.asp?MatchCode=3014,25,3.0,0,1,4.67
40,Matches/MatchScorecard_ODI.asp?MatchCode=3016,29,8.0,0,1,3.25
41,Matches/MatchScorecard_ODI.asp?MatchCode=3028,0,1.0,0,0,8.00
42,Matches/MatchScorecard_ODI.asp?MatchCode=3040,0,1.0,0,0,9.00
43,Matches/MatchScorecard_ODI.asp?MatchCode=3042,0,1.0,0,0,3.00
44,Matches/MatchScorecard_ODI.asp?MatchCode=3045,25,4.0,0,1,5.75
45,Matches/MatchScorecard_ODI.asp?MatchCode=3052,25,3.0,0,1,4.33
46,Matches/MatchScorecard_ODI.asp?MatchCode=3062,25,3.0,0,1,12.33
47,Matches/MatchScorecard_ODI.asp?MatchCode=3063,0,2.0,0,0,5.50
48,Matches/MatchScorecard_ODI.asp?MatchCode=3065,0,2.0,0,0,4.50
49,Matches/MatchScorecard_ODI.asp?MatchCode=3071,0,3.0,0,0,3.00
50,Matches/MatchScorecard_ODI.asp?MatchCode=3091,0,3.0,0,0,8.33
51,Matches/MatchScorecard_ODI.asp?MatchCode=3193,0,3.0,0,0,6.00
52,Matches/MatchScorecard_ODI.asp?MatchCode=3204,0,1.0,0,0,5.00
53,Matches/MatchScorecard_ODI.asp?MatchCode=3206,0,1.0,0,0,4.00
54,Matches/MatchScorecard_ODI.asp?MatchCode=3276,25,2.0,0,1,6.00
55,Matches/MatchScorecard_ODI.asp?MatchCode=3294,52,6.0,0,2,3.83
56,Matches/MatchScorecard_ODI.asp?MatchCode=3295,0,2.0,0,0,5.50
57,Matches/MatchScorecard_ODI.asp?MatchCode=3296,0,4.0,0,0,7.75
58,Matches/MatchScorecard_ODI.asp?MatchCode=3298,0,6.0,0,0,5.83
59,Matches/MatchScorecard_ODI.asp?MatchCode=3323,0,1.0,0,0,13.00
60,Matches/MatchScorecard_ODI.asp?MatchCode=3325,4,5.0,0,0,3.20
61,Matches/MatchScorecard_ODI.asp?MatchCode=3327,0,2.0,0,0,6.50
62,Matches/MatchScorecard_ODI.asp?MatchCode=3343,0,2.0,0,0,7.50
63,Matches/MatchScorecard_ODI.asp?MatchCode=3346,25,4.0,0,1,2.25
64,Matches/MatchScorecard_ODI.asp?MatchCode=3355,0,1.0,0,0,3.00
65,Matches/MatchScorecard_ODI.asp?MatchCode=3382,25,1.0,0,1,10.00
66,Matches/MatchScorecard_ODI.asp?MatchCode=3387,0,2.0,0,0,8.50
67,Matches/MatchScorecard_ODI.asp?MatchCode=3459,27,5.0,0,1,3.60
68,Matches/MatchScorecard_ODI.asp?MatchCode=3463,25,1.0,0,1,1.00
69,Matches/MatchScorecard_ODI.asp?MatchCode=3468,0,2.0,0,0,5.00
70,Matches/MatchScorecard_ODI.asp?MatchCode=3505,0,6.0,0,0,6.00
