,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=3915,79,10.0,0,3,2.80
1,Matches/MatchScorecard_ODI.asp?MatchCode=3916,2,10.0,0,0,4.40
2,Matches/MatchScorecard_ODI.asp?MatchCode=3917,112,8.0,1,4,2.63
3,Matches/MatchScorecard_ODI.asp?MatchCode=3918,0,10.0,0,0,6.80
4,Matches/MatchScorecard_ODI.asp?MatchCode=4093,52,10.0,0,2,4.00
5,Matches/MatchScorecard_ODI.asp?MatchCode=4097,60,9.0,1,2,1.89
6,Matches/MatchScorecard_ODI.asp?MatchCode=4163,77,10.0,0,3,4.00
7,Matches/MatchScorecard_ODI.asp?MatchCode=4257,29,10.0,0,1,3.00
8,Matches/MatchScorecard_ODI.asp?MatchCode=4301,4,9.0,0,0,3.44
9,Matches/MatchScorecard_ODI.asp?MatchCode=4203,52,9.5,0,2,4.17
10,Matches/MatchScorecard_ODI.asp?MatchCode=4340,25,10.0,0,1,5.00
11,Matches/MatchScorecard_ODI.asp?MatchCode=4379,25,10.0,0,1,4.60
12,Matches/MatchScorecard_ODI.asp?MatchCode=3936,52,10.0,0,2,3.70
13,Matches/MatchScorecard_ODI.asp?MatchCode=3938,85,10.0,2,3,3.50
14,Matches/MatchScorecard_ODI.asp?MatchCode=3941,52,10.0,0,2,3.90
15,Matches/MatchScorecard_ODI.asp?MatchCode=4198,68,9.0,3,2,1.44
16,Matches/MatchScorecard_ODI.asp?MatchCode=4202,25,10.0,0,1,4.60
17,Matches/MatchScorecard_ODI.asp?MatchCode=4335,0,10.0,0,0,5.20
18,Matches/MatchScorecard_ODI.asp?MatchCode=3846,37,10.0,2,1,3.00
19,Matches/MatchScorecard_ODI.asp?MatchCode=3847,2,10.0,0,0,4.50
20,Matches/MatchScorecard_ODI.asp?MatchCode=3849,52,10.0,0,2,3.70
21,Matches/MatchScorecard_ODI.asp?MatchCode=3850,54,7.1,0,2,3.35
