,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=3916,52,6.0,0,2,3.50
1,Matches/MatchScorecard_ODI.asp?MatchCode=4340,0,2.0,0,0,6.50
2,Matches/MatchScorecard_ODI.asp?MatchCode=3754,50,10.0,0,2,6.10
3,Matches/MatchScorecard_ODI.asp?MatchCode=3482,54,8.0,1,2,5.75
4,Matches/MatchScorecard_ODI.asp?MatchCode=3483,31,8.0,1,1,4.38
5,Matches/MatchScorecard_ODI.asp?MatchCode=3560,118,10.0,2,4,1.90
6,Matches/MatchScorecard_ODI.asp?MatchCode=3561,68,7.0,3,2,1.57
7,Matches/MatchScorecard_ODI.asp?MatchCode=3623,56,6.1,1,2,4.22
8,Matches/MatchScorecard_ODI.asp?MatchCode=3147,27,8.0,0,1,4.25
9,Matches/MatchScorecard_ODI.asp?MatchCode=3164,27,10.0,0,1,3.80
10,Matches/MatchScorecard_ODI.asp?MatchCode=3183,124,8.2,4,4,3.12
11,Matches/MatchScorecard_ODI.asp?MatchCode=3309,25,7.0,0,1,5.71
12,Matches/MatchScorecard_ODI.asp?MatchCode=3759,75,9.0,0,3,5.00
13,Matches/MatchScorecard_ODI.asp?MatchCode=4323,4,4.0,1,0,2.75
14,Matches/MatchScorecard_ODI.asp?MatchCode=4306,12,6.0,2,0,2.50
15,Matches/MatchScorecard_ODI.asp?MatchCode=4309,23,7.0,0,1,7.57
16,Matches/MatchScorecard_ODI.asp?MatchCode=3722,29,8.0,0,1,2.88
17,Matches/MatchScorecard_ODI.asp?MatchCode=3730,81,6.3,1,3,3.69
18,Matches/MatchScorecard_ODI.asp?MatchCode=3764,33,10.0,1,1,3.20
19,Matches/MatchScorecard_ODI.asp?MatchCode=3773,23,10.0,0,1,7.00
20,Matches/MatchScorecard_ODI.asp?MatchCode=3778,4,7.0,1,0,5.14
21,Matches/MatchScorecard_ODI.asp?MatchCode=4315,2,7.0,0,0,4.29
22,Matches/MatchScorecard_ODI.asp?MatchCode=3138,75,8.0,0,3,5.50
23,Matches/MatchScorecard_ODI.asp?MatchCode=3785,29,5.0,0,1,3.40
24,Matches/MatchScorecard_ODI.asp?MatchCode=3007,25,8.0,0,1,5.38
25,Matches/MatchScorecard_ODI.asp?MatchCode=3008,50,10.0,0,2,6.30
26,Matches/MatchScorecard_ODI.asp?MatchCode=3135,0,10.0,0,0,5.80
27,Matches/MatchScorecard_ODI.asp?MatchCode=3142,81,9.0,1,3,3.56
28,Matches/MatchScorecard_ODI.asp?MatchCode=3149,54,8.0,0,2,2.75
29,Matches/MatchScorecard_ODI.asp?MatchCode=3166,31,7.0,1,1,3.71
30,Matches/MatchScorecard_ODI.asp?MatchCode=3711,139,10.0,1,5,4.50
31,Matches/MatchScorecard_ODI.asp?MatchCode=3153,31,10.0,1,1,4.00
32,Matches/MatchScorecard_ODI.asp?MatchCode=3707,23,8.0,0,1,8.00
33,Matches/MatchScorecard_ODI.asp?MatchCode=4290,54,10.0,1,2,5.50
34,Matches/MatchScorecard_ODI.asp?MatchCode=3310,25,4.0,0,1,6.75
35,Matches/MatchScorecard_ODI.asp?MatchCode=3721,25,9.0,0,1,5.78
36,Matches/MatchScorecard_ODI.asp?MatchCode=2964,81,8.0,1,3,4.13
