,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=3915,75,9.0,0,3,5.00
1,Matches/MatchScorecard_ODI.asp?MatchCode=3916,29,8.0,1,1,5.25
2,Matches/MatchScorecard_ODI.asp?MatchCode=3917,4,6.0,0,0,2.83
3,Matches/MatchScorecard_ODI.asp?MatchCode=3918,27,9.0,0,1,4.22
4,Matches/MatchScorecard_ODI.asp?MatchCode=4093,50,10.0,0,2,6.10
5,Matches/MatchScorecard_ODI.asp?MatchCode=4097,54,9.0,0,2,3.11
6,Matches/MatchScorecard_ODI.asp?MatchCode=4163,25,9.0,0,1,5.33
7,Matches/MatchScorecard_ODI.asp?MatchCode=4257,25,10.0,0,1,5.20
8,Matches/MatchScorecard_ODI.asp?MatchCode=3372,0,5.1,0,0,5.61
9,Matches/MatchScorecard_ODI.asp?MatchCode=3620,0,8.0,0,0,5.75
10,Matches/MatchScorecard_ODI.asp?MatchCode=4203,52,10.0,0,2,4.00
11,Matches/MatchScorecard_ODI.asp?MatchCode=4340,56,10.0,0,2,2.30
12,Matches/MatchScorecard_ODI.asp?MatchCode=3864,79,5.0,0,3,3.00
13,Matches/MatchScorecard_ODI.asp?MatchCode=4379,29,10.0,1,1,4.70
14,Matches/MatchScorecard_ODI.asp?MatchCode=3754,25,9.0,0,1,6.44
15,Matches/MatchScorecard_ODI.asp?MatchCode=3936,52,10.0,0,2,4.00
16,Matches/MatchScorecard_ODI.asp?MatchCode=3938,68,10.0,3,2,1.60
17,Matches/MatchScorecard_ODI.asp?MatchCode=3941,56,10.0,1,2,4.10
18,Matches/MatchScorecard_ODI.asp?MatchCode=4198,35,10.0,1,1,2.40
19,Matches/MatchScorecard_ODI.asp?MatchCode=4202,2,10.0,0,0,4.40
20,Matches/MatchScorecard_ODI.asp?MatchCode=4335,27,10.0,0,1,4.40
21,Matches/MatchScorecard_ODI.asp?MatchCode=3421,33,10.0,1,1,2.80
22,Matches/MatchScorecard_ODI.asp?MatchCode=3482,4,7.0,0,0,3.00
23,Matches/MatchScorecard_ODI.asp?MatchCode=3483,54,10.0,1,2,5.30
24,Matches/MatchScorecard_ODI.asp?MatchCode=3560,0,4.0,0,0,2.25
25,Matches/MatchScorecard_ODI.asp?MatchCode=3561,72,8.3,4,2,1.18
26,Matches/MatchScorecard_ODI.asp?MatchCode=3623,75,9.4,0,3,4.55
27,Matches/MatchScorecard_ODI.asp?MatchCode=3626,8,6.4,1,0,3.45
28,Matches/MatchScorecard_ODI.asp?MatchCode=3632,52,10.0,0,2,3.50
29,Matches/MatchScorecard_ODI.asp?MatchCode=3633,29,6.0,0,1,3.17
30,Matches/MatchScorecard_ODI.asp?MatchCode=3843,0,2.0,0,0,5.00
31,Matches/MatchScorecard_ODI.asp?MatchCode=3846,25,7.0,0,1,5.57
32,Matches/MatchScorecard_ODI.asp?MatchCode=3847,4,9.0,0,0,3.33
33,Matches/MatchScorecard_ODI.asp?MatchCode=3849,27,9.0,0,1,3.78
34,Matches/MatchScorecard_ODI.asp?MatchCode=3850,2,8.0,0,0,4.13
35,Matches/MatchScorecard_ODI.asp?MatchCode=3867,50,10.0,0,2,4.90
36,Matches/MatchScorecard_ODI.asp?MatchCode=3869,25,9.0,0,1,5.22
37,Matches/MatchScorecard_ODI.asp?MatchCode=3871,0,5.0,0,0,5.20
38,Matches/MatchScorecard_ODI.asp?MatchCode=3873,60,10.0,1,2,2.30
39,Matches/MatchScorecard_ODI.asp?MatchCode=3991,27,7.0,0,1,3.71
40,Matches/MatchScorecard_ODI.asp?MatchCode=3993,77,9.0,0,3,4.22
41,Matches/MatchScorecard_ODI.asp?MatchCode=3994,27,7.0,0,1,3.71
42,Matches/MatchScorecard_ODI.asp?MatchCode=3998,75,3.5,0,3,3.65
43,Matches/MatchScorecard_ODI.asp?MatchCode=4006,2,9.0,0,0,4.22
44,Matches/MatchScorecard_ODI.asp?MatchCode=4007,2,9.0,1,0,7.78
45,Matches/MatchScorecard_ODI.asp?MatchCode=4008,23,9.0,0,1,7.11
46,Matches/MatchScorecard_ODI.asp?MatchCode=4009,108,9.0,0,4,3.33
47,Matches/MatchScorecard_ODI.asp?MatchCode=4040,4,10.0,0,0,3.40
48,Matches/MatchScorecard_ODI.asp?MatchCode=4043,29,10.0,0,1,3.30
49,Matches/MatchScorecard_ODI.asp?MatchCode=4332,52,9.0,0,2,3.67
50,Matches/MatchScorecard_ODI.asp?MatchCode=3087,52,10.0,0,2,4.50
51,Matches/MatchScorecard_ODI.asp?MatchCode=3147,0,4.0,0,0,3.00
52,Matches/MatchScorecard_ODI.asp?MatchCode=3164,2,6.0,0,0,3.83
53,Matches/MatchScorecard_ODI.asp?MatchCode=3183,10,8.0,2,0,4.00
54,Matches/MatchScorecard_ODI.asp?MatchCode=3309,116,9.5,2,4,3.15
55,Matches/MatchScorecard_ODI.asp?MatchCode=3759,0,5.2,0,0,5.25
56,Matches/MatchScorecard_ODI.asp?MatchCode=4192,54,8.1,0,2,3.18
57,Matches/MatchScorecard_ODI.asp?MatchCode=4323,2,6.4,0,0,4.35
58,Matches/MatchScorecard_ODI.asp?MatchCode=4092,29,5.0,0,1,2.80
59,Matches/MatchScorecard_ODI.asp?MatchCode=4129,35,7.0,2,1,3.57
60,Matches/MatchScorecard_ODI.asp?MatchCode=4131,4,10.0,0,0,3.30
61,Matches/MatchScorecard_ODI.asp?MatchCode=4132,0,4.0,0,0,7.00
62,Matches/MatchScorecard_ODI.asp?MatchCode=4134,58,7.0,1,2,2.57
63,Matches/MatchScorecard_ODI.asp?MatchCode=4136,56,7.0,1,2,3.71
64,Matches/MatchScorecard_ODI.asp?MatchCode=4140,2,8.2,0,0,4.20
65,Matches/MatchScorecard_ODI.asp?MatchCode=4145,25,6.0,0,1,5.17
66,Matches/MatchScorecard_ODI.asp?MatchCode=4147,79,9.0,1,3,5.33
67,Matches/MatchScorecard_ODI.asp?MatchCode=4154,56,10.0,1,2,4.30
68,Matches/MatchScorecard_ODI.asp?MatchCode=4160,27,8.0,0,1,4.13
69,Matches/MatchScorecard_ODI.asp?MatchCode=4164,6,9.0,1,0,4.11
70,Matches/MatchScorecard_ODI.asp?MatchCode=4189,52,10.0,0,2,4.20
71,Matches/MatchScorecard_ODI.asp?MatchCode=4190,60,8.5,2,2,4.30
72,Matches/MatchScorecard_ODI.asp?MatchCode=4195,58,10.0,1,2,3.00
73,Matches/MatchScorecard_ODI.asp?MatchCode=4200,0,10.0,0,0,5.00
74,Matches/MatchScorecard_ODI.asp?MatchCode=4262,27,10.0,0,1,4.50
75,Matches/MatchScorecard_ODI.asp?MatchCode=4265,35,7.3,1,1,2.40
76,Matches/MatchScorecard_ODI.asp?MatchCode=4267,25,9.2,0,1,5.04
77,Matches/MatchScorecard_ODI.asp?MatchCode=4299,0,4.0,0,0,5.25
78,Matches/MatchScorecard_ODI.asp?MatchCode=4306,0,6.0,0,0,5.33
79,Matches/MatchScorecard_ODI.asp?MatchCode=4309,108,9.0,0,4,3.33
80,Matches/MatchScorecard_ODI.asp?MatchCode=4326,-2,9.0,0,0,7.78
81,Matches/MatchScorecard_ODI.asp?MatchCode=4348,25,10.0,0,1,5.60
82,Matches/MatchScorecard_ODI.asp?MatchCode=4377,2,10.0,0,0,4.40
83,Matches/MatchScorecard_ODI.asp?MatchCode=4378,35,10.0,2,1,3.70
84,Matches/MatchScorecard_ODI.asp?MatchCode=3187,0,6.0,0,0,5.50
85,Matches/MatchScorecard_ODI.asp?MatchCode=3407,50,10.0,0,2,4.80
86,Matches/MatchScorecard_ODI.asp?MatchCode=3437,50,10.0,0,2,5.00
87,Matches/MatchScorecard_ODI.asp?MatchCode=3705,52,10.0,0,2,4.10
88,Matches/MatchScorecard_ODI.asp?MatchCode=3709,0,10.0,0,0,4.60
89,Matches/MatchScorecard_ODI.asp?MatchCode=3722,52,10.0,0,2,3.90
90,Matches/MatchScorecard_ODI.asp?MatchCode=3730,29,8.0,0,1,2.50
91,Matches/MatchScorecard_ODI.asp?MatchCode=3764,27,10.0,0,1,3.80
92,Matches/MatchScorecard_ODI.asp?MatchCode=3773,-4,10.0,0,0,8.40
93,Matches/MatchScorecard_ODI.asp?MatchCode=3913,75,5.0,0,3,5.20
94,Matches/MatchScorecard_ODI.asp?MatchCode=3996,60,5.2,1,2,2.06
95,Matches/MatchScorecard_ODI.asp?MatchCode=3778,25,7.1,0,1,5.44
96,Matches/MatchScorecard_ODI.asp?MatchCode=4315,0,3.0,0,0,6.00
97,Matches/MatchScorecard_ODI.asp?MatchCode=4010,2,10.0,0,0,4.50
98,Matches/MatchScorecard_ODI.asp?MatchCode=3138,25,10.0,0,1,5.50
99,Matches/MatchScorecard_ODI.asp?MatchCode=3785,0,4.1,0,0,3.36
100,Matches/MatchScorecard_ODI.asp?MatchCode=3007,4,9.0,0,0,2.67
101,Matches/MatchScorecard_ODI.asp?MatchCode=3008,2,8.0,0,0,3.50
102,Matches/MatchScorecard_ODI.asp?MatchCode=3089,58,8.0,1,2,2.88
103,Matches/MatchScorecard_ODI.asp?MatchCode=3135,0,10.0,0,0,4.80
104,Matches/MatchScorecard_ODI.asp?MatchCode=3142,0,10.0,0,0,4.90
105,Matches/MatchScorecard_ODI.asp?MatchCode=3149,58,9.0,1,2,3.44
106,Matches/MatchScorecard_ODI.asp?MatchCode=3185,25,4.0,0,1,3.50
107,Matches/MatchScorecard_ODI.asp?MatchCode=3628,29,10.0,0,1,3.00
108,Matches/MatchScorecard_ODI.asp?MatchCode=3649,27,10.0,0,1,4.00
109,Matches/MatchScorecard_ODI.asp?MatchCode=3650,2,10.0,0,0,4.20
110,Matches/MatchScorecard_ODI.asp?MatchCode=3651,25,10.0,0,1,5.60
111,Matches/MatchScorecard_ODI.asp?MatchCode=3711,50,10.0,0,2,6.20
112,Matches/MatchScorecard_ODI.asp?MatchCode=3153,33,9.0,2,1,4.67
113,Matches/MatchScorecard_ODI.asp?MatchCode=3406,-2,5.0,0,0,7.40
114,Matches/MatchScorecard_ODI.asp?MatchCode=3652,33,5.0,1,1,3.00
115,Matches/MatchScorecard_ODI.asp?MatchCode=3707,27,8.0,0,1,4.38
116,Matches/MatchScorecard_ODI.asp?MatchCode=3310,25,4.0,0,1,4.00
117,Matches/MatchScorecard_ODI.asp?MatchCode=3721,25,9.0,0,1,5.11
118,Matches/MatchScorecard_ODI.asp?MatchCode=3725,0,10.0,0,0,5.10
119,Matches/MatchScorecard_ODI.asp?MatchCode=2964,0,8.0,0,0,5.13
