,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4234,50,10.0,0,2,6.60
1,Matches/MatchScorecard_ODI.asp?MatchCode=4235,25,9.0,0,1,5.11
2,Matches/MatchScorecard_ODI.asp?MatchCode=4258,0,9.2,0,0,5.57
3,Matches/MatchScorecard_ODI.asp?MatchCode=4275,0,4.0,0,0,5.25
4,Matches/MatchScorecard_ODI.asp?MatchCode=4277,0,3.0,0,0,6.67
5,Matches/MatchScorecard_ODI.asp?MatchCode=4336,27,7.0,0,1,4.14
6,Matches/MatchScorecard_ODI.asp?MatchCode=4341,0,2.0,0,0,6.00
7,Matches/MatchScorecard_ODI.asp?MatchCode=4351,0,3.0,0,0,6.33
8,Matches/MatchScorecard_ODI.asp?MatchCode=4354,0,2.0,0,0,6.50
9,Matches/MatchScorecard_ODI.asp?MatchCode=4329,50,8.0,0,2,6.75
10,Matches/MatchScorecard_ODI.asp?MatchCode=4074,0,4.5,0,0,7.03
11,Matches/MatchScorecard_ODI.asp?MatchCode=4076,0,4.0,0,0,5.00
12,Matches/MatchScorecard_ODI.asp?MatchCode=4115,0,4.2,0,0,7.85
13,Matches/MatchScorecard_ODI.asp?MatchCode=4168,-6,8.0,0,0,10.63
14,Matches/MatchScorecard_ODI.asp?MatchCode=4274,0,6.0,0,0,6.67
15,Matches/MatchScorecard_ODI.asp?MatchCode=4276,50,3.0,0,2,6.67
16,Matches/MatchScorecard_ODI.asp?MatchCode=4224,77,10.0,0,3,3.50
17,Matches/MatchScorecard_ODI.asp?MatchCode=4226,44,7.0,0,2,10.00
18,Matches/MatchScorecard_ODI.asp?MatchCode=4273,0,2.0,0,0,7.00
19,Matches/MatchScorecard_ODI.asp?MatchCode=4067,50,10.0,0,2,5.40
20,Matches/MatchScorecard_ODI.asp?MatchCode=4069,0,9.0,0,0,5.11
21,Matches/MatchScorecard_ODI.asp?MatchCode=4071,-2,8.0,0,0,7.63
22,Matches/MatchScorecard_ODI.asp?MatchCode=4263,0,1.0,0,0,12.00
23,Matches/MatchScorecard_ODI.asp?MatchCode=4266,0,6.0,0,0,6.50
24,Matches/MatchScorecard_ODI.asp?MatchCode=4270,50,4.0,0,2,7.75
25,Matches/MatchScorecard_ODI.asp?MatchCode=4316,46,7.0,0,2,8.86
26,Matches/MatchScorecard_ODI.asp?MatchCode=4222,79,4.2,1,3,3.69
27,Matches/MatchScorecard_ODI.asp?MatchCode=4167,25,10.0,0,1,6.00
28,Matches/MatchScorecard_ODI.asp?MatchCode=4170,52,8.3,0,2,4.35
29,Matches/MatchScorecard_ODI.asp?MatchCode=4236,25,9.2,0,1,6.43
30,Matches/MatchScorecard_ODI.asp?MatchCode=4306,54,7.0,1,2,5.29
31,Matches/MatchScorecard_ODI.asp?MatchCode=3984,75,10.0,0,3,4.90
32,Matches/MatchScorecard_ODI.asp?MatchCode=4108,25,6.0,0,1,5.50
33,Matches/MatchScorecard_ODI.asp?MatchCode=4123,0,3.0,0,0,8.00
34,Matches/MatchScorecard_ODI.asp?MatchCode=3988,0,4.0,0,0,5.50
35,Matches/MatchScorecard_ODI.asp?MatchCode=4312,0,4.0,0,0,4.50
36,Matches/MatchScorecard_ODI.asp?MatchCode=4169,0,6.0,0,0,6.83
37,Matches/MatchScorecard_ODI.asp?MatchCode=4117,25,8.0,0,1,5.38
38,Matches/MatchScorecard_ODI.asp?MatchCode=3833,0,4.0,0,0,4.25
