,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=3450,29,9.0,0,1,3.22
1,Matches/MatchScorecard_ODI.asp?MatchCode=3451,25,5.0,0,1,5.40
2,Matches/MatchScorecard_ODI.asp?MatchCode=3452,25,9.0,0,1,4.78
3,Matches/MatchScorecard_ODI.asp?MatchCode=3453,79,10.0,1,3,4.60
4,Matches/MatchScorecard_ODI.asp?MatchCode=3454,56,10.0,1,2,3.80
5,Matches/MatchScorecard_ODI.asp?MatchCode=3655,25,4.0,0,1,5.00
6,Matches/MatchScorecard_ODI.asp?MatchCode=3657,25,10.0,0,1,4.70
7,Matches/MatchScorecard_ODI.asp?MatchCode=3661,29,10.0,1,1,4.80
8,Matches/MatchScorecard_ODI.asp?MatchCode=3397,0,4.0,0,0,6.00
9,Matches/MatchScorecard_ODI.asp?MatchCode=4025,0,3.0,0,0,4.33
10,Matches/MatchScorecard_ODI.asp?MatchCode=2808,-6,5.0,0,0,11.80
11,Matches/MatchScorecard_ODI.asp?MatchCode=2810,0,2.0,0,0,9.00
12,Matches/MatchScorecard_ODI.asp?MatchCode=2814,6,10.0,1,0,3.80
13,Matches/MatchScorecard_ODI.asp?MatchCode=2815,-2,6.0,0,0,7.33
14,Matches/MatchScorecard_ODI.asp?MatchCode=2816,0,7.0,0,0,5.57
15,Matches/MatchScorecard_ODI.asp?MatchCode=3358,75,1.1,0,3,3.43
16,Matches/MatchScorecard_ODI.asp?MatchCode=3394,0,4.0,0,0,4.75
17,Matches/MatchScorecard_ODI.asp?MatchCode=3403,25,3.0,0,1,4.67
18,Matches/MatchScorecard_ODI.asp?MatchCode=3627,29,7.0,1,1,6.71
19,Matches/MatchScorecard_ODI.asp?MatchCode=3799,0,2.0,0,0,4.50
20,Matches/MatchScorecard_ODI.asp?MatchCode=2805,29,10.0,0,1,3.10
21,Matches/MatchScorecard_ODI.asp?MatchCode=2806,0,6.0,0,0,5.33
22,Matches/MatchScorecard_ODI.asp?MatchCode=2807,27,10.0,0,1,4.10
23,Matches/MatchScorecard_ODI.asp?MatchCode=2812,25,7.0,0,1,6.29
24,Matches/MatchScorecard_ODI.asp?MatchCode=3643,0,2.5,0,0,9.18
25,Matches/MatchScorecard_ODI.asp?MatchCode=3567,25,4.0,0,1,6.75
26,Matches/MatchScorecard_ODI.asp?MatchCode=3573,50,7.0,0,2,5.14
27,Matches/MatchScorecard_ODI.asp?MatchCode=3784,0,3.0,0,0,7.33
28,Matches/MatchScorecard_ODI.asp?MatchCode=2718,50,5.0,0,2,5.60
29,Matches/MatchScorecard_ODI.asp?MatchCode=2879,0,4.0,0,0,3.75
30,Matches/MatchScorecard_ODI.asp?MatchCode=2880,0,2.0,0,0,4.00
31,Matches/MatchScorecard_ODI.asp?MatchCode=2915,0,2.0,0,0,6.50
32,Matches/MatchScorecard_ODI.asp?MatchCode=2919,39,6.0,2,1,1.17
33,Matches/MatchScorecard_ODI.asp?MatchCode=2921,0,3.0,0,0,4.00
