,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=3799,0,2.0,0,0,8.50
1,Matches/MatchScorecard_ODI.asp?MatchCode=3784,0,2.0,0,0,7.00
2,Matches/MatchScorecard_ODI.asp?MatchCode=3699,0,1.0,0,0,6.00
3,Matches/MatchScorecard_ODI.asp?MatchCode=3701,0,3.0,0,0,4.67
4,Matches/MatchScorecard_ODI.asp?MatchCode=3702,0,2.0,0,0,8.00
5,Matches/MatchScorecard_ODI.asp?MatchCode=3754,0,1.0,0,0,4.00
6,Matches/MatchScorecard_ODI.asp?MatchCode=3765,0,4.0,0,0,6.50
7,Matches/MatchScorecard_ODI.asp?MatchCode=3774,25,7.0,0,1,6.71
8,Matches/MatchScorecard_ODI.asp?MatchCode=3780,0,2.0,0,0,6.50
9,Matches/MatchScorecard_ODI.asp?MatchCode=3813,0,0.1,0,0,24.00
10,Matches/MatchScorecard_ODI.asp?MatchCode=3938,0,2.0,0,0,4.00
11,Matches/MatchScorecard_ODI.asp?MatchCode=3971,0,3.0,0,0,6.67
12,Matches/MatchScorecard_ODI.asp?MatchCode=4031,25,1.0,0,1,13.00
13,Matches/MatchScorecard_ODI.asp?MatchCode=4047,0,1.1,0,0,9.43
14,Matches/MatchScorecard_ODI.asp?MatchCode=4083,0,1.0,0,0,11.00
15,Matches/MatchScorecard_ODI.asp?MatchCode=4086,0,1.0,0,0,8.00
16,Matches/MatchScorecard_ODI.asp?MatchCode=4296,0,2.0,0,0,6.00
17,Matches/MatchScorecard_ODI.asp?MatchCode=4250,0,7.0,0,0,5.86
18,Matches/MatchScorecard_ODI.asp?MatchCode=4251,0,4.0,0,0,7.00
19,Matches/MatchScorecard_ODI.asp?MatchCode=3857,25,2.0,0,1,6.00
20,Matches/MatchScorecard_ODI.asp?MatchCode=4357,0,2.4,0,0,7.50
