,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4203,31,10.0,1,1,4.50
1,Matches/MatchScorecard_ODI.asp?MatchCode=4234,0,8.0,0,0,6.88
2,Matches/MatchScorecard_ODI.asp?MatchCode=4219,25,10.0,0,1,6.50
3,Matches/MatchScorecard_ODI.asp?MatchCode=4196,75,10.0,0,3,4.80
4,Matches/MatchScorecard_ODI.asp?MatchCode=4220,79,5.0,0,3,2.60
5,Matches/MatchScorecard_ODI.asp?MatchCode=4221,56,7.0,1,2,4.14
6,Matches/MatchScorecard_ODI.asp?MatchCode=4248,0,3.0,0,0,6.33
7,Matches/MatchScorecard_ODI.asp?MatchCode=4359,0,3.0,0,0,9.00
8,Matches/MatchScorecard_ODI.asp?MatchCode=4360,25,7.0,0,1,4.57
9,Matches/MatchScorecard_ODI.asp?MatchCode=4213,25,10.0,0,1,6.40
10,Matches/MatchScorecard_ODI.asp?MatchCode=4362,69,7.0,0,3,9.71
