,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=3781,-2,5.0,0,0,7.20
1,Matches/MatchScorecard_ODI.asp?MatchCode=3901,0,5.0,0,0,5.80
2,Matches/MatchScorecard_ODI.asp?MatchCode=3902,0,4.0,0,0,5.75
3,Matches/MatchScorecard_ODI.asp?MatchCode=3916,0,6.0,0,0,4.67
4,Matches/MatchScorecard_ODI.asp?MatchCode=3917,29,7.0,0,1,3.43
5,Matches/MatchScorecard_ODI.asp?MatchCode=3918,25,7.0,0,1,6.71
6,Matches/MatchScorecard_ODI.asp?MatchCode=3921,-4,7.0,0,0,8.29
7,Matches/MatchScorecard_ODI.asp?MatchCode=4021,0,3.0,0,0,7.00
8,Matches/MatchScorecard_ODI.asp?MatchCode=4025,0,2.0,0,0,7.00
9,Matches/MatchScorecard_ODI.asp?MatchCode=4026,0,2.0,0,0,9.50
10,Matches/MatchScorecard_ODI.asp?MatchCode=4093,2,7.0,0,0,4.43
11,Matches/MatchScorecard_ODI.asp?MatchCode=4097,29,5.0,1,1,5.00
12,Matches/MatchScorecard_ODI.asp?MatchCode=4107,0,2.0,0,0,9.00
13,Matches/MatchScorecard_ODI.asp?MatchCode=4156,0,2.0,0,0,6.00
14,Matches/MatchScorecard_ODI.asp?MatchCode=4257,0,2.0,0,0,4.00
15,Matches/MatchScorecard_ODI.asp?MatchCode=4285,0,2.0,0,0,3.00
16,Matches/MatchScorecard_ODI.asp?MatchCode=4301,25,3.0,0,1,4.33
17,Matches/MatchScorecard_ODI.asp?MatchCode=3293,0,2.0,0,0,4.00
18,Matches/MatchScorecard_ODI.asp?MatchCode=4150,0,2.0,0,0,5.00
19,Matches/MatchScorecard_ODI.asp?MatchCode=3499,0,5.0,0,0,6.20
20,Matches/MatchScorecard_ODI.asp?MatchCode=3500,0,2.0,0,0,8.00
21,Matches/MatchScorecard_ODI.asp?MatchCode=3789,0,1.1,0,0,4.29
22,Matches/MatchScorecard_ODI.asp?MatchCode=3157,52,9.0,0,2,4.44
23,Matches/MatchScorecard_ODI.asp?MatchCode=3158,0,5.0,0,0,6.60
24,Matches/MatchScorecard_ODI.asp?MatchCode=3243,0,4.0,0,0,3.25
25,Matches/MatchScorecard_ODI.asp?MatchCode=3421,50,3.1,0,2,1.89
26,Matches/MatchScorecard_ODI.asp?MatchCode=4006,2,5.0,0,0,4.00
27,Matches/MatchScorecard_ODI.asp?MatchCode=4007,150,10.0,0,6,5.50
28,Matches/MatchScorecard_ODI.asp?MatchCode=4008,-2,6.0,0,0,7.17
29,Matches/MatchScorecard_ODI.asp?MatchCode=4009,0,4.0,0,0,5.25
30,Matches/MatchScorecard_ODI.asp?MatchCode=4291,25,4.0,0,1,3.50
31,Matches/MatchScorecard_ODI.asp?MatchCode=4092,4,6.0,0,0,2.83
32,Matches/MatchScorecard_ODI.asp?MatchCode=3722,10,9.0,1,0,1.44
33,Matches/MatchScorecard_ODI.asp?MatchCode=3730,4,3.0,1,0,1.33
34,Matches/MatchScorecard_ODI.asp?MatchCode=3526,54,6.0,1,2,4.67
35,Matches/MatchScorecard_ODI.asp?MatchCode=3528,52,10.0,0,2,3.70
36,Matches/MatchScorecard_ODI.asp?MatchCode=3551,-2,5.0,0,0,7.20
37,Matches/MatchScorecard_ODI.asp?MatchCode=3554,25,4.0,0,1,5.00
38,Matches/MatchScorecard_ODI.asp?MatchCode=3617,35,10.0,2,1,4.20
39,Matches/MatchScorecard_ODI.asp?MatchCode=3635,29,8.0,1,1,4.88
40,Matches/MatchScorecard_ODI.asp?MatchCode=3829,0,3.2,0,0,4.20
41,Matches/MatchScorecard_ODI.asp?MatchCode=3839,2,10.0,0,0,3.50
42,Matches/MatchScorecard_ODI.asp?MatchCode=3840,0,6.0,0,0,6.17
43,Matches/MatchScorecard_ODI.asp?MatchCode=3842,29,5.0,0,1,3.40
44,Matches/MatchScorecard_ODI.asp?MatchCode=4010,0,1.0,0,0,7.00
45,Matches/MatchScorecard_ODI.asp?MatchCode=4143,25,3.0,0,1,5.33
46,Matches/MatchScorecard_ODI.asp?MatchCode=4343,25,3.0,0,1,6.67
47,Matches/MatchScorecard_ODI.asp?MatchCode=3752,0,6.0,0,0,5.50
48,Matches/MatchScorecard_ODI.asp?MatchCode=3771,0,10.0,0,0,6.80
49,Matches/MatchScorecard_ODI.asp?MatchCode=3777,0,2.0,0,0,13.00
50,Matches/MatchScorecard_ODI.asp?MatchCode=3108,25,5.0,0,1,6.00
51,Matches/MatchScorecard_ODI.asp?MatchCode=3138,0,6.0,0,0,6.17
52,Matches/MatchScorecard_ODI.asp?MatchCode=3145,29,5.0,0,1,3.40
53,Matches/MatchScorecard_ODI.asp?MatchCode=3151,110,6.5,0,4,1.61
54,Matches/MatchScorecard_ODI.asp?MatchCode=3154,0,4.0,0,0,5.75
55,Matches/MatchScorecard_ODI.asp?MatchCode=3165,2,8.0,0,0,4.38
56,Matches/MatchScorecard_ODI.asp?MatchCode=3179,0,3.0,0,0,5.00
57,Matches/MatchScorecard_ODI.asp?MatchCode=3180,0,4.0,0,0,5.50
58,Matches/MatchScorecard_ODI.asp?MatchCode=3181,0,2.0,0,0,4.50
59,Matches/MatchScorecard_ODI.asp?MatchCode=3249,27,10.0,0,1,4.50
60,Matches/MatchScorecard_ODI.asp?MatchCode=3256,2,10.0,0,0,4.50
61,Matches/MatchScorecard_ODI.asp?MatchCode=3261,0,2.0,0,0,4.50
62,Matches/MatchScorecard_ODI.asp?MatchCode=3268,27,10.0,0,1,4.50
