,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=3939,81,5.4,0,3,2.47
1,Matches/MatchScorecard_ODI.asp?MatchCode=3943,0,9.0,0,0,6.22
2,Matches/MatchScorecard_ODI.asp?MatchCode=3944,10,6.0,1,0,2.17
3,Matches/MatchScorecard_ODI.asp?MatchCode=3921,2,5.0,0,0,4.20
4,Matches/MatchScorecard_ODI.asp?MatchCode=3930,25,10.0,0,1,5.30
5,Matches/MatchScorecard_ODI.asp?MatchCode=3932,104,10.0,0,4,6.00
6,Matches/MatchScorecard_ODI.asp?MatchCode=3972,73,9.0,0,3,7.22
7,Matches/MatchScorecard_ODI.asp?MatchCode=3973,27,7.0,0,1,4.14
8,Matches/MatchScorecard_ODI.asp?MatchCode=3975,25,10.0,0,1,6.20
9,Matches/MatchScorecard_ODI.asp?MatchCode=3977,137,10.0,1,5,5.20
10,Matches/MatchScorecard_ODI.asp?MatchCode=3981,44,9.0,0,2,11.11
11,Matches/MatchScorecard_ODI.asp?MatchCode=4017,-4,5.0,0,0,8.60
12,Matches/MatchScorecard_ODI.asp?MatchCode=4018,139,8.5,1,5,4.30
13,Matches/MatchScorecard_ODI.asp?MatchCode=4019,29,6.0,1,1,4.83
14,Matches/MatchScorecard_ODI.asp?MatchCode=4037,83,8.0,1,3,3.00
15,Matches/MatchScorecard_ODI.asp?MatchCode=4044,77,10.0,0,3,4.30
16,Matches/MatchScorecard_ODI.asp?MatchCode=4045,77,10.0,0,3,3.50
17,Matches/MatchScorecard_ODI.asp?MatchCode=4050,83,6.3,1,3,2.92
18,Matches/MatchScorecard_ODI.asp?MatchCode=4079,77,9.0,0,3,4.00
19,Matches/MatchScorecard_ODI.asp?MatchCode=4081,37,10.0,2,1,3.20
20,Matches/MatchScorecard_ODI.asp?MatchCode=4082,137,10.0,0,5,3.40
21,Matches/MatchScorecard_ODI.asp?MatchCode=4084,77,8.4,0,3,4.27
22,Matches/MatchScorecard_ODI.asp?MatchCode=4087,52,5.2,0,2,3.56
23,Matches/MatchScorecard_ODI.asp?MatchCode=4223,0,9.0,0,0,6.89
24,Matches/MatchScorecard_ODI.asp?MatchCode=4225,50,9.0,0,2,6.56
25,Matches/MatchScorecard_ODI.asp?MatchCode=4237,35,10.0,2,1,4.20
26,Matches/MatchScorecard_ODI.asp?MatchCode=4238,2,8.0,0,0,3.88
27,Matches/MatchScorecard_ODI.asp?MatchCode=4297,25,9.3,0,1,6.00
28,Matches/MatchScorecard_ODI.asp?MatchCode=4300,23,10.0,0,1,7.00
29,Matches/MatchScorecard_ODI.asp?MatchCode=4308,0,10.0,0,0,6.60
30,Matches/MatchScorecard_ODI.asp?MatchCode=4319,25,10.0,0,1,6.70
31,Matches/MatchScorecard_ODI.asp?MatchCode=4324,19,9.0,0,1,9.33
32,Matches/MatchScorecard_ODI.asp?MatchCode=3926,25,9.0,0,1,5.78
33,Matches/MatchScorecard_ODI.asp?MatchCode=3928,48,10.0,0,2,7.40
34,Matches/MatchScorecard_ODI.asp?MatchCode=4034,23,10.0,0,1,7.00
35,Matches/MatchScorecard_ODI.asp?MatchCode=4103,75,10.0,0,3,6.10
36,Matches/MatchScorecard_ODI.asp?MatchCode=4104,-2,5.0,0,0,7.40
37,Matches/MatchScorecard_ODI.asp?MatchCode=4105,75,10.0,0,3,5.90
38,Matches/MatchScorecard_ODI.asp?MatchCode=4110,0,8.5,0,0,6.79
39,Matches/MatchScorecard_ODI.asp?MatchCode=4172,33,4.0,2,1,1.50
40,Matches/MatchScorecard_ODI.asp?MatchCode=4174,81,8.2,1,3,3.84
41,Matches/MatchScorecard_ODI.asp?MatchCode=4178,50,9.0,0,2,6.11
42,Matches/MatchScorecard_ODI.asp?MatchCode=4194,54,7.1,0,2,2.65
43,Matches/MatchScorecard_ODI.asp?MatchCode=4197,0,4.0,0,0,8.25
44,Matches/MatchScorecard_ODI.asp?MatchCode=4201,0,9.0,0,0,5.78
45,Matches/MatchScorecard_ODI.asp?MatchCode=4241,25,6.0,0,1,5.50
46,Matches/MatchScorecard_ODI.asp?MatchCode=4304,0,4.0,0,0,9.75
47,Matches/MatchScorecard_ODI.asp?MatchCode=4200,25,10.0,0,1,5.10
48,Matches/MatchScorecard_ODI.asp?MatchCode=4204,50,9.5,0,2,6.10
49,Matches/MatchScorecard_ODI.asp?MatchCode=4292,25,10.0,1,1,8.10
50,Matches/MatchScorecard_ODI.asp?MatchCode=4294,0,8.0,0,0,6.88
