,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=3506,0,7.4,0,0,4.70
1,Matches/MatchScorecard_ODI.asp?MatchCode=3533,79,10.0,1,3,5.40
2,Matches/MatchScorecard_ODI.asp?MatchCode=3535,35,9.0,2,1,4.33
3,Matches/MatchScorecard_ODI.asp?MatchCode=3538,79,10.0,1,3,4.80
4,Matches/MatchScorecard_ODI.asp?MatchCode=3292,114,5.0,1,4,2.40
5,Matches/MatchScorecard_ODI.asp?MatchCode=3293,50,10.0,0,2,5.30
6,Matches/MatchScorecard_ODI.asp?MatchCode=3352,25,3.0,0,1,6.00
7,Matches/MatchScorecard_ODI.asp?MatchCode=3455,108,9.0,1,4,4.78
8,Matches/MatchScorecard_ODI.asp?MatchCode=3456,81,9.0,1,3,4.33
9,Matches/MatchScorecard_ODI.asp?MatchCode=3457,35,9.0,1,1,1.89
10,Matches/MatchScorecard_ODI.asp?MatchCode=3484,25,9.0,0,1,6.56
11,Matches/MatchScorecard_ODI.asp?MatchCode=3487,50,6.0,0,2,4.83
12,Matches/MatchScorecard_ODI.asp?MatchCode=3591,52,9.0,0,2,4.44
13,Matches/MatchScorecard_ODI.asp?MatchCode=3592,50,9.0,0,2,4.67
14,Matches/MatchScorecard_ODI.asp?MatchCode=3594,77,7.1,0,3,4.33
15,Matches/MatchScorecard_ODI.asp?MatchCode=3618,0,9.0,0,0,6.78
16,Matches/MatchScorecard_ODI.asp?MatchCode=3620,8,6.0,1,0,2.67
17,Matches/MatchScorecard_ODI.asp?MatchCode=3624,0,7.0,0,0,6.29
18,Matches/MatchScorecard_ODI.asp?MatchCode=3631,25,9.0,0,1,6.22
19,Matches/MatchScorecard_ODI.asp?MatchCode=3799,46,7.3,0,2,8.93
20,Matches/MatchScorecard_ODI.asp?MatchCode=3287,0,10.0,0,0,4.90
21,Matches/MatchScorecard_ODI.asp?MatchCode=3288,4,7.0,1,0,5.14
22,Matches/MatchScorecard_ODI.asp?MatchCode=3289,27,7.0,0,1,4.43
23,Matches/MatchScorecard_ODI.asp?MatchCode=3290,52,6.0,0,2,4.33
24,Matches/MatchScorecard_ODI.asp?MatchCode=3291,4,3.0,1,0,5.33
25,Matches/MatchScorecard_ODI.asp?MatchCode=3324,-2,7.0,0,0,7.29
26,Matches/MatchScorecard_ODI.asp?MatchCode=3326,33,10.0,1,1,2.90
27,Matches/MatchScorecard_ODI.asp?MatchCode=3383,25,9.2,0,1,5.68
28,Matches/MatchScorecard_ODI.asp?MatchCode=3441,75,9.0,0,3,5.78
29,Matches/MatchScorecard_ODI.asp?MatchCode=3443,48,6.0,0,2,7.00
30,Matches/MatchScorecard_ODI.asp?MatchCode=3488,10,10.0,2,0,4.20
31,Matches/MatchScorecard_ODI.asp?MatchCode=3489,83,9.0,2,3,5.00
32,Matches/MatchScorecard_ODI.asp?MatchCode=3491,31,7.0,1,1,4.29
33,Matches/MatchScorecard_ODI.asp?MatchCode=3497,87,7.0,2,3,2.71
34,Matches/MatchScorecard_ODI.asp?MatchCode=3499,54,9.0,1,2,6.00
35,Matches/MatchScorecard_ODI.asp?MatchCode=3500,50,9.0,0,2,6.56
36,Matches/MatchScorecard_ODI.asp?MatchCode=3509,25,8.0,0,1,5.63
37,Matches/MatchScorecard_ODI.asp?MatchCode=3514,0,4.0,0,0,5.25
38,Matches/MatchScorecard_ODI.asp?MatchCode=3546,25,9.0,0,1,6.11
39,Matches/MatchScorecard_ODI.asp?MatchCode=3549,118,7.0,2,4,2.14
40,Matches/MatchScorecard_ODI.asp?MatchCode=3550,4,4.0,1,0,5.50
41,Matches/MatchScorecard_ODI.asp?MatchCode=3575,50,9.0,0,2,4.67
42,Matches/MatchScorecard_ODI.asp?MatchCode=3577,50,9.0,0,2,6.33
43,Matches/MatchScorecard_ODI.asp?MatchCode=3582,25,8.0,0,1,4.75
44,Matches/MatchScorecard_ODI.asp?MatchCode=3584,75,9.0,0,3,4.67
45,Matches/MatchScorecard_ODI.asp?MatchCode=3589,73,5.4,0,3,7.76
46,Matches/MatchScorecard_ODI.asp?MatchCode=3590,75,10.0,0,3,5.20
47,Matches/MatchScorecard_ODI.asp?MatchCode=3658,0,9.0,1,0,8.33
48,Matches/MatchScorecard_ODI.asp?MatchCode=3662,23,8.0,0,1,8.00
49,Matches/MatchScorecard_ODI.asp?MatchCode=3803,0,3.0,0,0,7.67
50,Matches/MatchScorecard_ODI.asp?MatchCode=3973,50,8.0,0,2,5.00
51,Matches/MatchScorecard_ODI.asp?MatchCode=3975,25,9.0,0,1,6.44
52,Matches/MatchScorecard_ODI.asp?MatchCode=3977,-4,10.0,0,0,8.20
53,Matches/MatchScorecard_ODI.asp?MatchCode=3981,50,10.0,0,2,6.10
54,Matches/MatchScorecard_ODI.asp?MatchCode=4018,25,6.0,0,1,6.83
55,Matches/MatchScorecard_ODI.asp?MatchCode=4019,50,10.0,0,2,6.00
56,Matches/MatchScorecard_ODI.asp?MatchCode=4037,50,9.0,0,2,5.89
57,Matches/MatchScorecard_ODI.asp?MatchCode=4044,89,10.0,3,3,4.00
58,Matches/MatchScorecard_ODI.asp?MatchCode=4045,50,8.5,0,2,4.75
59,Matches/MatchScorecard_ODI.asp?MatchCode=4050,33,6.0,1,1,3.33
60,Matches/MatchScorecard_ODI.asp?MatchCode=4079,0,6.0,0,0,4.67
61,Matches/MatchScorecard_ODI.asp?MatchCode=4081,27,6.0,0,1,3.50
62,Matches/MatchScorecard_ODI.asp?MatchCode=4082,27,8.0,0,1,4.00
63,Matches/MatchScorecard_ODI.asp?MatchCode=4084,25,4.0,0,1,5.50
64,Matches/MatchScorecard_ODI.asp?MatchCode=4223,4,9.0,1,0,6.22
65,Matches/MatchScorecard_ODI.asp?MatchCode=4297,21,10.0,0,1,8.50
66,Matches/MatchScorecard_ODI.asp?MatchCode=4275,25,9.0,0,1,6.44
67,Matches/MatchScorecard_ODI.asp?MatchCode=4277,71,9.0,0,3,8.11
68,Matches/MatchScorecard_ODI.asp?MatchCode=3797,0,10.0,0,0,5.30
69,Matches/MatchScorecard_ODI.asp?MatchCode=3798,25,9.0,0,1,6.78
70,Matches/MatchScorecard_ODI.asp?MatchCode=4276,4,10.0,1,0,4.70
71,Matches/MatchScorecard_ODI.asp?MatchCode=4178,0,7.0,0,0,5.00
72,Matches/MatchScorecard_ODI.asp?MatchCode=4176,60,5.0,1,2,1.40
73,Matches/MatchScorecard_ODI.asp?MatchCode=4177,29,6.0,1,1,5.33
74,Matches/MatchScorecard_ODI.asp?MatchCode=4204,114,9.0,1,4,2.11
75,Matches/MatchScorecard_ODI.asp?MatchCode=4294,23,8.0,0,1,7.13
