,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=3357,54,10.0,0,2,3.40
1,Matches/MatchScorecard_ODI.asp?MatchCode=3359,-2,6.0,0,0,7.67
2,Matches/MatchScorecard_ODI.asp?MatchCode=3360,31,10.0,1,1,4.10
3,Matches/MatchScorecard_ODI.asp?MatchCode=3398,31,10.0,0,1,2.40
4,Matches/MatchScorecard_ODI.asp?MatchCode=3400,112,8.0,1,4,3.38
5,Matches/MatchScorecard_ODI.asp?MatchCode=3402,83,9.5,1,3,3.25
6,Matches/MatchScorecard_ODI.asp?MatchCode=3404,31,10.0,0,1,2.10
7,Matches/MatchScorecard_ODI.asp?MatchCode=3405,50,10.0,0,2,5.50
8,Matches/MatchScorecard_ODI.asp?MatchCode=3412,25,10.0,0,1,4.70
9,Matches/MatchScorecard_ODI.asp?MatchCode=3414,4,10.0,1,0,5.40
10,Matches/MatchScorecard_ODI.asp?MatchCode=3422,62,10.0,2,2,2.60
11,Matches/MatchScorecard_ODI.asp?MatchCode=3424,52,10.0,0,2,4.50
12,Matches/MatchScorecard_ODI.asp?MatchCode=3427,54,10.0,0,2,2.80
13,Matches/MatchScorecard_ODI.asp?MatchCode=3429,60,10.0,1,2,2.00
14,Matches/MatchScorecard_ODI.asp?MatchCode=3430,141,10.0,1,5,2.70
15,Matches/MatchScorecard_ODI.asp?MatchCode=3450,29,8.0,1,1,4.88
16,Matches/MatchScorecard_ODI.asp?MatchCode=3451,4,10.0,1,0,4.80
17,Matches/MatchScorecard_ODI.asp?MatchCode=3452,106,10.0,0,4,3.70
18,Matches/MatchScorecard_ODI.asp?MatchCode=3453,31,8.0,1,1,4.00
19,Matches/MatchScorecard_ODI.asp?MatchCode=3454,81,10.0,1,3,3.80
20,Matches/MatchScorecard_ODI.asp?MatchCode=3471,0,3.0,0,0,8.00
21,Matches/MatchScorecard_ODI.asp?MatchCode=3472,29,10.0,0,1,3.40
22,Matches/MatchScorecard_ODI.asp?MatchCode=3473,50,10.0,0,2,5.50
23,Matches/MatchScorecard_ODI.asp?MatchCode=3474,58,10.0,1,2,3.40
24,Matches/MatchScorecard_ODI.asp?MatchCode=3475,8,10.0,1,0,2.70
25,Matches/MatchScorecard_ODI.asp?MatchCode=3478,95,10.0,4,3,2.80
26,Matches/MatchScorecard_ODI.asp?MatchCode=3480,25,10.0,0,1,5.50
27,Matches/MatchScorecard_ODI.asp?MatchCode=3481,31,10.0,1,1,4.10
28,Matches/MatchScorecard_ODI.asp?MatchCode=3506,83,10.0,1,3,3.40
29,Matches/MatchScorecard_ODI.asp?MatchCode=3510,50,10.0,0,2,4.90
30,Matches/MatchScorecard_ODI.asp?MatchCode=3513,0,7.0,0,0,6.71
31,Matches/MatchScorecard_ODI.asp?MatchCode=3520,106,10.0,0,4,4.00
32,Matches/MatchScorecard_ODI.asp?MatchCode=3521,0,10.0,0,0,5.60
33,Matches/MatchScorecard_ODI.asp?MatchCode=3525,2,5.0,1,0,7.00
34,Matches/MatchScorecard_ODI.asp?MatchCode=3531,0,3.0,0,0,10.67
35,Matches/MatchScorecard_ODI.asp?MatchCode=3532,112,10.0,1,4,2.60
36,Matches/MatchScorecard_ODI.asp?MatchCode=3533,0,9.0,0,0,6.11
37,Matches/MatchScorecard_ODI.asp?MatchCode=3535,2,7.0,0,0,4.14
38,Matches/MatchScorecard_ODI.asp?MatchCode=3538,2,10.0,0,0,4.20
39,Matches/MatchScorecard_ODI.asp?MatchCode=3580,29,10.0,1,1,5.70
40,Matches/MatchScorecard_ODI.asp?MatchCode=3581,10,10.0,2,0,3.90
41,Matches/MatchScorecard_ODI.asp?MatchCode=3583,33,10.0,1,1,3.20
42,Matches/MatchScorecard_ODI.asp?MatchCode=3593,37,10.0,2,1,2.80
43,Matches/MatchScorecard_ODI.asp?MatchCode=3596,25,4.0,0,1,12.50
44,Matches/MatchScorecard_ODI.asp?MatchCode=3597,25,10.0,0,1,4.70
45,Matches/MatchScorecard_ODI.asp?MatchCode=3598,0,5.5,0,0,5.31
46,Matches/MatchScorecard_ODI.asp?MatchCode=3622,56,10.0,1,2,3.60
47,Matches/MatchScorecard_ODI.asp?MatchCode=3625,29,10.0,0,1,2.50
48,Matches/MatchScorecard_ODI.asp?MatchCode=3629,29,10.0,1,1,5.20
49,Matches/MatchScorecard_ODI.asp?MatchCode=3655,8,10.0,1,0,2.90
50,Matches/MatchScorecard_ODI.asp?MatchCode=3657,81,7.0,0,3,1.86
51,Matches/MatchScorecard_ODI.asp?MatchCode=3661,29,10.0,0,1,3.10
52,Matches/MatchScorecard_ODI.asp?MatchCode=3852,77,6.0,0,3,3.50
53,Matches/MatchScorecard_ODI.asp?MatchCode=3853,29,8.0,0,1,3.38
54,Matches/MatchScorecard_ODI.asp?MatchCode=3855,8,7.3,1,0,3.20
55,Matches/MatchScorecard_ODI.asp?MatchCode=3892,154,9.5,0,6,2.75
56,Matches/MatchScorecard_ODI.asp?MatchCode=3893,60,10.0,2,2,3.60
57,Matches/MatchScorecard_ODI.asp?MatchCode=3898,2,10.0,0,0,4.40
58,Matches/MatchScorecard_ODI.asp?MatchCode=3900,0,10.0,0,0,4.60
59,Matches/MatchScorecard_ODI.asp?MatchCode=3905,0,10.0,0,0,4.90
60,Matches/MatchScorecard_ODI.asp?MatchCode=3907,79,10.0,0,3,2.80
61,Matches/MatchScorecard_ODI.asp?MatchCode=3909,29,10.0,1,1,5.50
62,Matches/MatchScorecard_ODI.asp?MatchCode=3939,25,10.0,0,1,5.80
63,Matches/MatchScorecard_ODI.asp?MatchCode=3943,25,8.0,0,1,4.88
64,Matches/MatchScorecard_ODI.asp?MatchCode=3944,25,10.0,0,1,4.70
