,MATCH_ID,SCORE
0,Matches/MatchScorecard_ODI.asp?MatchCode=3705,20
1,Matches/MatchScorecard_ODI.asp?MatchCode=3707,16
2,Matches/MatchScorecard_ODI.asp?MatchCode=3709,8
3,Matches/MatchScorecard_ODI.asp?MatchCode=3711,8
4,Matches/MatchScorecard_ODI.asp?MatchCode=3721,24
6,Matches/MatchScorecard_ODI.asp?MatchCode=3725,16
7,Matches/MatchScorecard_ODI.asp?MatchCode=3730,16
8,Matches/MatchScorecard_ODI.asp?MatchCode=3754,16
9,Matches/MatchScorecard_ODI.asp?MatchCode=3759,8
10,Matches/MatchScorecard_ODI.asp?MatchCode=3764,24
13,Matches/MatchScorecard_ODI.asp?MatchCode=3785,8
15,Matches/MatchScorecard_ODI.asp?MatchCode=4043,20
