,MATCH_ID,SCORE
1,Matches/MatchScorecard_ODI.asp?MatchCode=2567,20
2,Matches/MatchScorecard_ODI.asp?MatchCode=2568,20
5,Matches/MatchScorecard_ODI.asp?MatchCode=2612,32
6,Matches/MatchScorecard_ODI.asp?MatchCode=2618,8
7,Matches/MatchScorecard_ODI.asp?MatchCode=2623,12
9,Matches/MatchScorecard_ODI.asp?MatchCode=2635,8
10,Matches/MatchScorecard_ODI.asp?MatchCode=2637,24
11,Matches/MatchScorecard_ODI.asp?MatchCode=2645,16
19,Matches/MatchScorecard_ODI.asp?MatchCode=2683,8
21,Matches/MatchScorecard_ODI.asp?MatchCode=2690,20
22,Matches/MatchScorecard_ODI.asp?MatchCode=2716,16
23,Matches/MatchScorecard_ODI.asp?MatchCode=2717,16
24,Matches/MatchScorecard_ODI.asp?MatchCode=2718,16
26,Matches/MatchScorecard_ODI.asp?MatchCode=2771,8
28,Matches/MatchScorecard_ODI.asp?MatchCode=2816,8
30,Matches/MatchScorecard_ODI.asp?MatchCode=2823,8
31,Matches/MatchScorecard_ODI.asp?MatchCode=2827,8
37,Matches/MatchScorecard_ODI.asp?MatchCode=2882,8
41,Matches/MatchScorecard_ODI.asp?MatchCode=2915,8
42,Matches/MatchScorecard_ODI.asp?MatchCode=2916,16
43,Matches/MatchScorecard_ODI.asp?MatchCode=2919,8
45,Matches/MatchScorecard_ODI.asp?MatchCode=2923,20
47,Matches/MatchScorecard_ODI.asp?MatchCode=2987,12
49,Matches/MatchScorecard_ODI.asp?MatchCode=2994,16
50,Matches/MatchScorecard_ODI.asp?MatchCode=2995,8
51,Matches/MatchScorecard_ODI.asp?MatchCode=2996,8
53,Matches/MatchScorecard_ODI.asp?MatchCode=2998,20
55,Matches/MatchScorecard_ODI.asp?MatchCode=3043,20
56,Matches/MatchScorecard_ODI.asp?MatchCode=3044,8
57,Matches/MatchScorecard_ODI.asp?MatchCode=3048,8
58,Matches/MatchScorecard_ODI.asp?MatchCode=3049,20
59,Matches/MatchScorecard_ODI.asp?MatchCode=3067,16
61,Matches/MatchScorecard_ODI.asp?MatchCode=3070,8
62,Matches/MatchScorecard_ODI.asp?MatchCode=3072,8
63,Matches/MatchScorecard_ODI.asp?MatchCode=3079,20
64,Matches/MatchScorecard_ODI.asp?MatchCode=3081,8
65,Matches/MatchScorecard_ODI.asp?MatchCode=3083,12
66,Matches/MatchScorecard_ODI.asp?MatchCode=3094,12
67,Matches/MatchScorecard_ODI.asp?MatchCode=3095,8
68,Matches/MatchScorecard_ODI.asp?MatchCode=3098,8
69,Matches/MatchScorecard_ODI.asp?MatchCode=3123,20
70,Matches/MatchScorecard_ODI.asp?MatchCode=3125,8
71,Matches/MatchScorecard_ODI.asp?MatchCode=3128,12
74,Matches/MatchScorecard_ODI.asp?MatchCode=3158,36
77,Matches/MatchScorecard_ODI.asp?MatchCode=3186,16
80,Matches/MatchScorecard_ODI.asp?MatchCode=3205,24
81,Matches/MatchScorecard_ODI.asp?MatchCode=3207,20
82,Matches/MatchScorecard_ODI.asp?MatchCode=3209,40
83,Matches/MatchScorecard_ODI.asp?MatchCode=3213,8
84,Matches/MatchScorecard_ODI.asp?MatchCode=3235,8
85,Matches/MatchScorecard_ODI.asp?MatchCode=3243,12
87,Matches/MatchScorecard_ODI.asp?MatchCode=3262,12
88,Matches/MatchScorecard_ODI.asp?MatchCode=3266,20
89,Matches/MatchScorecard_ODI.asp?MatchCode=3273,20
93,Matches/MatchScorecard_ODI.asp?MatchCode=3312,8
94,Matches/MatchScorecard_ODI.asp?MatchCode=3313,24
95,Matches/MatchScorecard_ODI.asp?MatchCode=3315,12
96,Matches/MatchScorecard_ODI.asp?MatchCode=3317,32
97,Matches/MatchScorecard_ODI.asp?MatchCode=3319,8
100,Matches/MatchScorecard_ODI.asp?MatchCode=3338,8
101,Matches/MatchScorecard_ODI.asp?MatchCode=3354,8
102,Matches/MatchScorecard_ODI.asp?MatchCode=3356,8
103,Matches/MatchScorecard_ODI.asp?MatchCode=3358,36
105,Matches/MatchScorecard_ODI.asp?MatchCode=3397,8
106,Matches/MatchScorecard_ODI.asp?MatchCode=3401,28
107,Matches/MatchScorecard_ODI.asp?MatchCode=3403,8
108,Matches/MatchScorecard_ODI.asp?MatchCode=3450,8
109,Matches/MatchScorecard_ODI.asp?MatchCode=3451,24
110,Matches/MatchScorecard_ODI.asp?MatchCode=3452,20
111,Matches/MatchScorecard_ODI.asp?MatchCode=3453,8
112,Matches/MatchScorecard_ODI.asp?MatchCode=3454,20
115,Matches/MatchScorecard_ODI.asp?MatchCode=3493,12
118,Matches/MatchScorecard_ODI.asp?MatchCode=3496,16
119,Matches/MatchScorecard_ODI.asp?MatchCode=3567,16
120,Matches/MatchScorecard_ODI.asp?MatchCode=3570,8
121,Matches/MatchScorecard_ODI.asp?MatchCode=3573,16
130,Matches/MatchScorecard_ODI.asp?MatchCode=3644,8
131,Matches/MatchScorecard_ODI.asp?MatchCode=3645,24
132,Matches/MatchScorecard_ODI.asp?MatchCode=3655,16
133,Matches/MatchScorecard_ODI.asp?MatchCode=3657,16
134,Matches/MatchScorecard_ODI.asp?MatchCode=3661,8
135,Matches/MatchScorecard_ODI.asp?MatchCode=3699,20
137,Matches/MatchScorecard_ODI.asp?MatchCode=3702,20
138,Matches/MatchScorecard_ODI.asp?MatchCode=3704,8
