matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=0634,2017-09-12
Matches/MatchScorecard_T20.asp?MatchCode=0635,2017-09-13
Matches/MatchScorecard_ODI.asp?MatchCode=3944,2016-10-05
Matches/MatchScorecard_ODI.asp?MatchCode=3776,2015-03-07
Matches/MatchScorecard_ODI.asp?MatchCode=3772,2015-03-04
Matches/MatchScorecard_ODI.asp?MatchCode=3792,2015-03-20
Matches/MatchScorecard_ODI.asp?MatchCode=3789,2015-03-15
Matches/MatchScorecard_ODI.asp?MatchCode=3757,2015-02-21
Matches/MatchScorecard_ODI.asp?MatchCode=3751,2015-02-15
Matches/MatchScorecard_ODI.asp?MatchCode=3770,2015-03-01
Matches/MatchScorecard_T20.asp?MatchCode=0208,2011-09-18
Matches/MatchScorecard_T20.asp?MatchCode=0207,2011-09-16
Matches/MatchScorecard_ODI.asp?MatchCode=3330,2011-09-14
Matches/MatchScorecard_ODI.asp?MatchCode=2925,2009-01-24
Matches/MatchScorecard_T20.asp?MatchCode=0071,2008-10-10
Matches/MatchScorecard_ODI.asp?MatchCode=2814,2008-04-16
Matches/MatchScorecard_ODI.asp?MatchCode=2812,2008-04-13
Matches/MatchScorecard_ODI.asp?MatchCode=2779,2008-01-30
