match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0615,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4009,9,c†WilsonbMurtagh,87.50,0,1,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0625,24,c†WaltonbWilliams,123.53,1,1,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0587,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0586,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0490,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0488,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0565,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0514,5,st†PatilbRohanMustafa,200.00,1,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0472,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0471,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3633,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3632,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3871,3,cWallerbJongwe,30.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0517,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3623,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0353,2,notout,40.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0350,3,notout,150.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0341,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0340,0,runout,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0336,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0334,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3561,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0313,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0310,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3372,0,c†UmarAkmalbWahabRiaz,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3421,3,notout,33.33,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0559,1,runout,50.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0627,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0626,7,notout,150.00,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4043,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4040,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0602,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0592,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0614,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0613,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4008,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4007,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4006,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3620,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0555,3,notout,50.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3843,4,lbwbChisoro,33.33,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0376,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3626,1,lbwbMendis,7.14,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3560,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3998,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3993,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3991,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0600,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0536,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3873,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3869,1,c†MutumbamibJongwe,8.33,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3867,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3864,2,notout,20.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3850,0,notout,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3849,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3847,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3846,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3483,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3482,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0585,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3994,2,cNgaravabWilliams,28.57,0,0,Tail
