match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=3751,39,cRainabAshwin,75.00,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3799,61,c†MushfiqurRahimbMashrafeMortaza,89.66,1,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3720,76,bMcClenaghan,87.84,5,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0326,1,c&amp;bBadree,25.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4337,81,runout,89.47,5,2,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0656,23,notout,166.67,3,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0655,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0654,10,cBrucebKitchen,90.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4114,72,cHenrybSantner,72.41,5,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4110,60,cNichollsbWilliamson,67.57,4,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4227,74,cWorkerbFerguson,101.69,6,2,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3747,7,cMcCullumbMilne,100.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3745,26,cGuptillbAnderson,60.53,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3719,15,cLathambVettori,52.00,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3717,46,cWilliamsonbHenry,139.29,5,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3715,37,cTaylorbAnderson,73.33,2,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3713,96,notout,77.98,5,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0421,3,cLathambHenry,33.33,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0420,12,cMcCullumbMcClenaghan,91.67,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4277,151,cLyonbRichardson,100.78,11,3,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4276,26,cMaxwellbLyon,58.14,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4275,1,cMarshbCummins,16.67,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4274,39,c†CareybFinch,73.91,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4273,113,notout,87.83,6,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0702,0,cShortbRichardson,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3792,45,c†HaddinbJohnson,71.93,4,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0425,32,notout,125.00,0,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3798,47,c&amp;bMashrafeMortaza,72.13,1,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3797,61,cMahmudullahbTaskinAhmed,79.69,4,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4287,16,notout,93.33,2,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0791,65,cWilleybArcher,138.89,5,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4304,9,c†HopebRussell,72.73,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3546,2,cUtseyabVitori,28.57,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4292,14,cBairstowbPlunkett,77.78,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4294,48,runout,100.00,7,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1050,8,cRichardsonbAgar,50.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=1044,6,c&amp;bRichardson,66.67,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=1041,5,cSmithbRichardson,66.67,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4340,29,lbwbRashidKhan,47.37,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4200,14,cIhsanullahbMujeebUrRahman,61.90,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3789,3,runout,42.86,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4375,41,runout,83.33,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0947,66,st†SamarawickramabdeSilva,104.00,4,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4334,108,c†deKockbNgidi,150.85,9,3,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4349,7,cSoumyaSarkarbMustafizurRahman,100.00,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4376,65,bJayasuriya,112.00,3,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0700,17,cMirebWPMasakadza,106.67,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3772,81,cShaimanAnwarbMohammadNaveed,84.34,5,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3757,0,csubbTaylor,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3770,29,cWilliamsbSikandarRaza,61.36,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3538,19,cSimmonsbBest,77.27,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3535,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3533,28,cPollardbRoach,70.27,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3802,62,notout,106.12,6,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=3801,103,notout,134.85,6,2,Middle Order
