matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=0710,2018-08-05
Matches/MatchScorecard_T20.asp?MatchCode=0701,2018-04-03
Matches/MatchScorecard_T20.asp?MatchCode=0653,2018-01-03
Matches/MatchScorecard_T20.asp?MatchCode=0679,2018-04-02
Matches/MatchScorecard_T20.asp?MatchCode=0678,2018-04-01
Matches/MatchScorecard_T20.asp?MatchCode=0652,2018-01-01
Matches/MatchScorecard_T20.asp?MatchCode=0651,2017-12-29
Matches/MatchScorecard_ODI.asp?MatchCode=4102,2017-12-26
Matches/MatchScorecard_ODI.asp?MatchCode=4019,2017-04-11
Matches/MatchScorecard_T20.asp?MatchCode=0633,2017-09-16
Matches/MatchScorecard_T20.asp?MatchCode=0631,2017-07-09
Matches/MatchScorecard_ODI.asp?MatchCode=4018,2017-04-09
Matches/MatchScorecard_ODI.asp?MatchCode=4017,2017-04-07
Matches/MatchScorecard_T20.asp?MatchCode=0627,2017-06-05
Matches/MatchScorecard_T20.asp?MatchCode=0617,2017-03-30
Matches/MatchScorecard_T20.asp?MatchCode=0616,2017-03-26
Matches/MatchScorecard_T20.asp?MatchCode=0626,2017-06-03
Matches/MatchScorecard_T20.asp?MatchCode=0625,2017-06-02
Matches/MatchScorecard_T20.asp?MatchCode=0619,2017-04-02
Matches/MatchScorecard_T20.asp?MatchCode=0618,2017-04-01
Matches/MatchScorecard_T20.asp?MatchCode=0584,2016-09-27
Matches/MatchScorecard_T20.asp?MatchCode=0357,2014-01-11
Matches/MatchScorecard_ODI.asp?MatchCode=3598,2014-01-07
Matches/MatchScorecard_ODI.asp?MatchCode=3597,2014-01-04
Matches/MatchScorecard_T20.asp?MatchCode=0358,2014-01-15
Matches/MatchScorecard_ODI.asp?MatchCode=3596,2014-01-01
Matches/MatchScorecard_ODI.asp?MatchCode=3024,2009-09-26
Matches/MatchScorecard_ODI.asp?MatchCode=3021,2009-09-23
