matchid,date
Matches/MatchScorecard_ODI.asp?MatchCode=3661,2014-08-25
Matches/MatchScorecard_ODI.asp?MatchCode=3657,2014-08-22
Matches/MatchScorecard_ODI.asp?MatchCode=3643,2014-06-15
Matches/MatchScorecard_ODI.asp?MatchCode=3627,2014-03-04
Matches/MatchScorecard_ODI.asp?MatchCode=3619,2014-02-26
Matches/MatchScorecard_ODI.asp?MatchCode=3623,2014-03-01
Matches/MatchScorecard_ODI.asp?MatchCode=3570,2013-10-31
Matches/MatchScorecard_ODI.asp?MatchCode=3567,2013-10-29
Matches/MatchScorecard_ODI.asp?MatchCode=3496,2013-05-08
Matches/MatchScorecard_ODI.asp?MatchCode=3495,2013-05-05
Matches/MatchScorecard_ODI.asp?MatchCode=3493,2013-03-28
Matches/MatchScorecard_ODI.asp?MatchCode=3492,2013-03-25
Matches/MatchScorecard_ODI.asp?MatchCode=3490,2013-03-23
Matches/MatchScorecard_ODI.asp?MatchCode=3573,2013-11-03
Matches/MatchScorecard_ODI.asp?MatchCode=3494,2013-05-03
Matches/MatchScorecard_ODI.asp?MatchCode=3450,2012-11-30
Matches/MatchScorecard_ODI.asp?MatchCode=3394,2012-03-11
Matches/MatchScorecard_ODI.asp?MatchCode=3454,2012-12-08
Matches/MatchScorecard_ODI.asp?MatchCode=3453,2012-12-07
Matches/MatchScorecard_ODI.asp?MatchCode=3452,2012-12-05
Matches/MatchScorecard_ODI.asp?MatchCode=3403,2012-03-22
Matches/MatchScorecard_ODI.asp?MatchCode=3401,2012-03-20
Matches/MatchScorecard_ODI.asp?MatchCode=3397,2012-03-16
Matches/MatchScorecard_ODI.asp?MatchCode=3451,2012-12-02
Matches/MatchScorecard_ODI.asp?MatchCode=3312,2011-08-12
Matches/MatchScorecard_ODI.asp?MatchCode=3285,2011-04-11
Matches/MatchScorecard_ODI.asp?MatchCode=3262,2011-03-11
Matches/MatchScorecard_ODI.asp?MatchCode=3336,2011-10-15
Matches/MatchScorecard_ODI.asp?MatchCode=3334,2011-10-13
Matches/MatchScorecard_ODI.asp?MatchCode=3284,2011-04-09
Matches/MatchScorecard_ODI.asp?MatchCode=3319,2011-08-21
Matches/MatchScorecard_ODI.asp?MatchCode=3317,2011-08-19
Matches/MatchScorecard_ODI.asp?MatchCode=3313,2011-08-14
