matchid,date
Matches/MatchScorecard_ODI.asp?MatchCode=4397,2020-01-12
Matches/MatchScorecard_ODI.asp?MatchCode=4394,2020-01-09
Matches/MatchScorecard_ODI.asp?MatchCode=4391,2020-01-07
Matches/MatchScorecard_ODI.asp?MatchCode=4301,2019-05-21
Matches/MatchScorecard_ODI.asp?MatchCode=4295,2019-05-15
Matches/MatchScorecard_ODI.asp?MatchCode=4285,2019-05-05
Matches/MatchScorecard_ODI.asp?MatchCode=4257,2019-02-28
Matches/MatchScorecard_ODI.asp?MatchCode=4152,2018-03-12
Matches/MatchScorecard_ODI.asp?MatchCode=4106,2018-01-11
Matches/MatchScorecard_ODI.asp?MatchCode=4163,2018-03-23
Matches/MatchScorecard_ODI.asp?MatchCode=4158,2018-03-18
Matches/MatchScorecard_ODI.asp?MatchCode=4156,2018-03-16
Matches/MatchScorecard_ODI.asp?MatchCode=4113,2018-01-18
Matches/MatchScorecard_ODI.asp?MatchCode=4111,2018-01-16
Matches/MatchScorecard_ODI.asp?MatchCode=4107,2018-01-13
Matches/MatchScorecard_ODI.asp?MatchCode=4022,2017-05-12
Matches/MatchScorecard_ODI.asp?MatchCode=4097,2017-12-10
Matches/MatchScorecard_ODI.asp?MatchCode=4093,2017-12-07
Matches/MatchScorecard_ODI.asp?MatchCode=4021,2017-05-07
Matches/MatchScorecard_ODI.asp?MatchCode=4026,2017-05-21
Matches/MatchScorecard_ODI.asp?MatchCode=4025,2017-05-19
Matches/MatchScorecard_ODI.asp?MatchCode=4023,2017-05-14
Matches/MatchScorecard_ODI.asp?MatchCode=3915,2016-07-12
Matches/MatchScorecard_ODI.asp?MatchCode=3937,2016-09-27
Matches/MatchScorecard_ODI.asp?MatchCode=3921,2016-08-18
Matches/MatchScorecard_ODI.asp?MatchCode=3918,2016-07-19
Matches/MatchScorecard_ODI.asp?MatchCode=3917,2016-07-17
Matches/MatchScorecard_ODI.asp?MatchCode=3916,2016-07-14
Matches/MatchScorecard_ODI.asp?MatchCode=3902,2016-06-18
Matches/MatchScorecard_ODI.asp?MatchCode=3901,2016-06-16
