matchid,date
Matches/MatchScorecard_ODI.asp?MatchCode=4376,2019-10-02
Matches/MatchScorecard_ODI.asp?MatchCode=4375,2019-09-30
Matches/MatchScorecard_ODI.asp?MatchCode=4349,2019-07-05
Matches/MatchScorecard_ODI.asp?MatchCode=4340,2019-06-29
Matches/MatchScorecard_ODI.asp?MatchCode=4337,2019-06-26
Matches/MatchScorecard_ODI.asp?MatchCode=4334,2019-06-23
Matches/MatchScorecard_ODI.asp?MatchCode=4304,2019-05-31
Matches/MatchScorecard_ODI.asp?MatchCode=4294,2019-05-14
Matches/MatchScorecard_ODI.asp?MatchCode=4292,2019-05-11
Matches/MatchScorecard_ODI.asp?MatchCode=4287,2019-05-08
Matches/MatchScorecard_ODI.asp?MatchCode=4277,2019-03-31
Matches/MatchScorecard_ODI.asp?MatchCode=4276,2019-03-29
Matches/MatchScorecard_ODI.asp?MatchCode=4275,2019-03-27
Matches/MatchScorecard_ODI.asp?MatchCode=4274,2019-03-23
Matches/MatchScorecard_ODI.asp?MatchCode=4273,2019-03-22
Matches/MatchScorecard_ODI.asp?MatchCode=4227,2018-11-11
Matches/MatchScorecard_ODI.asp?MatchCode=4200,2018-09-21
Matches/MatchScorecard_ODI.asp?MatchCode=4114,2018-01-18
Matches/MatchScorecard_ODI.asp?MatchCode=4110,2018-01-16
Matches/MatchScorecard_ODI.asp?MatchCode=3802,2015-05-29
Matches/MatchScorecard_ODI.asp?MatchCode=3801,2015-05-26
Matches/MatchScorecard_ODI.asp?MatchCode=3799,2015-04-22
Matches/MatchScorecard_ODI.asp?MatchCode=3798,2015-04-19
Matches/MatchScorecard_ODI.asp?MatchCode=3797,2015-04-17
Matches/MatchScorecard_ODI.asp?MatchCode=3792,2015-03-20
Matches/MatchScorecard_ODI.asp?MatchCode=3789,2015-03-15
Matches/MatchScorecard_ODI.asp?MatchCode=3772,2015-03-04
Matches/MatchScorecard_ODI.asp?MatchCode=3770,2015-03-01
Matches/MatchScorecard_ODI.asp?MatchCode=3757,2015-02-21
Matches/MatchScorecard_ODI.asp?MatchCode=3751,2015-02-15
Matches/MatchScorecard_ODI.asp?MatchCode=3747,2015-02-03
Matches/MatchScorecard_ODI.asp?MatchCode=3745,2015-01-31
Matches/MatchScorecard_ODI.asp?MatchCode=3720,2014-12-19
Matches/MatchScorecard_ODI.asp?MatchCode=3719,2014-12-17
Matches/MatchScorecard_ODI.asp?MatchCode=3717,2014-12-14
Matches/MatchScorecard_ODI.asp?MatchCode=3715,2014-12-12
Matches/MatchScorecard_ODI.asp?MatchCode=3713,2014-12-08
Matches/MatchScorecard_ODI.asp?MatchCode=3546,2013-08-27
Matches/MatchScorecard_ODI.asp?MatchCode=3538,2013-07-24
Matches/MatchScorecard_ODI.asp?MatchCode=3535,2013-07-21
Matches/MatchScorecard_ODI.asp?MatchCode=3533,2013-07-19
