matchid,date
Matches/MatchScorecard_ODI.asp?MatchCode=4170,2018-06-24
Matches/MatchScorecard_ODI.asp?MatchCode=4125,2018-01-28
Matches/MatchScorecard_ODI.asp?MatchCode=4041,2017-06-10
Matches/MatchScorecard_ODI.asp?MatchCode=4075,2017-09-29
Matches/MatchScorecard_ODI.asp?MatchCode=4073,2017-09-27
Matches/MatchScorecard_ODI.asp?MatchCode=4021,2017-05-07
Matches/MatchScorecard_ODI.asp?MatchCode=4045,2017-06-14
Matches/MatchScorecard_ODI.asp?MatchCode=4036,2017-06-06
Matches/MatchScorecard_ODI.asp?MatchCode=4030,2017-05-29
Matches/MatchScorecard_ODI.asp?MatchCode=4029,2017-05-27
Matches/MatchScorecard_ODI.asp?MatchCode=4020,2017-05-05
Matches/MatchScorecard_ODI.asp?MatchCode=3978,2017-01-22
Matches/MatchScorecard_ODI.asp?MatchCode=3976,2017-01-19
Matches/MatchScorecard_ODI.asp?MatchCode=3974,2017-01-15
Matches/MatchScorecard_ODI.asp?MatchCode=4031,2017-06-01
Matches/MatchScorecard_ODI.asp?MatchCode=3949,2016-10-12
Matches/MatchScorecard_ODI.asp?MatchCode=3948,2016-10-09
Matches/MatchScorecard_ODI.asp?MatchCode=3946,2016-10-07
