matchid,date
Matches/MatchScorecard_ODI.asp?MatchCode=3871,2016-01-04
Matches/MatchScorecard_ODI.asp?MatchCode=3623,2014-03-01
Matches/MatchScorecard_ODI.asp?MatchCode=3561,2013-10-04
Matches/MatchScorecard_ODI.asp?MatchCode=3372,2012-02-10
Matches/MatchScorecard_ODI.asp?MatchCode=3437,2012-08-25
Matches/MatchScorecard_ODI.asp?MatchCode=3421,2012-07-05
Matches/MatchScorecard_ODI.asp?MatchCode=3407,2012-03-31
Matches/MatchScorecard_ODI.asp?MatchCode=3406,2012-03-29
Matches/MatchScorecard_ODI.asp?MatchCode=3310,2011-08-09
Matches/MatchScorecard_ODI.asp?MatchCode=3309,2011-08-07
Matches/MatchScorecard_ODI.asp?MatchCode=3187,2010-10-11
Matches/MatchScorecard_ODI.asp?MatchCode=3153,2010-07-10
Matches/MatchScorecard_ODI.asp?MatchCode=3185,2010-10-09
Matches/MatchScorecard_ODI.asp?MatchCode=3149,2010-07-09
Matches/MatchScorecard_ODI.asp?MatchCode=3166,2010-08-17
Matches/MatchScorecard_ODI.asp?MatchCode=3164,2010-08-16
Matches/MatchScorecard_ODI.asp?MatchCode=3183,2010-10-07
Matches/MatchScorecard_ODI.asp?MatchCode=3147,2010-07-07
Matches/MatchScorecard_ODI.asp?MatchCode=3142,2010-07-05
Matches/MatchScorecard_ODI.asp?MatchCode=3138,2010-07-03
Matches/MatchScorecard_ODI.asp?MatchCode=3089,2010-02-18
Matches/MatchScorecard_ODI.asp?MatchCode=3087,2010-02-16
Matches/MatchScorecard_ODI.asp?MatchCode=3135,2010-07-01
Matches/MatchScorecard_ODI.asp?MatchCode=2964,2009-04-19
