matchid,date
Matches/MatchScorecard_ODI.asp?MatchCode=4397,2020-01-12
Matches/MatchScorecard_ODI.asp?MatchCode=4394,2020-01-09
Matches/MatchScorecard_ODI.asp?MatchCode=4391,2020-01-07
Matches/MatchScorecard_ODI.asp?MatchCode=4414,2020-02-26
Matches/MatchScorecard_ODI.asp?MatchCode=4413,2020-02-22
Matches/MatchScorecard_ODI.asp?MatchCode=4417,2020-03-01
Matches/MatchScorecard_ODI.asp?MatchCode=4388,2019-12-22
Matches/MatchScorecard_ODI.asp?MatchCode=4387,2019-12-18
Matches/MatchScorecard_ODI.asp?MatchCode=4385,2019-12-15
Matches/MatchScorecard_ODI.asp?MatchCode=4379,2019-11-11
Matches/MatchScorecard_ODI.asp?MatchCode=4360,2019-08-11
Matches/MatchScorecard_ODI.asp?MatchCode=4317,2019-06-10
Matches/MatchScorecard_ODI.asp?MatchCode=4378,2019-11-09
Matches/MatchScorecard_ODI.asp?MatchCode=4362,2019-08-14
Matches/MatchScorecard_ODI.asp?MatchCode=4359,2019-08-08
Matches/MatchScorecard_ODI.asp?MatchCode=4338,2019-06-27
Matches/MatchScorecard_ODI.asp?MatchCode=4333,2019-06-22
Matches/MatchScorecard_ODI.asp?MatchCode=4325,2019-06-17
Matches/MatchScorecard_ODI.asp?MatchCode=4321,2019-06-14
Matches/MatchScorecard_ODI.asp?MatchCode=4377,2019-11-06
Matches/MatchScorecard_ODI.asp?MatchCode=4312,2019-06-06
Matches/MatchScorecard_ODI.asp?MatchCode=4304,2019-05-31
Matches/MatchScorecard_ODI.asp?MatchCode=4348,2019-07-04
Matches/MatchScorecard_ODI.asp?MatchCode=4253,2019-02-20
Matches/MatchScorecard_ODI.asp?MatchCode=4344,2019-07-01
