matchid,date
Matches/MatchScorecard_ODI.asp?MatchCode=4315,2019-06-08
Matches/MatchScorecard_ODI.asp?MatchCode=4265,2019-03-08
Matches/MatchScorecard_ODI.asp?MatchCode=4326,2019-06-18
Matches/MatchScorecard_ODI.asp?MatchCode=4323,2019-06-15
Matches/MatchScorecard_ODI.asp?MatchCode=4301,2019-05-21
Matches/MatchScorecard_ODI.asp?MatchCode=4043,2017-06-11
Matches/MatchScorecard_ODI.asp?MatchCode=4097,2017-12-10
Matches/MatchScorecard_ODI.asp?MatchCode=4040,2017-06-09
Matches/MatchScorecard_ODI.asp?MatchCode=4046,2017-06-14
Matches/MatchScorecard_ODI.asp?MatchCode=4008,2017-03-19
Matches/MatchScorecard_ODI.asp?MatchCode=4007,2017-03-17
Matches/MatchScorecard_ODI.asp?MatchCode=4006,2017-03-15
Matches/MatchScorecard_ODI.asp?MatchCode=3998,2017-02-26
Matches/MatchScorecard_ODI.asp?MatchCode=3994,2017-02-21
Matches/MatchScorecard_ODI.asp?MatchCode=3993,2017-02-19
Matches/MatchScorecard_ODI.asp?MatchCode=3991,2017-02-16
Matches/MatchScorecard_ODI.asp?MatchCode=3917,2016-07-17
Matches/MatchScorecard_ODI.asp?MatchCode=3913,2016-07-06
Matches/MatchScorecard_ODI.asp?MatchCode=3873,2016-01-06
Matches/MatchScorecard_ODI.asp?MatchCode=3912,2016-07-04
Matches/MatchScorecard_ODI.asp?MatchCode=3871,2016-01-04
Matches/MatchScorecard_ODI.asp?MatchCode=3869,2016-01-02
Matches/MatchScorecard_ODI.asp?MatchCode=3867,2015-12-29
Matches/MatchScorecard_ODI.asp?MatchCode=3864,2015-12-25
Matches/MatchScorecard_ODI.asp?MatchCode=3850,2015-10-24
Matches/MatchScorecard_ODI.asp?MatchCode=3849,2015-10-22
Matches/MatchScorecard_ODI.asp?MatchCode=3847,2015-10-20
Matches/MatchScorecard_ODI.asp?MatchCode=3846,2015-10-18
Matches/MatchScorecard_ODI.asp?MatchCode=3843,2015-10-16
Matches/MatchScorecard_ODI.asp?MatchCode=3651,2014-07-22
Matches/MatchScorecard_ODI.asp?MatchCode=3650,2014-07-20
Matches/MatchScorecard_ODI.asp?MatchCode=3649,2014-07-18
Matches/MatchScorecard_ODI.asp?MatchCode=3628,2014-03-05
Matches/MatchScorecard_ODI.asp?MatchCode=3626,2014-03-03
Matches/MatchScorecard_ODI.asp?MatchCode=3620,2014-02-27
Matches/MatchScorecard_ODI.asp?MatchCode=3633,2014-05-02
Matches/MatchScorecard_ODI.asp?MatchCode=3632,2014-05-01
Matches/MatchScorecard_ODI.asp?MatchCode=3372,2012-02-10
Matches/MatchScorecard_ODI.asp?MatchCode=3309,2011-08-07
Matches/MatchScorecard_ODI.asp?MatchCode=3185,2010-10-09
Matches/MatchScorecard_ODI.asp?MatchCode=3149,2010-07-09
Matches/MatchScorecard_ODI.asp?MatchCode=3164,2010-08-16
Matches/MatchScorecard_ODI.asp?MatchCode=3183,2010-10-07
Matches/MatchScorecard_ODI.asp?MatchCode=3147,2010-07-07
Matches/MatchScorecard_ODI.asp?MatchCode=3142,2010-07-05
Matches/MatchScorecard_ODI.asp?MatchCode=3138,2010-07-03
Matches/MatchScorecard_ODI.asp?MatchCode=3087,2010-02-16
Matches/MatchScorecard_ODI.asp?MatchCode=3135,2010-07-01
Matches/MatchScorecard_ODI.asp?MatchCode=3007,2009-08-30
Matches/MatchScorecard_ODI.asp?MatchCode=2964,2009-04-19
Matches/MatchScorecard_ODI.asp?MatchCode=3008,2009-09-01
