matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=0770,2019-03-10
Matches/MatchScorecard_T20.asp?MatchCode=0769,2019-03-08
Matches/MatchScorecard_T20.asp?MatchCode=0768,2019-03-05
Matches/MatchScorecard_T20.asp?MatchCode=0721,2018-10-27
Matches/MatchScorecard_T20.asp?MatchCode=0661,2018-02-10
Matches/MatchScorecard_T20.asp?MatchCode=0706,2018-07-08
Matches/MatchScorecard_T20.asp?MatchCode=0660,2018-02-07
Matches/MatchScorecard_T20.asp?MatchCode=0694,2018-06-27
Matches/MatchScorecard_T20.asp?MatchCode=0704,2018-07-06
Matches/MatchScorecard_T20.asp?MatchCode=0699,2018-07-03
Matches/MatchScorecard_T20.asp?MatchCode=0665,2018-02-18
Matches/MatchScorecard_T20.asp?MatchCode=0662,2018-02-13
Matches/MatchScorecard_T20.asp?MatchCode=0633,2017-09-16
Matches/MatchScorecard_T20.asp?MatchCode=0630,2017-06-25
Matches/MatchScorecard_T20.asp?MatchCode=0628,2017-06-21
Matches/MatchScorecard_T20.asp?MatchCode=0580,2016-09-07
Matches/MatchScorecard_T20.asp?MatchCode=0568,2016-03-30
Matches/MatchScorecard_T20.asp?MatchCode=0564,2016-03-26
Matches/MatchScorecard_T20.asp?MatchCode=0553,2016-03-18
Matches/MatchScorecard_T20.asp?MatchCode=0550,2016-03-16
Matches/MatchScorecard_T20.asp?MatchCode=0570,2016-04-03
Matches/MatchScorecard_T20.asp?MatchCode=0518,2016-02-21
Matches/MatchScorecard_T20.asp?MatchCode=0516,2016-02-19
Matches/MatchScorecard_T20.asp?MatchCode=0482,2015-11-27
Matches/MatchScorecard_T20.asp?MatchCode=0481,2015-11-26
Matches/MatchScorecard_T20.asp?MatchCode=0465,2015-08-31
Matches/MatchScorecard_T20.asp?MatchCode=0432,2015-06-23
Matches/MatchScorecard_T20.asp?MatchCode=0368,2014-03-11
Matches/MatchScorecard_T20.asp?MatchCode=0367,2014-03-09
Matches/MatchScorecard_T20.asp?MatchCode=0411,2014-09-07
Matches/MatchScorecard_T20.asp?MatchCode=0407,2014-05-20
Matches/MatchScorecard_T20.asp?MatchCode=0400,2014-03-31
Matches/MatchScorecard_T20.asp?MatchCode=0397,2014-03-29
Matches/MatchScorecard_T20.asp?MatchCode=0393,2014-03-27
Matches/MatchScorecard_T20.asp?MatchCode=0386,2014-03-22
Matches/MatchScorecard_T20.asp?MatchCode=0370,2014-03-13
Matches/MatchScorecard_T20.asp?MatchCode=0361,2014-02-02
Matches/MatchScorecard_T20.asp?MatchCode=0360,2014-01-31
Matches/MatchScorecard_T20.asp?MatchCode=0359,2014-01-29
Matches/MatchScorecard_T20.asp?MatchCode=0305,2013-02-12
Matches/MatchScorecard_T20.asp?MatchCode=0304,2013-02-09
Matches/MatchScorecard_T20.asp?MatchCode=0333,2013-08-31
Matches/MatchScorecard_T20.asp?MatchCode=0332,2013-08-29
Matches/MatchScorecard_T20.asp?MatchCode=0322,2013-06-27
Matches/MatchScorecard_T20.asp?MatchCode=0321,2013-06-25
Matches/MatchScorecard_T20.asp?MatchCode=0307,2013-02-15
Matches/MatchScorecard_T20.asp?MatchCode=0297,2012-12-22
Matches/MatchScorecard_T20.asp?MatchCode=0295,2012-12-20
Matches/MatchScorecard_T20.asp?MatchCode=0263,2012-09-10
Matches/MatchScorecard_T20.asp?MatchCode=0282,2012-09-29
Matches/MatchScorecard_T20.asp?MatchCode=0279,2012-09-27
Matches/MatchScorecard_T20.asp?MatchCode=0275,2012-09-23
Matches/MatchScorecard_T20.asp?MatchCode=0271,2012-09-21
Matches/MatchScorecard_T20.asp?MatchCode=0261,2012-09-08
Matches/MatchScorecard_T20.asp?MatchCode=0248,2012-06-24
Matches/MatchScorecard_T20.asp?MatchCode=0287,2012-10-01
Matches/MatchScorecard_T20.asp?MatchCode=0216,2011-10-29
Matches/MatchScorecard_T20.asp?MatchCode=0210,2011-09-25
Matches/MatchScorecard_T20.asp?MatchCode=0209,2011-09-23
Matches/MatchScorecard_T20.asp?MatchCode=0206,2011-08-31
