matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=0923,2019-09-20
Matches/MatchScorecard_T20.asp?MatchCode=0626,2017-06-03
Matches/MatchScorecard_T20.asp?MatchCode=0600,2017-01-20
Matches/MatchScorecard_T20.asp?MatchCode=0595,2017-01-16
Matches/MatchScorecard_T20.asp?MatchCode=0592,2017-01-14
Matches/MatchScorecard_T20.asp?MatchCode=0544,2016-03-12
Matches/MatchScorecard_T20.asp?MatchCode=0541,2016-03-10
Matches/MatchScorecard_T20.asp?MatchCode=0490,2016-01-10
Matches/MatchScorecard_T20.asp?MatchCode=0536,2016-03-08
Matches/MatchScorecard_T20.asp?MatchCode=0488,2016-01-08
Matches/MatchScorecard_T20.asp?MatchCode=0555,2016-03-20
Matches/MatchScorecard_T20.asp?MatchCode=0551,2016-03-17
Matches/MatchScorecard_T20.asp?MatchCode=0520,2016-02-22
Matches/MatchScorecard_T20.asp?MatchCode=0517,2016-02-20
Matches/MatchScorecard_T20.asp?MatchCode=0514,2016-02-19
Matches/MatchScorecard_T20.asp?MatchCode=0444,2015-07-12
Matches/MatchScorecard_T20.asp?MatchCode=0472,2015-10-28
Matches/MatchScorecard_T20.asp?MatchCode=0471,2015-10-26
Matches/MatchScorecard_T20.asp?MatchCode=0441,2015-07-10
Matches/MatchScorecard_T20.asp?MatchCode=0440,2015-07-09
Matches/MatchScorecard_T20.asp?MatchCode=0456,2015-07-25
Matches/MatchScorecard_T20.asp?MatchCode=0454,2015-07-23
Matches/MatchScorecard_T20.asp?MatchCode=0453,2015-07-21
Matches/MatchScorecard_T20.asp?MatchCode=0380,2014-03-20
Matches/MatchScorecard_T20.asp?MatchCode=0376,2014-03-18
Matches/MatchScorecard_T20.asp?MatchCode=0372,2014-03-16
Matches/MatchScorecard_T20.asp?MatchCode=0353,2013-11-30
Matches/MatchScorecard_T20.asp?MatchCode=0341,2013-11-16
Matches/MatchScorecard_T20.asp?MatchCode=0354,2013-12-08
Matches/MatchScorecard_T20.asp?MatchCode=0271,2012-09-21
Matches/MatchScorecard_T20.asp?MatchCode=0268,2012-09-19
Matches/MatchScorecard_T20.asp?MatchCode=0242,2012-03-24
Matches/MatchScorecard_T20.asp?MatchCode=0236,2012-03-18
Matches/MatchScorecard_T20.asp?MatchCode=0235,2012-03-14
